endpoint1,endpoint2,step,time_index,time,f1,f2,f3
reason_1,risen_1,1,1,0.033,340,1197,2646
reason_1,risen_1,1,2,0.041,340,1204,2646
reason_1,risen_1,1,3,0.05,350,1322,2653
reason_1,risen_1,1,4,0.058,361,1480,2685
reason_1,risen_1,1,5,0.066,364,1638,2749
reason_1,risen_1,1,6,0.074,366,1846,2802
reason_1,risen_1,1,7,0.083,366,2117,2854
reason_1,risen_1,1,8,0.091,365,2332,2898
reason_1,risen_1,1,9,0.099,363,2493,2949
reason_1,risen_1,1,10,0.107,362,2616,3016
reason_1,risen_1,1,11,0.116,360,2710,3083
reason_1,risen_1,1,12,0.124,359,2822,3110
reason_1,risen_1,1,13,0.132,361,2908,3241
reason_1,risen_1,1,14,0.14,362,2939,3320
reason_1,risen_1,1,15,0.149,364,2932,3328
reason_1,risen_1,1,16,0.157,366,2899,3301
reason_1,risen_1,1,17,0.165,368,2859,3318
reason_1,risen_1,1,18,0.173,372,2838,3326
reason_1,risen_1,1,19,0.182,378,2832,3324
reason_1,risen_1,1,20,0.19,385,2828,3299
reason_1,risen_1,1,21,0.198,393,2815,3273
reason_1,risen_1,1,22,0.206,401,2778,3257
reason_1,risen_1,1,23,0.215,408,2701,3240
reason_1,risen_1,1,24,0.223,414,2634,3243
reason_1,risen_1,1,25,0.231,416,2530,3230
reason_1,risen_1,1,26,0.239,415,2424,3212
reason_1,risen_1,1,27,0.248,409,2320,3194
reason_1,risen_1,1,28,0.256,395,2228,3182
reason_1,risen_1,1,29,0.264,376,2193,3197
reason_1,risen_1,1,30,0.272,371,2187,3200
reason_1,risen_1,2,1,0.033,343,1234,2578
reason_1,risen_1,2,2,0.041,344,1240,2580
reason_1,risen_1,2,3,0.05,355,1343,2600
reason_1,risen_1,2,4,0.058,365,1489,2647
reason_1,risen_1,2,5,0.066,368,1640,2715
reason_1,risen_1,2,6,0.074,371,1832,2767
reason_1,risen_1,2,7,0.083,372,2077,2819
reason_1,risen_1,2,8,0.091,373,2280,2868
reason_1,risen_1,2,9,0.099,373,2422,2923
reason_1,risen_1,2,10,0.107,373,2526,2987
reason_1,risen_1,2,11,0.116,372,2602,3051
reason_1,risen_1,2,12,0.124,373,2692,3081
reason_1,risen_1,2,13,0.132,375,2760,3196
reason_1,risen_1,2,14,0.14,377,2781,3266
reason_1,risen_1,2,15,0.149,379,2779,3274
reason_1,risen_1,2,16,0.157,382,2757,3247
reason_1,risen_1,2,17,0.165,384,2725,3256
reason_1,risen_1,2,18,0.173,388,2706,3260
reason_1,risen_1,2,19,0.182,393,2698,3259
reason_1,risen_1,2,20,0.19,399,2698,3239
reason_1,risen_1,2,21,0.198,405,2686,3216
reason_1,risen_1,2,22,0.206,411,2651,3203
reason_1,risen_1,2,23,0.215,415,2586,3191
reason_1,risen_1,2,24,0.223,418,2527,3195
reason_1,risen_1,2,25,0.231,419,2438,3186
reason_1,risen_1,2,26,0.239,415,2349,3170
reason_1,risen_1,2,27,0.248,408,2263,3154
reason_1,risen_1,2,28,0.256,395,2188,3144
reason_1,risen_1,2,29,0.264,377,2163,3157
reason_1,risen_1,2,30,0.272,372,2163,3161
reason_1,risen_1,3,1,0.033,347,1271,2512
reason_1,risen_1,3,2,0.041,348,1277,2516
reason_1,risen_1,3,3,0.05,360,1365,2548
reason_1,risen_1,3,4,0.058,370,1498,2610
reason_1,risen_1,3,5,0.066,373,1642,2682
reason_1,risen_1,3,6,0.074,376,1819,2734
reason_1,risen_1,3,7,0.083,379,2037,2785
reason_1,risen_1,3,8,0.091,381,2230,2838
reason_1,risen_1,3,9,0.099,383,2353,2898
reason_1,risen_1,3,10,0.107,384,2440,2959
reason_1,risen_1,3,11,0.116,385,2500,3019
reason_1,risen_1,3,12,0.124,386,2568,3053
reason_1,risen_1,3,13,0.132,389,2621,3152
reason_1,risen_1,3,14,0.14,391,2634,3212
reason_1,risen_1,3,15,0.149,395,2636,3221
reason_1,risen_1,3,16,0.157,398,2623,3195
reason_1,risen_1,3,17,0.165,401,2598,3196
reason_1,risen_1,3,18,0.173,404,2580,3196
reason_1,risen_1,3,19,0.182,408,2571,3196
reason_1,risen_1,3,20,0.19,413,2575,3181
reason_1,risen_1,3,21,0.198,417,2563,3160
reason_1,risen_1,3,22,0.206,421,2532,3151
reason_1,risen_1,3,23,0.215,422,2476,3144
reason_1,risen_1,3,24,0.223,423,2425,3149
reason_1,risen_1,3,25,0.231,421,2349,3142
reason_1,risen_1,3,26,0.239,416,2277,3129
reason_1,risen_1,3,27,0.248,408,2207,3114
reason_1,risen_1,3,28,0.256,394,2149,3106
reason_1,risen_1,3,29,0.264,378,2133,3118
reason_1,risen_1,3,30,0.272,373,2139,3123
reason_1,risen_1,4,1,0.033,351,1309,2448
reason_1,risen_1,4,2,0.041,352,1314,2454
reason_1,risen_1,4,3,0.05,365,1387,2498
reason_1,risen_1,4,4,0.058,374,1506,2574
reason_1,risen_1,4,5,0.066,378,1644,2649
reason_1,risen_1,4,6,0.074,381,1806,2700
reason_1,risen_1,4,7,0.083,385,1999,2751
reason_1,risen_1,4,8,0.091,389,2180,2809
reason_1,risen_1,4,9,0.099,393,2287,2873
reason_1,risen_1,4,10,0.107,396,2357,2931
reason_1,risen_1,4,11,0.116,397,2402,2987
reason_1,risen_1,4,12,0.124,399,2452,3024
reason_1,risen_1,4,13,0.132,403,2489,3108
reason_1,risen_1,4,14,0.14,406,2496,3160
reason_1,risen_1,4,15,0.149,411,2501,3169
reason_1,risen_1,4,16,0.157,415,2496,3144
reason_1,risen_1,4,17,0.165,418,2478,3137
reason_1,risen_1,4,18,0.173,421,2462,3134
reason_1,risen_1,4,19,0.182,424,2451,3135
reason_1,risen_1,4,20,0.19,427,2458,3123
reason_1,risen_1,4,21,0.198,430,2447,3106
reason_1,risen_1,4,22,0.206,431,2418,3099
reason_1,risen_1,4,23,0.215,430,2371,3097
reason_1,risen_1,4,24,0.223,428,2327,3103
reason_1,risen_1,4,25,0.231,424,2264,3099
reason_1,risen_1,4,26,0.239,417,2208,3088
reason_1,risen_1,4,27,0.248,407,2153,3075
reason_1,risen_1,4,28,0.256,394,2110,3069
reason_1,risen_1,4,29,0.264,379,2104,3079
reason_1,risen_1,4,30,0.272,374,2116,3084
