sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.082,283.8,317,283.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.092,293,325.5,293,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.102,299.7,333.3,299.7,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.112,303.8,340.1,303.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.122,306.4,342.2,306.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.132,309.1,341.5,309.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.142,311.9,337.3,311.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.152,313.5,320.3,313.5,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.162,314.3,296.3,314.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.172,314.3,267.7,314.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.182,313.4,238.4,313.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.192,312.1,216.6,312.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.202,310.4,200.1,310.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.212,307,189.1,307,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.222,299.1,184.8,299.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.232,286.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.242,259.4,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.252,237.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.262,221.9,153,221.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.272,214.1,152.7,214.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.282,205.2,151.4,205.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.292,195,149.2,195,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.302,178.8,145.3,178.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,1,0.312,165.8,140.5,165.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.082,283.8,317,291.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.092,293,325.5,300.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.102,299.7,333.3,307.7,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.112,303.8,340.1,312.5,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.122,306.4,342.2,315,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.132,309.1,341.5,316.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.142,311.9,337.3,318.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.152,313.5,320.3,315.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.162,314.3,296.3,309.7,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.172,314.3,267.7,302,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.182,313.4,238.4,292.7,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.192,312.1,216.6,284.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.202,310.4,200.1,278.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.212,307,189.1,272,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.222,299.1,184.8,265.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.232,286.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.242,259.4,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.252,237.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.262,221.9,153,202.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.272,214.1,152.7,196.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.282,205.2,151.4,190.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.292,195,149.2,182.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.302,178.8,145.3,169.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,2,0.312,165.8,140.5,159.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.082,283.8,317,299.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.092,293,325.5,308.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.102,299.7,333.3,316,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.112,303.8,340.1,321.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.122,306.4,342.2,323.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.132,309.1,341.5,324.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.142,311.9,337.3,324.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.152,313.5,320.3,316.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.162,314.3,296.3,305.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.172,314.3,267.7,290.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.182,313.4,238.4,273.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.192,312.1,216.6,260,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.202,310.4,200.1,249.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.212,307,189.1,240.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.222,299.1,184.8,235.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.232,286.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.242,259.4,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.252,237.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.262,221.9,153,184.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.272,214.1,152.7,180.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.282,205.2,151.4,176.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.292,195,149.2,170.6,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.302,178.8,145.3,161.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,3,0.312,165.8,140.5,152.6,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.082,283.8,317,308.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.092,293,325.5,317,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.102,299.7,333.3,324.6,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.112,303.8,340.1,330.6,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.122,306.4,342.2,332.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.132,309.1,341.5,333.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.142,311.9,337.3,330.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.152,313.5,320.3,318.6,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.162,314.3,296.3,300.7,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.172,314.3,267.7,278.6,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.182,313.4,238.4,255.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.192,312.1,216.6,237.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.202,310.4,200.1,223.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.212,307,189.1,213.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.222,299.1,184.8,208.5,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.232,286.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.242,259.4,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.252,237.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.262,221.9,153,167.9,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.272,214.1,152.7,166.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.282,205.2,151.4,163.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.292,195,149.2,159.5,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.302,178.8,145.3,153.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,4,0.312,165.8,140.5,146.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.082,283.8,317,317,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.092,293,325.5,325.5,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.102,299.7,333.3,333.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.112,303.8,340.1,340.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.122,306.4,342.2,342.2,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.132,309.1,341.5,341.5,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.142,311.9,337.3,337.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.152,313.5,320.3,320.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.162,314.3,296.3,296.3,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.172,314.3,267.7,267.7,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.182,313.4,238.4,238.4,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.192,312.1,216.6,216.6,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.202,310.4,200.1,200.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.212,307,189.1,189.1,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.222,299.1,184.8,184.8,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.232,286.8,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.242,259.4,NA,NA,log
toru_origin_tooru_dur_2,tooru_origin_toru_dur_2,dur_2,5,0.252,237.8,NA,NA,log
