sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.078,307.6,276.5,307.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.088,314.3,282.2,314.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.098,321.2,288.3,321.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.108,328.4,293.8,328.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.118,334.2,298.4,334.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.128,338.5,302,338.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.138,341.2,304,341.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.148,342.3,305.2,342.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.158,343.2,306.8,343.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.168,343.7,309.2,343.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.178,343.4,310.9,343.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.188,341.4,312.3,341.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.198,337.7,313.3,337.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.208,326.9,314.1,326.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.218,313.9,314.6,313.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.228,298.7,314.6,298.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.238,281.9,314.5,281.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.248,263.7,314.2,263.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.258,244.1,313.9,244.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.268,229.2,313.1,229.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.278,216.8,312.3,216.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,5,0.288,206.8,311.4,206.8,log
