"display","type","signal","word_pair","word_A","word_B","sound_A_male","sound_A_female","sound_B_male","sound_B_female","sound_1","sound_2","transliteration_A","transliteration_B","alt_writing_A","alt_writing_B","orthography_A","orthography_B","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","randomize_language_blocks","block_display","break_duration"
"instructions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""
"block_display",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Block 1 of 8",""
"training_trial","AA","same","obasan-obaasan","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","M_obaasan.mp3","F_obaasan.mp3","","","obasan","obaasan","おばさん","おばあさん","おばさん","おばあさん","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","1","",""
"training_trial","BB","same","obasan-obaasan","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","M_obaasan.mp3","F_obaasan.mp3","","","obasan","obaasan","おばさん","おばあさん","おばさん","おばあさん","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","1","",""
"training_trial","AA","same","obasan-obaasan","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","M_obaasan.mp3","F_obaasan.mp3","","","obasan","obaasan","おばさん","おばあさん","おばさん","おばあさん","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","1","",""
"training_trial","BB","same","obasan-obaasan","obasan","obaasan","M_obasan.mp3","F_obasan.mp3","M_obaasan.mp3","F_obaasan.mp3","","","obasan","obaasan","おばさん","おばあさん","おばさん","おばあさん","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","1","",""
"training_trial","AA","same","haku-haaku","haku","haaku","M_haku.mp3","F_haku.mp3","M_haaku.mp3","F_haaku.mp3","","","haku","haaku","はく","はあく","履く（はく）","把握（はあく）","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","1","",""
"training_trial","BB","same","haku-haaku","haku","haaku","M_haku.mp3","F_haku.mp3","M_haaku.mp3","F_haaku.mp3","","","haku","haaku","はく","はあく","履く（はく）","把握（はあく）","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","1","",""
"training_trial","AA","same","haku-haaku","haku","haaku","M_haku.mp3","F_haku.mp3","M_haaku.mp3","F_haaku.mp3","","","haku","haaku","はく","はあく","履く（はく）","把握（はあく）","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","1","",""
"training_trial","BB","same","haku-haaku","haku","haaku","M_haku.mp3","F_haku.mp3","M_haaku.mp3","F_haaku.mp3","","","haku","haaku","はく","はあく","履く（はく）","把握（はあく）","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","1","",""
"training_trial","AA","same","ojisan-ojiisan","ojisan","ojiisan","M_ojisan.mp3","F_ojisan.mp3","M_ojiisan.mp3","F_ojiisan.mp3","","","ojisan","ojiisan","おじさん","おじいさん","おじさん","おじいさん","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","1","",""
