ID	pair	second_dim_step	first_dim_step	norm_response
5031	indent-intent	1	1	15
5031	indent-intent	1	1	3
5031	indent-intent	1	1	7
5031	indent-intent	2	1	5
5031	indent-intent	2	1	15
5031	indent-intent	2	1	10
5031	indent-intent	3	1	10
5031	indent-intent	3	1	4
5031	indent-intent	3	1	30
5031	indent-intent	4	1	5
5031	indent-intent	4	1	20
5031	indent-intent	5	1	10
5031	indent-intent	5	1	20
5031	indent-intent	5	1	16
5031	indent-intent	1	2	25
5031	indent-intent	1	2	25
5031	indent-intent	1	2	22
5031	indent-intent	2	2	25
5031	indent-intent	2	2	27
5031	indent-intent	2	2	15
5031	indent-intent	3	2	13
5031	indent-intent	3	2	26
5031	indent-intent	3	2	18
5031	indent-intent	4	2	20
5031	indent-intent	4	2	35
5031	indent-intent	4	2	23
5031	indent-intent	5	2	30
5031	indent-intent	5	2	23
5031	indent-intent	5	2	45
5031	indent-intent	1	3	8
5031	indent-intent	1	3	37
5031	indent-intent	1	3	27
5031	indent-intent	2	3	45
5031	indent-intent	2	3	30
5031	indent-intent	2	3	24
5031	indent-intent	3	3	50
5031	indent-intent	3	3	19
5031	indent-intent	3	3	38
5031	indent-intent	4	3	12
5031	indent-intent	4	3	31
5031	indent-intent	4	3	42
5031	indent-intent	5	3	33
5031	indent-intent	5	3	15
5031	indent-intent	5	3	40
5031	indent-intent	1	4	90
5031	indent-intent	1	4	65
5031	indent-intent	1	4	45
5031	indent-intent	2	4	75
5031	indent-intent	2	4	91
5031	indent-intent	3	4	70
5031	indent-intent	3	4	85
5031	indent-intent	3	4	93
5031	indent-intent	4	4	90
5031	indent-intent	4	4	61
5031	indent-intent	4	4	50
5031	indent-intent	5	4	100
5031	indent-intent	5	4	80
5031	indent-intent	5	4	95
5031	indent-intent	1	5	95
5031	indent-intent	1	5	45
5031	indent-intent	1	5	38
5031	indent-intent	2	5	80
5031	indent-intent	2	5	79
5031	indent-intent	2	5	75
5031	indent-intent	3	5	65
5031	indent-intent	3	5	75
5031	indent-intent	3	5	84
5031	indent-intent	4	5	95
5031	indent-intent	4	5	67
5031	indent-intent	4	5	70
5031	indent-intent	5	5	90
5031	indent-intent	5	5	94
5031	indent-intent	1	6	93
5031	indent-intent	1	6	89
5031	indent-intent	1	6	86
5031	indent-intent	2	6	80
5031	indent-intent	2	6	75
5031	indent-intent	2	6	94
5031	indent-intent	3	6	98
5031	indent-intent	3	6	80
5031	indent-intent	3	6	81
5031	indent-intent	4	6	80
5031	indent-intent	4	6	70
5031	indent-intent	4	6	67
5031	indent-intent	5	6	90
5031	indent-intent	5	6	85
5031	indent-intent	5	6	86
5031	indent-intent	1	7	95
5031	indent-intent	1	7	65
5031	indent-intent	1	7	83
5031	indent-intent	2	7	85
5031	indent-intent	2	7	89
5031	indent-intent	2	7	78
5031	indent-intent	3	7	90
5031	indent-intent	3	7	91
5031	indent-intent	3	7	95
5031	indent-intent	4	7	89
5031	indent-intent	4	7	96
5031	indent-intent	4	7	67
5031	indent-intent	5	7	65
5031	indent-intent	5	7	95
5031	indent-intent	5	7	94
5031	reason-risen	1	1	25
5031	reason-risen	1	1	30
5031	reason-risen	1	1	33
5031	reason-risen	2	1	33
5031	reason-risen	2	1	13
5031	reason-risen	2	1	11
5031	reason-risen	3	1	29
5031	reason-risen	3	1	10
5031	reason-risen	3	1	10
5031	reason-risen	4	1	36
5031	reason-risen	4	1	15
5031	reason-risen	4	1	7
5031	reason-risen	5	1	24
5031	reason-risen	5	1	32
5031	reason-risen	5	1	29
5031	reason-risen	1	2	28
5031	reason-risen	1	2	15
5031	reason-risen	1	2	21
5031	reason-risen	2	2	26
5031	reason-risen	2	2	26
5031	reason-risen	2	2	22
5031	reason-risen	3	2	6
5031	reason-risen	3	2	3
5031	reason-risen	4	2	13
5031	reason-risen	4	2	20
5031	reason-risen	4	2	11
5031	reason-risen	5	2	32
5031	reason-risen	5	2	28
5031	reason-risen	5	2	3
5031	reason-risen	1	3	21
5031	reason-risen	1	3	30
5031	reason-risen	1	3	20
5031	reason-risen	2	3	7
5031	reason-risen	2	3	18
5031	reason-risen	2	3	19
5031	reason-risen	3	3	50
5031	reason-risen	3	3	28
5031	reason-risen	3	3	28
5031	reason-risen	4	3	50
5031	reason-risen	4	3	26
5031	reason-risen	4	3	9
5031	reason-risen	5	3	77
5031	reason-risen	5	3	50
5031	reason-risen	5	3	22
5031	reason-risen	1	4	41
5031	reason-risen	1	4	36
5031	reason-risen	1	4	22
5031	reason-risen	2	4	39
5031	reason-risen	2	4	33
5031	reason-risen	2	4	33
5031	reason-risen	3	4	13
5031	reason-risen	3	4	72
5031	reason-risen	3	4	30
5031	reason-risen	4	4	10
5031	reason-risen	4	4	38
5031	reason-risen	4	4	28
5031	reason-risen	5	4	40
5031	reason-risen	5	4	35
5031	reason-risen	5	4	89
5031	reason-risen	1	5	52
5031	reason-risen	1	5	39
5031	reason-risen	1	5	28
5031	reason-risen	2	5	70
5031	reason-risen	2	5	50
5031	reason-risen	2	5	18
5031	reason-risen	3	5	20
5031	reason-risen	3	5	46
5031	reason-risen	3	5	86
5031	reason-risen	4	5	71
5031	reason-risen	4	5	29
5031	reason-risen	4	5	40
5031	reason-risen	5	5	85
5031	reason-risen	5	5	72
5031	reason-risen	1	6	61
5031	reason-risen	1	6	79
5031	reason-risen	1	6	98
5031	reason-risen	2	6	90
5031	reason-risen	2	6	50
5031	reason-risen	2	6	71
5031	reason-risen	3	6	74
5031	reason-risen	3	6	29
5031	reason-risen	3	6	74
5031	reason-risen	4	6	74
5031	reason-risen	4	6	39
5031	reason-risen	4	6	81
5031	reason-risen	5	6	80
5031	reason-risen	5	6	88
5031	reason-risen	5	6	73
5031	reason-risen	1	7	89
5031	reason-risen	1	7	93
5031	reason-risen	1	7	96
5031	reason-risen	2	7	78
5031	reason-risen	2	7	83
5031	reason-risen	2	7	90
5031	reason-risen	3	7	77
5031	reason-risen	3	7	94
5031	reason-risen	3	7	87
5031	reason-risen	4	7	69
5031	reason-risen	4	7	85
5031	reason-risen	4	7	91
5031	reason-risen	5	7	87
5031	reason-risen	5	7	91
5031	reason-risen	5	7	87
5031	kata-katta	1	1	13
5031	kata-katta	1	1	11
5031	kata-katta	1	1	80
5031	kata-katta	2	1	15
5031	kata-katta	2	1	74
5031	kata-katta	2	1	28
5031	kata-katta	3	1	71
5031	kata-katta	3	1	22
5031	kata-katta	4	1	27
5031	kata-katta	4	1	70
5031	kata-katta	4	1	21
5031	kata-katta	5	1	23
5031	kata-katta	5	1	76
5031	kata-katta	5	1	23
5031	kata-katta	1	2	20
5031	kata-katta	1	2	32
5031	kata-katta	1	2	22
5031	kata-katta	2	2	23
5031	kata-katta	2	2	70
5031	kata-katta	2	2	71
5031	kata-katta	3	2	25
5031	kata-katta	3	2	14
5031	kata-katta	3	2	80
5031	kata-katta	4	2	15
5031	kata-katta	4	2	30
5031	kata-katta	4	2	27
5031	kata-katta	5	2	68
5031	kata-katta	5	2	27
5031	kata-katta	5	2	20
5031	kata-katta	1	3	32
5031	kata-katta	1	3	66
5031	kata-katta	1	3	50
5031	kata-katta	2	3	17
5031	kata-katta	2	3	23
5031	kata-katta	2	3	18
5031	kata-katta	3	3	33
5031	kata-katta	3	3	32
5031	kata-katta	3	3	24
5031	kata-katta	4	3	32
5031	kata-katta	4	3	20
5031	kata-katta	4	3	13
5031	kata-katta	5	3	33
5031	kata-katta	5	3	22
5031	kata-katta	5	3	80
5031	kata-katta	1	4	7
5031	kata-katta	1	4	23
5031	kata-katta	1	4	82
5031	kata-katta	2	4	20
5031	kata-katta	2	4	24
5031	kata-katta	2	4	24
5031	kata-katta	3	4	78
5031	kata-katta	3	4	32
5031	kata-katta	3	4	80
