"local_date","day","ID","response","reaction_time","correct","condition","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","log_rt","median_rt","mad","upper_mad","lower_mad"
"2025-03-13","1","101","different",4064.20000000596,1,"highLD","dhakara-dhakkara","different","BA","dhakara","dhakkara","F_dhakkara.mp3","F_dhakara.mp3","same","MSA","to mention; remember","to remind, point out","","","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",8.309972200647309,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",873.0999999940395,1,"highLD","3alim-3aliim","different","AB","3alim","3aliim","F_3alim.mp3","M_3aliim.mp3","different","MSA","(he) knew","knowledgeable","","","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",6.772050096809935,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",388.7999999999993,1,"highLD","rashada-rashshada","same","AA","rashada","rashshada","M_rashada.mp3","M_rashada.mp3","same","MSA","to be well guided, mature","to guide, lead","","","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",5.963065072586282,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",1430.6000000000058,0,"highLD","bashara-bashshara","different","AB","bashara","bashshara","F_bashara.mp3","M_bashshara.mp3","different","MSA","to rejoice","to bring good news, evangelize","","","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",7.2658492156742875,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1432.300000000003,1,"highLD","rashada-rashshada","different","AB","rashada","rashshada","F_rashada.mp3","M_rashshada.mp3","different","MSA","to be well guided, mature","to guide, lead","","","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",7.267036822785822,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",1735.800000000003,0,"highLD","dhakara-dhakkara","different","AB","dhakara","dhakkara","F_dhakara.mp3","M_dhakkara.mp3","different","MSA","to mention; remember","to remind, point out","","","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",7.459223681210146,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",172.1999999999971,1,"highLD","watara-wattara","same","BB","watara","wattara","M_wattara.mp3","M_wattara.mp3","same","MSA","to wrong, harm","to stretch, strain, tighten","","","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",5.148656591993613,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",144.6000000029817,1,"highLD","kataba-kaataba","same","AA","kataba","kaataba","F_kataba.mp3","F_kataba.mp3","same","MSA","(he) wrote","(he) corresponded with","","","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",4.973971309745284,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",312.09999999999854,1,"highLD","nashaTa-nashshaTa","same","AA","nashaTa","nashshaTa","F_nashaTa.mp3","F_nashaTa.mp3","same","MSA","to be active, energetic","to stimulate, encourage","","","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",5.7433236492767294,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",331.0000000059663,1,"highLD","ful-fuul","same","AA","ful","fuul","M_ful.mp3","M_ful.mp3","same","MSA","jasmine flower","fava beans","","","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",5.802118375395088,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
