ID	ax_condition	day	prepost	language	pair	second_dim_step	first_dim_step	norm_response
101	highLD	1	pre-training	English	indent-intent	3	1	0
101	highLD	1	pre-training	English	indent-intent	3	1	0
101	highLD	1	pre-training	English	indent-intent	3	1	0
101	highLD	1	pre-training	English	indent-intent	3	1	0
101	highLD	1	pre-training	English	indent-intent	3	2	0
101	highLD	1	pre-training	English	indent-intent	3	2	0
101	highLD	1	pre-training	English	indent-intent	3	2	0
101	highLD	1	pre-training	English	indent-intent	3	2	0
101	highLD	1	pre-training	English	indent-intent	3	3	0
101	highLD	1	pre-training	English	indent-intent	3	3	0
101	highLD	1	pre-training	English	indent-intent	3	3	11
101	highLD	1	pre-training	English	indent-intent	3	4	100
101	highLD	1	pre-training	English	indent-intent	3	4	100
101	highLD	1	pre-training	English	indent-intent	3	4	100
101	highLD	1	pre-training	English	indent-intent	3	4	100
101	highLD	1	pre-training	English	indent-intent	3	5	100
101	highLD	1	pre-training	English	indent-intent	3	5	100
101	highLD	1	pre-training	English	indent-intent	3	5	100
101	highLD	1	pre-training	English	indent-intent	3	5	100
101	highLD	1	pre-training	English	indent-intent	3	6	100
101	highLD	1	pre-training	English	indent-intent	3	6	100
101	highLD	1	pre-training	English	indent-intent	3	6	100
101	highLD	1	pre-training	English	indent-intent	3	6	100
101	highLD	1	pre-training	English	indent-intent	3	7	100
101	highLD	1	pre-training	English	indent-intent	3	7	100
101	highLD	1	pre-training	English	indent-intent	3	7	100
101	highLD	1	pre-training	English	indent-intent	3	7	100
101	highLD	1	pre-training	English	reason-risen	3	1	0
101	highLD	1	pre-training	English	reason-risen	3	1	0
101	highLD	1	pre-training	English	reason-risen	3	1	0
101	highLD	1	pre-training	English	reason-risen	3	1	0
101	highLD	1	pre-training	English	reason-risen	3	2	0
101	highLD	1	pre-training	English	reason-risen	3	2	0
101	highLD	1	pre-training	English	reason-risen	3	2	1
101	highLD	1	pre-training	English	reason-risen	3	2	0
101	highLD	1	pre-training	English	reason-risen	3	3	1
101	highLD	1	pre-training	English	reason-risen	3	3	4
101	highLD	1	pre-training	English	reason-risen	3	3	87
101	highLD	1	pre-training	English	reason-risen	3	4	100
