"local_date","day","prepost","local_time","ID","participant_starting_group","pre_training_condition","post_training_condition","ax_condition","trial_number","display","screen","response_type","response","reaction_time","tag","sound","pair","language","first_dim_step","second_dim_step","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","norm_response"
"2025-03-13","1","pre-training","09:11:48","101",NA,"spreadsheet2","","highLD",1,"trial","response","response",100,4569.399999999994,"response_slider","I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"reason","risen","no","reason","risen",100
"2025-03-13","1","pre-training","09:11:53","101",NA,"spreadsheet2","","highLD",2,"trial","response","response",100,4520.000000011933,"response_slider","I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"reason","risen","no","reason","risen",100
"2025-03-13","1","pre-training","09:11:56","101",NA,"spreadsheet2","","highLD",3,"trial","response","response",100,1966.6000000089407,"response_slider","I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"reason","risen","no","reason","risen",100
"2025-03-13","1","pre-training","09:11:59","101",NA,"spreadsheet2","","highLD",4,"trial","response","response",0,1803.1000000119093,"response_slider","I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"reason","risen","no","reason","risen",0
"2025-03-13","1","pre-training","09:12:03","101",NA,"spreadsheet2","","highLD",5,"trial","response","response",0,2539.399999999994,"response_slider","I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"reason","risen","no","reason","risen",0
"2025-03-13","1","pre-training","09:12:07","101",NA,"spreadsheet2","","highLD",6,"trial","response","response",0,2746.399999999994,"response_slider","I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"reason","risen","no","reason","risen",0
"2025-03-13","1","pre-training","09:12:10","101",NA,"spreadsheet2","","highLD",7,"trial","response","response",1,2325.6000000029744,"response_slider","I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"reason","risen","no","reason","risen",1
"2025-03-13","1","pre-training","09:12:13","101",NA,"spreadsheet2","","highLD",8,"trial","response","response",100,2276.6000000089407,"response_slider","I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"reason","risen","no","reason","risen",100
"2025-03-13","1","pre-training","09:12:17","101",NA,"spreadsheet2","","highLD",9,"trial","response","response",100,2758.800000005954,"response_slider","I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"reason","risen","no","reason","risen",100
"2025-03-13","1","pre-training","09:12:20","101",NA,"spreadsheet2","","highLD",10,"trial","response","response",100,1950.300000002986,"response_slider","I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"reason","risen","no","reason","risen",100
"2025-03-13","1","pre-training","09:12:23","101",NA,"spreadsheet2","","highLD",11,"trial","response","response",0,1933.8000000089523,"response_slider","I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"reason","risen","no","reason","risen",0
"2025-03-13","1","pre-training","09:12:26","101",NA,"spreadsheet2","","highLD",12,"trial","response","response",0,2131.700000005949,"response_slider","I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"reason","risen","no","reason","risen",0
"2025-03-13","1","pre-training","09:12:30","101",NA,"spreadsheet2","","highLD",13,"trial","response","response",100,3291.5999999999767,"response_slider","I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"reason","risen","no","reason","risen",100
"2025-03-13","1","pre-training","09:12:34","101",NA,"spreadsheet2","","highLD",14,"trial","response","response",100,2705.900000008929,"response_slider","I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"reason","risen","no","reason","risen",100
"2025-03-13","1","pre-training","09:12:42","101",NA,"spreadsheet2","","highLD",15,"trial","response","response",14,7228.400000002992,"response_slider","I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"reason","risen","no","reason","risen",14
