Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress,allocator-cukp,randomiser-fgpw
﻿1,1742073515908,"15/03/2025, 21:18:35",1742055515908,-5,"15/03/2025, 11:18:35",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spreadsheet2,
2,1742073517200,"15/03/2025, 21:18:37",1742055517200,-5,"15/03/2025, 11:18:37",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,welcome and task description,dabwcr,1,continue,,1244.799999856949,1234.3000000000002,1244.799999856949,1244.799999856949,1234.3000000000002,1244.799999856949,1,0,0,,Click To Continue,Continue Button,3,object-283,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
3,1742073523952,"15/03/2025, 21:18:43",1742055523952,-5,"15/03/2025, 11:18:43",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,fixation,71ygsn,2,continue,,6761.899999952317,6750.800000000001,6761.899999952317,6761.899999952317,6750.800000000001,6761.899999952317,1,0,0,,Click To Continue,Continue Button,2,object-287,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
4,1742073523957,"15/03/2025, 21:18:43",1742055523957,-5,"15/03/2025, 11:18:43",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,trial,y8sx24,3,info,,16.199999856948125,0,16.199999856948125,16.199999856948125,0,16.199999856948125,1,0,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
5,1742073528036,"15/03/2025, 21:18:48",1742055528036,-5,"15/03/2025, 11:18:48",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,trial,y8sx24,3,continue,,4095.500000047683,4083.7999999999993,4095.500000047683,4095.500000047683,4083.7999999999993,4095.500000047683,1,0,0,,Click To Continue,Continue Button,3,object-293,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
6,1742073528038,"15/03/2025, 21:18:48",1742055528038,-5,"15/03/2025, 11:18:48",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,trial,y8sx24,3,response,,4097.500000047683,4083.7999999999993,4097.500000047683,4097.500000047683,4083.7999999999993,4097.500000047683,1,0,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
7,1742073529603,"15/03/2025, 21:18:49",1742055529603,-5,"15/03/2025, 11:18:49",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,no feedback,ebnzxp,4,continue,,1567,1550.1000000000004,1567,1567,1550.1000000000004,1567,1,0,0,,Click To Continue,Continue Button,2,object-297,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
8,1742073530336,"15/03/2025, 21:18:50",1742055530336,-5,"15/03/2025, 11:18:50",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,adjust,vl7wbf,5,continue,,761.6999999523159,750.1999999999989,761.6999999523159,761.6999999523159,750.1999999999989,761.6999999523159,1,0,0,,Click To Continue,Continue Button,2,object-343,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
9,1742073532387,"15/03/2025, 21:18:52",1742055532387,-5,"15/03/2025, 11:18:52",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,2061.999999952317,2050.2000000000007,2061.999999952317,2061.999999952317,2050.2000000000007,2061.999999952317,1,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
10,1742073533171,"15/03/2025, 21:18:53",1742055533171,-5,"15/03/2025, 11:18:53",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,2846.0999998569496,2833.100000000002,2846.0999998569496,2846.0999998569496,2833.100000000002,2846.0999998569496,1,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
11,1742073534323,"15/03/2025, 21:18:54",1742055534323,-5,"15/03/2025, 11:18:54",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,samples,bt77lf,6,continue,,3983.2999999999993,3966.5,3983.2999999999993,3983.2999999999993,3966.5,3983.2999999999993,1,0,0,,Click To Continue,Continue Button,10,object-309,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
12,1742073535271,"15/03/2025, 21:18:55",1742055535271,-5,"15/03/2025, 11:18:55",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,number of blocks and trials,ltk5d3,7,continue,,967.4000000000015,950.7000000000007,967.4000000000015,967.4000000000015,950.7000000000007,967.4000000000015,1,0,0,,Click To Continue,Continue Button,2,object-313,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
13,1742073536005,"15/03/2025, 21:18:56",1742055536005,-5,"15/03/2025, 11:18:56",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,instructions_1D,start,cfmwuw,8,continue,,750.0000000000036,733.4000000000015,750.0000000000036,750.0000000000036,733.4000000000015,750.0000000000036,1,0,0,,Click To Continue,Continue Button,2,object-318,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet2,
14,1742073536976,"15/03/2025, 21:18:56",1742055536976,-5,"15/03/2025, 11:18:56",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,block_display,block display,k7f15e,1,timedOut,,1000.4999998569474,1000.0999999999985,1000.4999998569474,1000.4999998569474,1000.0999999999985,1000.4999998569474,1,0,0,,Time Limit,screen,0,screen,block_display,,reason-risen,,,risen.png,reason.png,,,,,,Block 1 of 4,,28,,risen.png,reason.png,,1,spreadsheet2,
15,1742073537126,"15/03/2025, 21:18:57",1742055537126,-5,"15/03/2025, 11:18:57",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,trial,150 ms pause,rz316y,1,timedOut,,150.29999995231628,150,150.29999995231628,150.29999995231628,150,150.29999995231628,1,0,0,,Time Limit,screen,0,screen,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,1,spreadsheet2,
16,1742073537128,"15/03/2025, 21:18:57",1742055537128,-5,"15/03/2025, 11:18:57",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,trial,fixation and stimuli,qfds9m,2,info,audio started,2.700000047683716,0,2.700000047683716,2.700000047683716,0,2.700000047683716,1,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,1,spreadsheet2,
