Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification,allocator-cukp,randomiser-fgpw
﻿1,1741997231595,"15/03/2025, 00:07:11",1741982831595,-4,"14/03/2025, 16:07:11",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,,,,,info,,BEGIN,,,,,,,,,,,,,,,,,,,,,spreadsheet1,
333,1741999296261,"15/03/2025, 00:41:36",1741984896261,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 2,koufhk,2,Please enter your age:,response,value,29,,,Age,1,object-187,,,,,,,,,,,,,,,,spreadsheet1,
334,1741999296262,"15/03/2025, 00:41:36",1741984896262,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 2,koufhk,2,Please specify your gender identity:,response,value,Female,,Female|Male|Non-binary|Prefer not to say,Gender,2,object-188,,,,,,,,,,,,,,,,spreadsheet1,
335,1741999296262,"15/03/2025, 00:41:36",1741984896262,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 2,koufhk,2,Please specify your gender identity:,response,quantised,1,,Female|Male|Non-binary|Prefer not to say,Gender,2,object-188,,,,,,,,,,,,,,,,spreadsheet1,
336,1741999296262,"15/03/2025, 00:41:36",1741984896262,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,,response,Language 1-value,English,,,Language 1,3,object-10,English,,,,,,,,,,,,,,,spreadsheet1,
337,1741999296263,"15/03/2025, 00:41:36",1741984896263,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Listening,response,value,0,,,Language 1 Listening,5,object-191,English,,,,,,,,,,,,,,,spreadsheet1,
338,1741999296263,"15/03/2025, 00:41:36",1741984896263,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Speaking,response,value,0,,,Language 1 Speaking,6,object-193,English,,,,,,,,,,,,,,,spreadsheet1,
339,1741999296264,"15/03/2025, 00:41:36",1741984896264,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Reading,response,value,3,,,Language 1 Reading,7,object-194,English,,,,,,,,,,,,,,,spreadsheet1,
340,1741999296265,"15/03/2025, 00:41:36",1741984896265,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Writing,response,value,3,,,Language 1 Writing,8,object-195,English,,,,,,,,,,,,,,,spreadsheet1,
341,1741999296266,"15/03/2025, 00:41:36",1741984896266,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Years of use**,response,value,26,,,Language 1 Years of use,9,object-196,English,,,,,,,,,,,,,,,spreadsheet1,
