ID	prepost	pair	first_dim_step	norm_response	pred
2	posttraining	indent-intent	1	3	2.63794720648106
2	posttraining	indent-intent	1	0	2.63794720648106
2	posttraining	indent-intent	1	12	2.63794720648106
2	posttraining	indent-intent	1	3	2.63794720648106
2	posttraining	indent-intent	2	0	2.647825734831
2	posttraining	indent-intent	2	0	2.647825734831
2	posttraining	indent-intent	2	0	2.647825734831
2	posttraining	indent-intent	2	14	2.647825734831
2	posttraining	indent-intent	3	0	3.79580088533455
2	posttraining	indent-intent	3	0	3.79580088533455
2	posttraining	indent-intent	3	0	3.79580088533455
2	posttraining	indent-intent	3	4	3.79580088533455
2	posttraining	indent-intent	4	89	59.1637330848806
2	posttraining	indent-intent	4	19	59.1637330848806
2	posttraining	indent-intent	4	32	59.1637330848806
2	posttraining	indent-intent	4	97	59.1637330848806
2	posttraining	indent-intent	5	100	97.8781224029807
2	posttraining	indent-intent	5	100	97.8781224029807
2	posttraining	indent-intent	5	100	97.8781224029807
2	posttraining	indent-intent	5	100	97.8781224029807
2	posttraining	indent-intent	6	100	98.4358995953493
2	posttraining	indent-intent	6	100	98.4358995953493
2	posttraining	indent-intent	6	100	98.4358995953493
2	posttraining	indent-intent	6	97	98.4358995953493
2	posttraining	indent-intent	7	94	98.4406693649529
2	posttraining	indent-intent	7	100	98.4406693649529
2	posttraining	indent-intent	7	89	98.4406693649529
2	posttraining	indent-intent	7	99	98.4406693649529
2	posttraining	kata-katta	1	0	27.542743660432
2	posttraining	kata-katta	1	2	27.542743660432
2	posttraining	kata-katta	1	1	27.542743660432
2	posttraining	kata-katta	1	99	27.542743660432
2	posttraining	kata-katta	2	1	27.5427436795378
2	posttraining	kata-katta	2	1	27.5427436795378
2	posttraining	kata-katta	2	1	27.5427436795378
2	posttraining	kata-katta	2	98	27.5427436795378
2	posttraining	kata-katta	3	1	27.5427454486768
2	posttraining	kata-katta	3	99	27.5427454486768
2	posttraining	kata-katta	3	0	27.5427454486768
2	posttraining	kata-katta	4	1	27.5429092654485
2	posttraining	kata-katta	4	1	27.5429092654485
2	posttraining	kata-katta	4	99	27.5429092654485
2	posttraining	kata-katta	5	1	27.558075014282
2	posttraining	kata-katta	5	2	27.558075014282
2	posttraining	kata-katta	5	1	27.558075014282
2	posttraining	kata-katta	5	99	27.558075014282
2	posttraining	kata-katta	6	1	28.9353914243077
2	posttraining	kata-katta	6	4	28.9353914243077
2	posttraining	kata-katta	6	1	28.9353914243077
2	posttraining	kata-katta	6	98	28.9353914243077
2	posttraining	kata-katta	7	2	74.2568054854896
2	posttraining	kata-katta	7	99	74.2568054854896
2	posttraining	kata-katta	7	98	74.2568054854896
2	posttraining	kata-katta	7	99	74.2568054854896
2	posttraining	reason-risen	1	52	14.9917685779105
2	posttraining	reason-risen	1	0	14.9917685779105
2	posttraining	reason-risen	1	8	14.9917685779105
2	posttraining	reason-risen	1	0	14.9917685779105
2	posttraining	reason-risen	2	35	15.0328047481294
2	posttraining	reason-risen	2	25	15.0328047481294
2	posttraining	reason-risen	2	0	15.0328047481294
2	posttraining	reason-risen	2	1	15.0328047481294
2	posttraining	reason-risen	3	7	29.8888920693311
2	posttraining	reason-risen	3	25	29.8888920693311
2	posttraining	reason-risen	3	16	29.8888920693311
2	posttraining	reason-risen	3	70	29.8888920693311
2	posttraining	reason-risen	4	71	77.0837084435674
2	posttraining	reason-risen	4	95	77.0837084435674
2	posttraining	reason-risen	4	85	77.0837084435674
2	posttraining	reason-risen	4	100	77.0837084435674
2	posttraining	reason-risen	5	7	77.5003530558041
2	posttraining	reason-risen	5	13	77.5003530558041
2	posttraining	reason-risen	5	100	77.5003530558041
2	posttraining	reason-risen	5	100	77.5003530558041
2	posttraining	reason-risen	6	45	77.5012355512627
2	posttraining	reason-risen	6	74	77.5012355512627
2	posttraining	reason-risen	6	100	77.5012355512627
2	posttraining	reason-risen	6	80	77.5012355512627
2	posttraining	reason-risen	7	100	77.5012374080185
2	posttraining	reason-risen	7	100	77.5012374080185
2	posttraining	reason-risen	7	69	77.5012374080185
2	posttraining	reason-risen	7	100	77.5012374080185
2	posttraining	toru-tooru	1	0	24.124863507969
2	posttraining	toru-tooru	1	0	24.124863507969
2	posttraining	toru-tooru	1	0	24.124863507969
2	posttraining	toru-tooru	1	0	24.124863507969
2	posttraining	toru-tooru	2	100	24.1274009034557
2	posttraining	toru-tooru	2	100	24.1274009034557
2	posttraining	toru-tooru	2	0	24.1274009034557
2	posttraining	toru-tooru	2	0	24.1274009034557
2	posttraining	toru-tooru	3	0	26.6185007766005
2	posttraining	toru-tooru	3	0	26.6185007766005
2	posttraining	toru-tooru	3	99	26.6185007766005
2	posttraining	toru-tooru	3	0	26.6185007766005
2	posttraining	toru-tooru	4	100	97.8624038863848
2	posttraining	toru-tooru	4	100	97.8624038863848
2	posttraining	toru-tooru	4	100	97.8624038863848
2	posttraining	toru-tooru	4	100	97.8624038863848
2	posttraining	toru-tooru	5	100	99.9978332202737
2	posttraining	toru-tooru	5	100	99.9978332202737
2	posttraining	toru-tooru	5	100	99.9978332202737
2	posttraining	toru-tooru	5	100	99.9978332202737
2	posttraining	toru-tooru	6	100	99.9999978327048
2	posttraining	toru-tooru	6	99	99.9999978327048
2	posttraining	toru-tooru	6	100	99.9999978327048
2	posttraining	toru-tooru	6	100	99.9999978327048
2	posttraining	toru-tooru	7	100	99.9999999651441
2	posttraining	toru-tooru	7	100	99.9999999651441
2	posttraining	toru-tooru	7	100	99.9999999651441
2	posttraining	toru-tooru	7	100	99.9999999651441
2	pretraining	indent-intent	1	0	5.26514984244609
2	pretraining	indent-intent	1	0	5.26514984244609
2	pretraining	indent-intent	1	0	5.26514984244609
2	pretraining	indent-intent	1	0	5.26514984244609
2	pretraining	indent-intent	2	20	6.28101529593443
2	pretraining	indent-intent	2	5	6.28101529593443
2	pretraining	indent-intent	2	5	6.28101529593443
2	pretraining	indent-intent	2	20	6.28101529593443
2	pretraining	indent-intent	3	30	21.229302671114
2	pretraining	indent-intent	3	15	21.229302671114
2	pretraining	indent-intent	3	5	21.229302671114
2	pretraining	indent-intent	3	30	21.229302671114
2	pretraining	indent-intent	4	100	79.3939443239916
2	pretraining	indent-intent	4	100	79.3939443239916
2	pretraining	indent-intent	4	80	79.3939443239916
2	pretraining	indent-intent	4	40	79.3939443239916
2	pretraining	indent-intent	5	100	98.5352078774615
2	pretraining	indent-intent	5	100	98.5352078774615
2	pretraining	indent-intent	5	100	98.5352078774615
2	pretraining	indent-intent	5	95	98.5352078774615
2	pretraining	indent-intent	6	100	99.9160046448555
2	pretraining	indent-intent	6	99	99.9160046448555
2	pretraining	indent-intent	6	100	99.9160046448555
2	pretraining	indent-intent	6	100	99.9160046448555
2	pretraining	indent-intent	7	100	99.995249443348
2	pretraining	indent-intent	7	100	99.995249443348
2	pretraining	indent-intent	7	100	99.995249443348
2	pretraining	indent-intent	7	100	99.995249443348
2	pretraining	kata-katta	1	0	8.1780507846707
2	pretraining	kata-katta	1	0	8.1780507846707
2	pretraining	kata-katta	1	0	8.1780507846707
2	pretraining	kata-katta	1	0	8.1780507846707
2	pretraining	kata-katta	2	0	8.17808136478029
2	pretraining	kata-katta	2	0	8.17808136478029
2	pretraining	kata-katta	2	0	8.17808136478029
2	pretraining	kata-katta	2	0	8.17808136478029
2	pretraining	kata-katta	3	100	8.19647683832896
2	pretraining	kata-katta	3	0	8.19647683832896
2	pretraining	kata-katta	3	0	8.19647683832896
2	pretraining	kata-katta	3	0	8.19647683832896
2	pretraining	kata-katta	4	0	17.4935035985668
2	pretraining	kata-katta	4	50	17.4935035985668
2	pretraining	kata-katta	4	0	17.4935035985668
2	pretraining	kata-katta	5	100	65.8574854187111
2	pretraining	kata-katta	5	0	65.8574854187111
2	pretraining	kata-katta	5	100	65.8574854187111
2	pretraining	kata-katta	5	100	65.8574854187111
2	pretraining	kata-katta	6	50	66.3594729314126
2	pretraining	kata-katta	6	55	66.3594729314126
2	pretraining	kata-katta	6	90	66.3594729314126
2	pretraining	kata-katta	6	0	66.3594729314126
2	pretraining	kata-katta	7	100	66.3603144293141
2	pretraining	kata-katta	7	100	66.3603144293141
2	pretraining	kata-katta	7	100	66.3603144293141
2	pretraining	kata-katta	7	0	66.3603144293141
2	pretraining	reason-risen	1	0	8.57527255989303
2	pretraining	reason-risen	1	27	8.57527255989303
2	pretraining	reason-risen	1	5	8.57527255989303
2	pretraining	reason-risen	1	3	8.57527255989303
2	pretraining	reason-risen	2	1	8.57529404870523
2	pretraining	reason-risen	2	0	8.57529404870523
2	pretraining	reason-risen	2	9	8.57529404870523
2	pretraining	reason-risen	2	18	8.57529404870523
2	pretraining	reason-risen	3	1	8.57683936198936
2	pretraining	reason-risen	3	1	8.57683936198936
2	pretraining	reason-risen	3	28	8.57683936198936
2	pretraining	reason-risen	3	38	8.57683936198936
2	pretraining	reason-risen	4	0	8.6877624440043
2	pretraining	reason-risen	4	3	8.6877624440043
