"local_date","session","ID","exp_group","response","reaction_time","correct","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","days_between","log_rt","median_rt","mad","upper_mad","lower_mad"
"2025-04-28","1","4","High LD","same",2425.7999999999774,1,"ite-itte","same","AA","ite","itte","M_ite.mp3","M_ite.mp3","same","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,7.793916645874771,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",656.3000000000247,1,"ojisan-ojiisan","same","AA","ojisan","ojiisan","F_ojisan.mp3","M_ojisan.mp3","different","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.486618001479715,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",417.80000000004657,1,"yusoo-yuusoo","different","AB","yusoo","yuusoo","F_yusoo.mp3","F_yuusoo.mp3","same","Japanese","transport, transportation","mailing, posting","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.035002849122577,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",752.1000000000458,1,"iso-isso","different","BA","iso","isso","M_isso.mp3","M_iso.mp3","same","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.6228692938324185,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",596.9000000000233,1,"shiru-shiiru","different","AB","shiru","shiiru","F_shiru.mp3","M_shiiru.mp3","different","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.391749595174643,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",499.90000000000873,1,"heta-hetta","different","BA","heta","hetta","M_hetta.mp3","M_heta.mp3","same","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.214408078419543,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",283.3000000000102,1,"ojisan-ojiisan","same","AA","ojisan","ojiisan","M_ojisan.mp3","M_ojisan.mp3","same","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,5.646506406836507,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",442.8999999999796,1,"ishoku-isshoku","same","AA","ishoku","isshoku","F_ishoku.mp3","F_ishoku.mp3","same","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.093344010929107,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",1044.8000000000466,1,"gaki-gakki","different","AB","gaki","gakki","F_gaki.mp3","M_gakki.mp3","different","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.951580758522211,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",488.1000000000204,1,"yusoo-yuusoo","same","BB","yusoo","yuusoo","F_yuusoo.mp3","M_yuusoo.mp3","different","Japanese","transport, transportation","mailing, posting","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.190520302893144,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
