Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,F_response,J_response,TrialsPerBlock,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: word_pair,Spreadsheet: signal,Spreadsheet: break_duration,Spreadsheet: word_A,Spreadsheet: word_B,Spreadsheet: sound_A_male,Spreadsheet: sound_A_female,Spreadsheet: sound_B_male,Spreadsheet: sound_B_female,Spreadsheet: sound_1,Spreadsheet: sound_2,Spreadsheet: alt_writing_A,Spreadsheet: alt_writing_B,Spreadsheet: orthography_A,Spreadsheet: orthography_B,Spreadsheet: language,Spreadsheet: gloss_A,Spreadsheet: gloss_B,Spreadsheet: pitch_accent_A,Spreadsheet: pitch_accent_B,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity_A,Spreadsheet: phoneme_identity_B,Spreadsheet: length_A,Spreadsheet: length_B,Spreadsheet: segment_type,Spreadsheet: word_position,Spreadsheet: task,Spreadsheet: block_display,Spreadsheet: randomize_language_blocks,Spreadsheet: transliteration_A,Spreadsheet: transliteration_B,Manipulation: Spreadsheet,Manipulation: F_response,Manipulation: J_response,Manipulation: TrialsPerBlock,Store: Progress,Store: FeedbackProgress
1,1745520830331,24/04/2025 18:53:50,1745506430331,-4,24/04/2025 10:53:50,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1470x956,1470x798,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1745520841473,24/04/2025 18:54:01,1745506441473,-4,24/04/2025 10:54:01,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1470x956,1470x798,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1745521330449,24/04/2025 19:02:10,1745506930449,-4,24/04/2025 11:02:10,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1745521333945,24/04/2025 19:02:13,1745506933945,-4,24/04/2025 11:02:13,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,instructions,Screen 1,de1oim,1,continue,,3503.5999999999976,3499.499999999999,3503.5999999999976,3503.5999999999976,3499.499999999999,3503.5999999999976,1,3503.5999999999976,0,0,,Click To Continue,Continue Button,2,object-393,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAME,DIFFERENT,36,37,36
5,1745521335942,24/04/2025 19:02:15,1745506935942,-4,24/04/2025 11:02:15,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,block_display,Screen 1,6te5rm,1,timedOut,,2002.2999999046333,2001.9000000000015,2002.2999999046333,2002.2999999046333,2001.9000000000015,2002.2999999046333,1,2002.2999999046333,0,0,,Time Limit,screen,0,screen,block_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block 1 of 8,,,,,SAME,DIFFERENT,36,1,0
6,1745521336443,24/04/2025 19:02:16,1745506936443,-4,24/04/2025 11:02:16,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,fixation,5y7evd,1,continue,,500.5,500.5,500.5,500.5,500.5,500.5,1,500.5,0,0,,Fixation Timing,Fixation,1,object-213,training_trial,AA,ishoku-isshoku,same,,ishoku,isshoku,M_ishoku.mp3,F_ishoku.mp3,M_isshoku.mp3,F_isshoku.mp3,F_ishoku.mp3,F_ishoku.mp3,いしょく,いっしょく,移植（いしょく）,一色（いっしょく）,Japanese,"transplanting, grafting",one color; one kind,LHH,LHHH,sh,sh,ssh,short,long,consonant,medial,training,,4,ishoku,isshoku,,SAME,DIFFERENT,36,1,0
7,1745521336445,24/04/2025 19:02:16,1745506936445,-4,24/04/2025 11:02:16,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,sound1,emeov4,2,info,audio started,2.7999999999992724,0,2.7999999999992724,2.7999999999992724,0,2.7999999999992724,1,2.7999999999992724,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,ishoku-isshoku,same,,ishoku,isshoku,M_ishoku.mp3,F_ishoku.mp3,M_isshoku.mp3,F_isshoku.mp3,F_ishoku.mp3,F_ishoku.mp3,いしょく,いっしょく,移植（いしょく）,一色（いっしょく）,Japanese,"transplanting, grafting",one color; one kind,LHH,LHHH,sh,sh,ssh,short,long,consonant,medial,training,,4,ishoku,isshoku,,SAME,DIFFERENT,36,1,0
8,1745521337118,24/04/2025 19:02:17,1745506937118,-4,24/04/2025 11:02:17,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,sound1,emeov4,2,info,audio finished,675.8999999999978,671.6999999999989,675.8999999999978,675.8999999999978,671.6999999999989,675.8999999999978,1,675.8999999999978,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,ishoku-isshoku,same,,ishoku,isshoku,M_ishoku.mp3,F_ishoku.mp3,M_isshoku.mp3,F_isshoku.mp3,F_ishoku.mp3,F_ishoku.mp3,いしょく,いっしょく,移植（いしょく）,一色（いっしょく）,Japanese,"transplanting, grafting",one color; one kind,LHH,LHHH,sh,sh,ssh,short,long,consonant,medial,training,,4,ishoku,isshoku,,SAME,DIFFERENT,36,1,0
9,1745521337119,24/04/2025 19:02:17,1745506937119,-4,24/04/2025 11:02:17,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,sound1,emeov4,2,continue,,675.8999999999978,671.6999999999989,675.8999999999978,675.8999999999978,671.6999999999989,675.8999999999978,1,675.8999999999978,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,ishoku-isshoku,same,,ishoku,isshoku,M_ishoku.mp3,F_ishoku.mp3,M_isshoku.mp3,F_isshoku.mp3,F_ishoku.mp3,F_ishoku.mp3,いしょく,いっしょく,移植（いしょく）,一色（いっしょく）,Japanese,"transplanting, grafting",one color; one kind,LHH,LHHH,sh,sh,ssh,short,long,consonant,medial,training,,4,ishoku,isshoku,,SAME,DIFFERENT,36,1,0
10,1745521337616,24/04/2025 19:02:17,1745506937616,-4,24/04/2025 11:02:17,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,ISI,s3rz1h,3,timedOut,,501.7999999284748,500.39999999999964,501.7999999284748,501.7999999284748,500.39999999999964,501.7999999284748,1,501.7999999284748,0,0,,Time Limit,screen,0,screen,training_trial,AA,ishoku-isshoku,same,,ishoku,isshoku,M_ishoku.mp3,F_ishoku.mp3,M_isshoku.mp3,F_isshoku.mp3,F_ishoku.mp3,F_ishoku.mp3,いしょく,いっしょく,移植（いしょく）,一色（いっしょく）,Japanese,"transplanting, grafting",one color; one kind,LHH,LHHH,sh,sh,ssh,short,long,consonant,medial,training,,4,ishoku,isshoku,,SAME,DIFFERENT,36,1,0
