Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sentence,Spreadsheet: key_word,Spreadsheet: sound,Spreadsheet: correct_answer,Spreadsheet: competing_distractor,Spreadsheet: non_competing_distractor_1,Spreadsheet: non_competing_distractor_2,Spreadsheet: origin_task,Spreadsheet: length,Spreadsheet: segment_type,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity,Spreadsheet: word_position,Spreadsheet: c_label,Spreadsheet: cd_label,Spreadsheet: ncd1_label,Spreadsheet: ncd2_label,Manipulation: Spreadsheet,Store: Example
1,1745176915345,20/04/2025 19:21:55,1745162515345,-4,20/04/2025 11:21:55,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1745176922551,20/04/2025 19:22:02,1745162522551,-4,20/04/2025 11:22:02,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,1,post-test instructions,welcome back,mcprcj,1,continue,,7227.3,7216.7,7227.3,7227.3,7216.7,7227.3,1,7227.3,0,0,,Click To Continue,Continue Button,2,object-123,post-test instructions,,,,,,,,,,,,,,,,,,,correct
3,1745176923725,20/04/2025 19:22:03,1745162523725,-4,20/04/2025 11:22:03,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,1,post-test instructions,start,az9p42,2,continue,,1183,1166.5,1183,1183,1166.5,1183,1,1183,0,0,,Click To Continue,Continue Button,2,object-129,post-test instructions,,,,,,,,,,,,,,,,,,,correct
4,1745176925569,20/04/2025 19:22:05,1745162525569,-4,20/04/2025 11:22:05,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,info,audio started,1861.8999999523166,1850,1861.8999999523166,1861.8999999523166,1850,1861.8999999523166,0,1861.8999999523166,0,0,,Audio Clip,Audio,3,object-78,trial,___でしょうかな。,haaku_s,F_haaku_s.mp3,haaku,haku,hakku,hakuu,training,long,vowel,a,aa,medial,はあく,はく,はっく,はくう,,correct
5,1745176926961,20/04/2025 19:22:06,1745162526961,-4,20/04/2025 11:22:06,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,info,audio finished,3254.3999999523166,3250.1000000000004,3254.3999999523166,3254.3999999523166,3250.1000000000004,3254.3999999523166,0,3254.3999999523166,0,0,,Audio Clip,Audio,3,object-78,trial,___でしょうかな。,haaku_s,F_haaku_s.mp3,haaku,haku,hakku,hakuu,training,long,vowel,a,aa,medial,はあく,はく,はっく,はくう,,correct
6,1745176929084,20/04/2025 19:22:09,1745162529084,-4,20/04/2025 11:22:09,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,action,haaku,5377.200000023842,5366.9,5377.200000023842,5377.200000023842,5366.9,5377.200000023842,1,5377.200000023842,0,0,,CustomMultichoice,CustomMultichoice,4,object-68,trial,___でしょうかな。,haaku_s,F_haaku_s.mp3,haaku,haku,hakku,hakuu,training,long,vowel,a,aa,medial,はあく,はく,はっく,はくう,,correct
7,1745176930365,20/04/2025 19:22:10,1745162530365,-4,20/04/2025 11:22:10,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,continue,,6657.899999952317,6650.300000000001,6657.899999952317,6657.899999952317,6650.300000000001,6657.899999952317,0,6657.899999952317,0,0,,Click To Continue,Continue Button,5,object-70,trial,___でしょうかな。,haaku_s,F_haaku_s.mp3,haaku,haku,hakku,hakuu,training,long,vowel,a,aa,medial,はあく,はく,はっく,はくう,,correct
8,1745176930365,20/04/2025 19:22:10,1745162530365,-4,20/04/2025 11:22:10,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,response,haaku,6658.6,6650.300000000001,6658.6,6658.6,6650.300000000001,6658.6,1,6658.6,0,0,haaku,CustomMultichoice,CustomMultichoice,4,object-68,trial,___でしょうかな。,haaku_s,F_haaku_s.mp3,haaku,haku,hakku,hakuu,training,long,vowel,a,aa,medial,はあく,はく,はっく,はくう,,correct
9,1745176939424,20/04/2025 19:22:19,1745162539424,-4,20/04/2025 11:22:19,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,2,trial,Screen 1,6wu76v,1,info,audio started,9066.8,9050,9066.8,9066.8,9050,9066.8,0,9066.8,0,0,,Audio Clip,Audio,3,object-78,trial,___はしりません。,tannin_s,F_tannin_s.mp3,tannin,tanin,taiin,tainin,testing,long,consonant,n,nn,medial,たんにん,たにん,たいいん,たいにん,,correct
10,1745176940985,20/04/2025 19:22:20,1745162540985,-4,20/04/2025 11:22:20,220732,2,task-6f19,repeat-7t26#4,45530689,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,post_test_assessment,post_test_assessment,2,trial,Screen 1,6wu76v,1,info,audio finished,10628.3,10616.5,10628.3,10628.3,10616.5,10628.3,0,10628.3,0,0,,Audio Clip,Audio,3,object-78,trial,___はしりません。,tannin_s,F_tannin_s.mp3,tannin,tanin,taiin,tainin,testing,long,consonant,n,nn,medial,たんにん,たにん,たいいん,たいにん,,correct
