endpoint1,endpoint2,step,time_index,time,formant,frequency
reason_1,risen_1,1,1,0.033,1,340
reason_1,risen_1,1,1,0.033,2,1197
reason_1,risen_1,1,1,0.033,3,2646
reason_1,risen_1,1,2,0.041,1,340
reason_1,risen_1,1,2,0.041,2,1204
reason_1,risen_1,1,2,0.041,3,2646
reason_1,risen_1,1,3,0.05,1,350
reason_1,risen_1,1,3,0.05,2,1322
reason_1,risen_1,1,3,0.05,3,2653
reason_1,risen_1,1,4,0.058,1,361
reason_1,risen_1,1,4,0.058,2,1480
reason_1,risen_1,1,4,0.058,3,2685
reason_1,risen_1,1,5,0.066,1,364
reason_1,risen_1,1,5,0.066,2,1638
reason_1,risen_1,1,5,0.066,3,2749
reason_1,risen_1,1,6,0.074,1,366
reason_1,risen_1,1,6,0.074,2,1846
reason_1,risen_1,1,6,0.074,3,2802
reason_1,risen_1,1,7,0.083,1,366
reason_1,risen_1,1,7,0.083,2,2117
reason_1,risen_1,1,7,0.083,3,2854
reason_1,risen_1,1,8,0.091,1,365
reason_1,risen_1,1,8,0.091,2,2332
reason_1,risen_1,1,8,0.091,3,2898
reason_1,risen_1,1,9,0.099,1,363
reason_1,risen_1,1,9,0.099,2,2493
reason_1,risen_1,1,9,0.099,3,2949
reason_1,risen_1,1,10,0.107,1,362
reason_1,risen_1,1,10,0.107,2,2616
reason_1,risen_1,1,10,0.107,3,3016
reason_1,risen_1,1,11,0.116,1,360
reason_1,risen_1,1,11,0.116,2,2710
reason_1,risen_1,1,11,0.116,3,3083
reason_1,risen_1,1,12,0.124,1,359
reason_1,risen_1,1,12,0.124,2,2822
reason_1,risen_1,1,12,0.124,3,3110
reason_1,risen_1,1,13,0.132,1,361
reason_1,risen_1,1,13,0.132,2,2908
reason_1,risen_1,1,13,0.132,3,3241
reason_1,risen_1,1,14,0.14,1,362
reason_1,risen_1,1,14,0.14,2,2939
reason_1,risen_1,1,14,0.14,3,3320
reason_1,risen_1,1,15,0.149,1,364
reason_1,risen_1,1,15,0.149,2,2932
reason_1,risen_1,1,15,0.149,3,3328
reason_1,risen_1,1,16,0.157,1,366
reason_1,risen_1,1,16,0.157,2,2899
reason_1,risen_1,1,16,0.157,3,3301
reason_1,risen_1,1,17,0.165,1,368
reason_1,risen_1,1,17,0.165,2,2859
reason_1,risen_1,1,17,0.165,3,3318
reason_1,risen_1,1,18,0.173,1,372
reason_1,risen_1,1,18,0.173,2,2838
reason_1,risen_1,1,18,0.173,3,3326
reason_1,risen_1,1,19,0.182,1,378
reason_1,risen_1,1,19,0.182,2,2832
reason_1,risen_1,1,19,0.182,3,3324
reason_1,risen_1,1,20,0.19,1,385
reason_1,risen_1,1,20,0.19,2,2828
reason_1,risen_1,1,20,0.19,3,3299
reason_1,risen_1,1,21,0.198,1,393
reason_1,risen_1,1,21,0.198,2,2815
reason_1,risen_1,1,21,0.198,3,3273
reason_1,risen_1,1,22,0.206,1,401
reason_1,risen_1,1,22,0.206,2,2778
reason_1,risen_1,1,22,0.206,3,3257
reason_1,risen_1,1,23,0.215,1,408
reason_1,risen_1,1,23,0.215,2,2701
reason_1,risen_1,1,23,0.215,3,3240
reason_1,risen_1,1,24,0.223,1,414
reason_1,risen_1,1,24,0.223,2,2634
reason_1,risen_1,1,24,0.223,3,3243
reason_1,risen_1,1,25,0.231,1,416
reason_1,risen_1,1,25,0.231,2,2530
reason_1,risen_1,1,25,0.231,3,3230
reason_1,risen_1,1,26,0.239,1,415
reason_1,risen_1,1,26,0.239,2,2424
reason_1,risen_1,1,26,0.239,3,3212
reason_1,risen_1,1,27,0.248,1,409
reason_1,risen_1,1,27,0.248,2,2320
reason_1,risen_1,1,27,0.248,3,3194
reason_1,risen_1,1,28,0.256,1,395
reason_1,risen_1,1,28,0.256,2,2228
reason_1,risen_1,1,28,0.256,3,3182
reason_1,risen_1,1,29,0.264,1,376
reason_1,risen_1,1,29,0.264,2,2193
reason_1,risen_1,1,29,0.264,3,3197
reason_1,risen_1,1,30,0.272,1,371
reason_1,risen_1,1,30,0.272,2,2187
reason_1,risen_1,1,30,0.272,3,3200
reason_1,risen_1,2,1,0.033,1,343
reason_1,risen_1,2,1,0.033,2,1234
reason_1,risen_1,2,1,0.033,3,2578
reason_1,risen_1,2,2,0.041,1,344
reason_1,risen_1,2,2,0.041,2,1240
reason_1,risen_1,2,2,0.041,3,2580
reason_1,risen_1,2,3,0.05,1,355
reason_1,risen_1,2,3,0.05,2,1343
reason_1,risen_1,2,3,0.05,3,2600
reason_1,risen_1,2,4,0.058,1,365
reason_1,risen_1,2,4,0.058,2,1489
