sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.082,280.8,312,280.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.092,287.2,319.5,287.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.102,293.1,327.1,293.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.112,298.7,334.2,298.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.122,302.3,338.6,302.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.132,304.7,341.3,304.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.142,305.8,342.8,305.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.152,308.4,343.4,308.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.162,310.6,343,310.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.172,312.3,341.3,312.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.182,313.4,333.7,313.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.192,314.2,320.9,314.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.202,314.7,304.6,314.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.212,314.5,285.5,314.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.222,314.2,264.5,314.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.232,313.7,242.9,313.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.242,312.9,226.1,312.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.252,312,212.7,312,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.262,310.9,201.7,310.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.272,309.6,192.3,309.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.282,307.5,184.6,307.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.292,304.6,178.2,304.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.302,291.3,174.7,291.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.312,271.6,173.3,271.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.322,245.4,NA,NA,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.332,229.7,152.9,229.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.342,218.1,152.8,218.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.352,210.4,152.4,210.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.362,200.3,150.4,200.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,1,0.372,187,147.3,187,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.082,280.8,312,288.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.092,287.2,319.5,294.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.102,293.1,327.1,301.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.112,298.7,334.2,307.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.122,302.3,338.6,311,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.132,304.7,341.3,313.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.142,305.8,342.8,314.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.152,308.4,343.4,316.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.162,310.6,343,318.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.172,312.3,341.3,319.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.182,313.4,333.7,318.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.192,314.2,320.9,315.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.202,314.7,304.6,312.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.212,314.5,285.5,307,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.222,314.2,264.5,300.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.232,313.7,242.9,294.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.242,312.9,226.1,288.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.252,312,212.7,283.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.262,310.9,201.7,279,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.272,309.6,192.3,274.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.282,307.5,184.6,270.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.292,304.6,178.2,266.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.302,291.3,174.7,256.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.312,271.6,173.3,242.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.322,245.4,NA,NA,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.332,229.7,152.9,207.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.342,218.1,152.8,199.5,log
