"display","sound","pair","language","first_dim_step","second_dim_step","endpoint_1","endpoint_2","left_word","right_word","randomize_trials","break_duration","block_display"
"instructions_1D",,,,,,,,,,,"",
"block_display",,"indent-intent",,,,,,"indent.png","intent.png",,"","Block 1 of 4"
"trial","D_T_VOT_1_F0_3.mp3","indent-intent","English",1,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_2_F0_3.mp3","indent-intent","English",2,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_3_F0_3.mp3","indent-intent","English",3,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_5_F0_3.mp3","indent-intent","English",5,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_6_F0_3.mp3","indent-intent","English",6,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_7_F0_3.mp3","indent-intent","English",7,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_1_F0_3.mp3","indent-intent","English",1,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_2_F0_3.mp3","indent-intent","English",2,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_3_F0_3.mp3","indent-intent","English",3,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_5_F0_3.mp3","indent-intent","English",5,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_6_F0_3.mp3","indent-intent","English",6,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_7_F0_3.mp3","indent-intent","English",7,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_1_F0_3.mp3","indent-intent","English",1,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_2_F0_3.mp3","indent-intent","English",2,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_3_F0_3.mp3","indent-intent","English",3,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_5_F0_3.mp3","indent-intent","English",5,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_6_F0_3.mp3","indent-intent","English",6,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_7_F0_3.mp3","indent-intent","English",7,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_1_F0_3.mp3","indent-intent","English",1,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_2_F0_3.mp3","indent-intent","English",2,3,"left_word","right_word",,,1,"",
"trial","D_T_VOT_3_F0_3.mp3","indent-intent","English",3,3,"left_word","right_word",,,1,"",
