ID	pair	second_dim_step	first_dim_step	norm_response	pred
12875031	indent-intent	1	1	15	18.4425166291448
12875031	indent-intent	1	1	3	18.4425166291448
12875031	indent-intent	1	1	7	18.4425166291448
12875031	indent-intent	2	1	5	18.4436041953348
12875031	indent-intent	2	1	15	18.4436041953348
12875031	indent-intent	2	1	10	18.4436041953348
12875031	indent-intent	3	1	10	18.4449214676411
12875031	indent-intent	3	1	4	18.4449214676411
12875031	indent-intent	3	1	30	18.4449214676411
12875031	indent-intent	4	1	5	18.4465169498084
12875031	indent-intent	4	1	20	18.4465169498084
12875031	indent-intent	5	1	10	18.4484493814657
12875031	indent-intent	5	1	20	18.4484493814657
12875031	indent-intent	5	1	16	18.4484493814657
12875031	indent-intent	1	2	25	18.6610253811722
12875031	indent-intent	1	2	25	18.6610253811722
12875031	indent-intent	1	2	22	18.6610253811722
12875031	indent-intent	2	2	25	18.7080733461333
12875031	indent-intent	2	2	27	18.7080733461333
12875031	indent-intent	2	2	15	18.7080733461333
12875031	indent-intent	3	2	13	18.7649670136174
12875031	indent-intent	3	2	26	18.7649670136174
12875031	indent-intent	3	2	18	18.7649670136174
12875031	indent-intent	4	2	20	18.8337430491263
12875031	indent-intent	4	2	35	18.8337430491263
12875031	indent-intent	4	2	23	18.8337430491263
12875031	indent-intent	5	2	30	18.9168484349528
12875031	indent-intent	5	2	23	18.9168484349528
12875031	indent-intent	5	2	45	18.9168484349528
12875031	indent-intent	1	3	8	26.9161644609299
12875031	indent-intent	1	3	37	26.9161644609299
12875031	indent-intent	1	3	27	26.9161644609299
12875031	indent-intent	2	3	45	28.4259185390319
12875031	indent-intent	2	3	30	28.4259185390319
12875031	indent-intent	2	3	24	28.4259185390319
12875031	indent-intent	3	3	50	30.1473602185108
12875031	indent-intent	3	3	19	30.1473602185108
12875031	indent-intent	3	3	38	30.1473602185108
12875031	indent-intent	4	3	12	32.089883468457
12875031	indent-intent	4	3	31	32.089883468457
12875031	indent-intent	4	3	42	32.089883468457
12875031	indent-intent	5	3	33	34.2563492620947
12875031	indent-intent	5	3	15	34.2563492620947
12875031	indent-intent	5	3	40	34.2563492620947
12875031	indent-intent	1	4	90	73.7601559840587
12875031	indent-intent	1	4	65	73.7601559840587
12875031	indent-intent	1	4	45	73.7601559840587
12875031	indent-intent	2	4	75	75.0407894648303
12875031	indent-intent	2	4	91	75.0407894648303
12875031	indent-intent	3	4	70	76.1436163351787
12875031	indent-intent	3	4	85	76.1436163351787
12875031	indent-intent	3	4	93	76.1436163351787
12875031	indent-intent	4	4	90	77.0870117018514
12875031	indent-intent	4	4	61	77.0870117018514
12875031	indent-intent	4	4	50	77.0870117018514
12875031	indent-intent	5	4	100	77.8894313149619
12875031	indent-intent	5	4	80	77.8894313149619
12875031	indent-intent	5	4	95	77.8894313149619
12875031	indent-intent	1	5	95	81.7896996775715
12875031	indent-intent	1	5	45	81.7896996775715
12875031	indent-intent	1	5	38	81.7896996775715
12875031	indent-intent	2	5	80	81.8273761381487
12875031	indent-intent	2	5	79	81.8273761381487
12875031	indent-intent	2	5	75	81.8273761381487
12875031	indent-intent	3	5	65	81.8585151833703
12875031	indent-intent	3	5	75	81.8585151833703
12875031	indent-intent	3	5	84	81.8585151833703
12875031	indent-intent	4	5	95	81.8842462890588
12875031	indent-intent	4	5	67	81.8842462890588
12875031	indent-intent	4	5	70	81.8842462890588
12875031	indent-intent	5	5	90	81.9055053370914
12875031	indent-intent	5	5	94	81.9055053370914
12875031	indent-intent	1	6	93	82.0013439099518
12875031	indent-intent	1	6	89	82.0013439099518
12875031	indent-intent	1	6	86	82.0013439099518
12875031	indent-intent	2	6	80	82.0022135175229
12875031	indent-intent	2	6	75	82.0022135175229
12875031	indent-intent	2	6	94	82.0022135175229
12875031	indent-intent	3	6	98	82.0029314735804
12875031	indent-intent	3	6	80	82.0029314735804
12875031	indent-intent	3	6	81	82.0029314735804
12875031	indent-intent	4	6	80	82.0035242221632
12875031	indent-intent	4	6	70	82.0035242221632
12875031	indent-intent	4	6	67	82.0035242221632
12875031	indent-intent	5	6	90	82.0040135969866
12875031	indent-intent	5	6	85	82.0040135969866
12875031	indent-intent	5	6	86	82.0040135969866
12875031	indent-intent	1	7	95	82.0062157918269
12875031	indent-intent	1	7	65	82.0062157918269
12875031	indent-intent	1	7	83	82.0062157918269
12875031	indent-intent	2	7	85	82.0062357441125
12875031	indent-intent	2	7	89	82.0062357441125
12875031	indent-intent	2	7	78	82.0062357441125
12875031	indent-intent	3	7	90	82.0062522165022
12875031	indent-intent	3	7	91	82.0062522165022
12875031	indent-intent	3	7	95	82.0062522165022
12875031	indent-intent	4	7	89	82.0062658159263
12875031	indent-intent	4	7	96	82.0062658159263
12875031	indent-intent	4	7	67	82.0062658159263
12875031	indent-intent	5	7	65	82.0062770434607
12875031	indent-intent	5	7	95	82.0062770434607
12875031	indent-intent	5	7	94	82.0062770434607
12875031	kata-katta	1	1	13	35.6344821253349
12875031	kata-katta	1	1	11	35.6344821253349
