ID	pair	second_dim_step	first_dim_step	norm_response
12875031	indent-intent	1	1	15
12875031	indent-intent	1	1	3
12875031	indent-intent	1	1	7
12875031	indent-intent	2	1	5
12875031	indent-intent	2	1	15
12875031	indent-intent	2	1	10
12875031	indent-intent	3	1	10
12875031	indent-intent	3	1	4
12875031	indent-intent	3	1	30
12875031	indent-intent	4	1	5
12875031	indent-intent	4	1	20
12875031	indent-intent	5	1	10
12875031	indent-intent	5	1	20
12875031	indent-intent	5	1	16
12875031	indent-intent	1	2	25
12875031	indent-intent	1	2	25
12875031	indent-intent	1	2	22
12875031	indent-intent	2	2	25
12875031	indent-intent	2	2	27
12875031	indent-intent	2	2	15
12875031	indent-intent	3	2	13
12875031	indent-intent	3	2	26
12875031	indent-intent	3	2	18
12875031	indent-intent	4	2	20
12875031	indent-intent	4	2	35
12875031	indent-intent	4	2	23
12875031	indent-intent	5	2	30
12875031	indent-intent	5	2	23
12875031	indent-intent	5	2	45
12875031	indent-intent	1	3	8
12875031	indent-intent	1	3	37
12875031	indent-intent	1	3	27
12875031	indent-intent	2	3	45
12875031	indent-intent	2	3	30
12875031	indent-intent	2	3	24
12875031	indent-intent	3	3	50
12875031	indent-intent	3	3	19
12875031	indent-intent	3	3	38
12875031	indent-intent	4	3	12
12875031	indent-intent	4	3	31
12875031	indent-intent	4	3	42
12875031	indent-intent	5	3	33
12875031	indent-intent	5	3	15
12875031	indent-intent	5	3	40
12875031	indent-intent	1	4	90
12875031	indent-intent	1	4	65
12875031	indent-intent	1	4	45
12875031	indent-intent	2	4	75
12875031	indent-intent	2	4	91
12875031	indent-intent	3	4	70
12875031	indent-intent	3	4	85
12875031	indent-intent	3	4	93
12875031	indent-intent	4	4	90
12875031	indent-intent	4	4	61
12875031	indent-intent	4	4	50
12875031	indent-intent	5	4	100
12875031	indent-intent	5	4	80
12875031	indent-intent	5	4	95
12875031	indent-intent	1	5	95
12875031	indent-intent	1	5	45
12875031	indent-intent	1	5	38
12875031	indent-intent	2	5	80
12875031	indent-intent	2	5	79
12875031	indent-intent	2	5	75
12875031	indent-intent	3	5	65
12875031	indent-intent	3	5	75
12875031	indent-intent	3	5	84
12875031	indent-intent	4	5	95
12875031	indent-intent	4	5	67
12875031	indent-intent	4	5	70
12875031	indent-intent	5	5	90
12875031	indent-intent	5	5	94
12875031	indent-intent	1	6	93
12875031	indent-intent	1	6	89
12875031	indent-intent	1	6	86
12875031	indent-intent	2	6	80
12875031	indent-intent	2	6	75
12875031	indent-intent	2	6	94
12875031	indent-intent	3	6	98
12875031	indent-intent	3	6	80
12875031	indent-intent	3	6	81
12875031	indent-intent	4	6	80
12875031	indent-intent	4	6	70
12875031	indent-intent	4	6	67
12875031	indent-intent	5	6	90
12875031	indent-intent	5	6	85
12875031	indent-intent	5	6	86
12875031	indent-intent	1	7	95
12875031	indent-intent	1	7	65
12875031	indent-intent	1	7	83
12875031	indent-intent	2	7	85
12875031	indent-intent	2	7	89
12875031	indent-intent	2	7	78
12875031	indent-intent	3	7	90
12875031	indent-intent	3	7	91
12875031	indent-intent	3	7	95
12875031	indent-intent	4	7	89
12875031	indent-intent	4	7	96
12875031	indent-intent	4	7	67
12875031	indent-intent	5	7	65
12875031	indent-intent	5	7	95
12875031	indent-intent	5	7	94
12875031	reason-risen	1	1	25
12875031	reason-risen	1	1	30
12875031	reason-risen	1	1	33
12875031	reason-risen	2	1	33
12875031	reason-risen	2	1	13
12875031	reason-risen	2	1	11
12875031	reason-risen	3	1	29
12875031	reason-risen	3	1	10
12875031	reason-risen	3	1	10
12875031	reason-risen	4	1	36
12875031	reason-risen	4	1	15
12875031	reason-risen	4	1	7
12875031	reason-risen	5	1	24
12875031	reason-risen	5	1	32
12875031	reason-risen	5	1	29
12875031	reason-risen	1	2	28
12875031	reason-risen	1	2	15
12875031	reason-risen	1	2	21
12875031	reason-risen	2	2	26
12875031	reason-risen	2	2	26
12875031	reason-risen	2	2	22
12875031	reason-risen	3	2	6
12875031	reason-risen	3	2	3
12875031	reason-risen	4	2	13
12875031	reason-risen	4	2	20
12875031	reason-risen	4	2	11
12875031	reason-risen	5	2	32
12875031	reason-risen	5	2	28
12875031	reason-risen	5	2	3
12875031	reason-risen	1	3	21
12875031	reason-risen	1	3	30
12875031	reason-risen	1	3	20
12875031	reason-risen	2	3	7
12875031	reason-risen	2	3	18
12875031	reason-risen	2	3	19
12875031	reason-risen	3	3	50
12875031	reason-risen	3	3	28
12875031	reason-risen	3	3	28
12875031	reason-risen	4	3	50
12875031	reason-risen	4	3	26
12875031	reason-risen	4	3	9
12875031	reason-risen	5	3	77
12875031	reason-risen	5	3	50
12875031	reason-risen	5	3	22
12875031	reason-risen	1	4	41
12875031	reason-risen	1	4	36
12875031	reason-risen	1	4	22
12875031	reason-risen	2	4	39
12875031	reason-risen	2	4	33
12875031	reason-risen	2	4	33
12875031	reason-risen	3	4	13
12875031	reason-risen	3	4	72
12875031	reason-risen	3	4	30
12875031	reason-risen	4	4	10
12875031	reason-risen	4	4	38
12875031	reason-risen	4	4	28
12875031	reason-risen	5	4	40
12875031	reason-risen	5	4	35
12875031	reason-risen	5	4	89
12875031	reason-risen	1	5	52
12875031	reason-risen	1	5	39
12875031	reason-risen	1	5	28
12875031	reason-risen	2	5	70
12875031	reason-risen	2	5	50
12875031	reason-risen	2	5	18
12875031	reason-risen	3	5	20
12875031	reason-risen	3	5	46
12875031	reason-risen	3	5	86
12875031	reason-risen	4	5	71
12875031	reason-risen	4	5	29
12875031	reason-risen	4	5	40
12875031	reason-risen	5	5	85
12875031	reason-risen	5	5	72
12875031	reason-risen	1	6	61
12875031	reason-risen	1	6	79
12875031	reason-risen	1	6	98
12875031	reason-risen	2	6	90
12875031	reason-risen	2	6	50
12875031	reason-risen	2	6	71
12875031	reason-risen	3	6	74
12875031	reason-risen	3	6	29
12875031	reason-risen	3	6	74
12875031	reason-risen	4	6	74
12875031	reason-risen	4	6	39
12875031	reason-risen	4	6	81
12875031	reason-risen	5	6	80
12875031	reason-risen	5	6	88
12875031	reason-risen	5	6	73
12875031	reason-risen	1	7	89
12875031	reason-risen	1	7	93
12875031	reason-risen	1	7	96
12875031	reason-risen	2	7	78
12875031	reason-risen	2	7	83
12875031	reason-risen	2	7	90
12875031	reason-risen	3	7	77
12875031	reason-risen	3	7	94
12875031	reason-risen	3	7	87
12875031	reason-risen	4	7	69
12875031	reason-risen	4	7	85
12875031	reason-risen	4	7	91
12875031	reason-risen	5	7	87
12875031	reason-risen	5	7	91
12875031	reason-risen	5	7	87
12875031	kata-katta	1	1	13
12875031	kata-katta	1	1	11
12875031	kata-katta	1	1	80
12875031	kata-katta	2	1	15
12875031	kata-katta	2	1	74
12875031	kata-katta	2	1	28
12875031	kata-katta	3	1	71
12875031	kata-katta	3	1	22
12875031	kata-katta	4	1	27
12875031	kata-katta	4	1	70
12875031	kata-katta	4	1	21
12875031	kata-katta	5	1	23
12875031	kata-katta	5	1	76
12875031	kata-katta	5	1	23
12875031	kata-katta	1	2	20
12875031	kata-katta	1	2	32
12875031	kata-katta	1	2	22
12875031	kata-katta	2	2	23
12875031	kata-katta	2	2	70
12875031	kata-katta	2	2	71
12875031	kata-katta	3	2	25
12875031	kata-katta	3	2	14
12875031	kata-katta	3	2	80
12875031	kata-katta	4	2	15
12875031	kata-katta	4	2	30
12875031	kata-katta	4	2	27
12875031	kata-katta	5	2	68
12875031	kata-katta	5	2	27
12875031	kata-katta	5	2	20
12875031	kata-katta	1	3	32
12875031	kata-katta	1	3	66
12875031	kata-katta	1	3	50
12875031	kata-katta	2	3	17
12875031	kata-katta	2	3	23
12875031	kata-katta	2	3	18
12875031	kata-katta	3	3	33
12875031	kata-katta	3	3	32
12875031	kata-katta	3	3	24
12875031	kata-katta	4	3	32
12875031	kata-katta	4	3	20
12875031	kata-katta	4	3	13
12875031	kata-katta	5	3	33
12875031	kata-katta	5	3	22
12875031	kata-katta	5	3	80
12875031	kata-katta	1	4	7
12875031	kata-katta	1	4	23
12875031	kata-katta	1	4	82
12875031	kata-katta	2	4	20
12875031	kata-katta	2	4	24
12875031	kata-katta	2	4	24
12875031	kata-katta	3	4	78
12875031	kata-katta	3	4	32
12875031	kata-katta	3	4	80
12875031	kata-katta	4	4	77
12875031	kata-katta	4	4	31
12875031	kata-katta	4	4	69
12875031	kata-katta	5	4	16
12875031	kata-katta	5	4	36
12875031	kata-katta	5	4	66
12875031	kata-katta	1	5	23
12875031	kata-katta	1	5	62
12875031	kata-katta	1	5	12
12875031	kata-katta	2	5	29
12875031	kata-katta	2	5	74
12875031	kata-katta	2	5	75
12875031	kata-katta	3	5	16
12875031	kata-katta	3	5	65
12875031	kata-katta	4	5	82
12875031	kata-katta	4	5	71
12875031	kata-katta	4	5	13
12875031	kata-katta	5	5	72
12875031	kata-katta	5	5	28
12875031	kata-katta	5	5	100
12875031	kata-katta	1	6	19
12875031	kata-katta	1	6	17
12875031	kata-katta	1	6	31
12875031	kata-katta	2	6	25
12875031	kata-katta	2	6	90
12875031	kata-katta	2	6	21
12875031	kata-katta	3	6	50
12875031	kata-katta	3	6	65
12875031	kata-katta	3	6	31
12875031	kata-katta	4	6	68
12875031	kata-katta	4	6	90
12875031	kata-katta	4	6	70
12875031	kata-katta	5	6	75
12875031	kata-katta	5	6	65
12875031	kata-katta	5	6	30
12875031	kata-katta	1	7	26
12875031	kata-katta	1	7	70
12875031	kata-katta	1	7	64
12875031	kata-katta	2	7	21
12875031	kata-katta	2	7	72
12875031	kata-katta	2	7	70
12875031	kata-katta	3	7	81
12875031	kata-katta	3	7	66
12875031	kata-katta	3	7	17
12875031	kata-katta	4	7	28
12875031	kata-katta	4	7	79
12875031	kata-katta	4	7	78
12875031	kata-katta	5	7	16
12875031	kata-katta	5	7	71
12875031	kata-katta	5	7	18
12875031	toru-tooru	1	1	36
12875031	toru-tooru	1	1	12
12875031	toru-tooru	1	1	30
12875031	toru-tooru	2	1	7
12875031	toru-tooru	2	1	34
12875031	toru-tooru	2	1	22
12875031	toru-tooru	3	1	13
12875031	toru-tooru	3	1	23
12875031	toru-tooru	3	1	24
12875031	toru-tooru	4	1	24
12875031	toru-tooru	4	1	34
12875031	toru-tooru	4	1	31
12875031	toru-tooru	5	1	8
12875031	toru-tooru	5	1	12
12875031	toru-tooru	5	1	21
12875031	toru-tooru	1	2	7
12875031	toru-tooru	1	2	16
12875031	toru-tooru	1	2	25
12875031	toru-tooru	2	2	74
12875031	toru-tooru	2	2	16
12875031	toru-tooru	3	2	24
12875031	toru-tooru	3	2	78
12875031	toru-tooru	3	2	67
12875031	toru-tooru	4	2	77
12875031	toru-tooru	4	2	28
12875031	toru-tooru	5	2	30
12875031	toru-tooru	5	2	29
12875031	toru-tooru	5	2	21
12875031	toru-tooru	1	3	22
12875031	toru-tooru	1	3	24
12875031	toru-tooru	1	3	35
12875031	toru-tooru	2	3	90
12875031	toru-tooru	2	3	53
12875031	toru-tooru	2	3	26
12875031	toru-tooru	3	3	89
12875031	toru-tooru	3	3	50
12875031	toru-tooru	3	3	31
12875031	toru-tooru	4	3	58
12875031	toru-tooru	4	3	75
12875031	toru-tooru	4	3	19
12875031	toru-tooru	5	3	69
12875031	toru-tooru	5	3	72
12875031	toru-tooru	1	4	50
12875031	toru-tooru	1	4	75
12875031	toru-tooru	1	4	30
12875031	toru-tooru	2	4	8
12875031	toru-tooru	2	4	18
12875031	toru-tooru	2	4	37
12875031	toru-tooru	3	4	27
12875031	toru-tooru	3	4	74
12875031	toru-tooru	3	4	32
12875031	toru-tooru	4	4	33
12875031	toru-tooru	4	4	69
12875031	toru-tooru	5	4	79
12875031	toru-tooru	5	4	33
12875031	toru-tooru	5	4	28
12875031	toru-tooru	1	5	78
12875031	toru-tooru	1	5	80
12875031	toru-tooru	1	5	75
12875031	toru-tooru	2	5	72
12875031	toru-tooru	2	5	74
12875031	toru-tooru	2	5	71
12875031	toru-tooru	3	5	28
12875031	toru-tooru	3	5	31
12875031	toru-tooru	4	5	5
12875031	toru-tooru	4	5	14
12875031	toru-tooru	5	5	79
12875031	toru-tooru	5	5	15
12875031	toru-tooru	5	5	87
12875031	toru-tooru	1	6	76
12875031	toru-tooru	1	6	71
12875031	toru-tooru	2	6	68
12875031	toru-tooru	2	6	94
12875031	toru-tooru	3	6	78
12875031	toru-tooru	3	6	75
12875031	toru-tooru	3	6	73
12875031	toru-tooru	4	6	90
12875031	toru-tooru	4	6	81
12875031	toru-tooru	4	6	85
12875031	toru-tooru	5	6	72
12875031	toru-tooru	5	6	78
12875031	toru-tooru	5	6	78
12875031	toru-tooru	1	7	72
12875031	toru-tooru	1	7	98
12875031	toru-tooru	1	7	97
12875031	toru-tooru	2	7	89
12875031	toru-tooru	2	7	72
12875031	toru-tooru	2	7	76
12875031	toru-tooru	3	7	82
12875031	toru-tooru	3	7	87
12875031	toru-tooru	3	7	80
12875031	toru-tooru	4	7	75
12875031	toru-tooru	4	7	77
12875031	toru-tooru	4	7	84
12875031	toru-tooru	5	7	92
12875031	toru-tooru	5	7	75
12875031	toru-tooru	5	7	74
12875096	indent-intent	1	1	1
12875096	indent-intent	1	1	2
12875096	indent-intent	1	1	4
12875096	indent-intent	2	1	3
12875096	indent-intent	2	1	1
12875096	indent-intent	2	1	1
12875096	indent-intent	3	1	1
12875096	indent-intent	3	1	0
12875096	indent-intent	3	1	3
12875096	indent-intent	4	1	4
12875096	indent-intent	4	1	2
12875096	indent-intent	5	1	4
12875096	indent-intent	5	1	1
12875096	indent-intent	5	1	2
12875096	indent-intent	1	2	3
12875096	indent-intent	1	2	1
12875096	indent-intent	1	2	3
12875096	indent-intent	2	2	3
12875096	indent-intent	2	2	11
12875096	indent-intent	2	2	1
12875096	indent-intent	3	2	3
12875096	indent-intent	3	2	5
12875096	indent-intent	3	2	1
12875096	indent-intent	4	2	79
12875096	indent-intent	4	2	3
12875096	indent-intent	4	2	8
12875096	indent-intent	5	2	3
12875096	indent-intent	5	2	10
12875096	indent-intent	5	2	1
12875096	indent-intent	1	3	16
12875096	indent-intent	1	3	2
12875096	indent-intent	1	3	1
12875096	indent-intent	2	3	72
12875096	indent-intent	2	3	11
12875096	indent-intent	2	3	82
12875096	indent-intent	3	3	94
12875096	indent-intent	3	3	96
12875096	indent-intent	3	3	13
12875096	indent-intent	4	3	95
12875096	indent-intent	4	3	97
12875096	indent-intent	4	3	89
12875096	indent-intent	5	3	95
12875096	indent-intent	5	3	99
12875096	indent-intent	5	3	87
12875096	indent-intent	1	4	99
12875096	indent-intent	1	4	97
12875096	indent-intent	1	4	84
12875096	indent-intent	2	4	91
12875096	indent-intent	2	4	100
12875096	indent-intent	2	4	97
12875096	indent-intent	3	4	97
12875096	indent-intent	3	4	98
12875096	indent-intent	3	4	97
12875096	indent-intent	4	4	100
12875096	indent-intent	4	4	97
12875096	indent-intent	4	4	85
12875096	indent-intent	5	4	99
12875096	indent-intent	5	4	97
12875096	indent-intent	5	4	93
12875096	indent-intent	1	5	96
12875096	indent-intent	1	5	99
12875096	indent-intent	1	5	99
12875096	indent-intent	2	5	96
12875096	indent-intent	2	5	98
12875096	indent-intent	2	5	98
12875096	indent-intent	3	5	96
12875096	indent-intent	3	5	97
12875096	indent-intent	3	5	95
12875096	indent-intent	4	5	95
12875096	indent-intent	4	5	95
12875096	indent-intent	4	5	99
12875096	indent-intent	5	5	100
12875096	indent-intent	5	5	99
12875096	indent-intent	5	5	98
12875096	indent-intent	1	6	97
12875096	indent-intent	1	6	100
12875096	indent-intent	1	6	77
12875096	indent-intent	2	6	97
12875096	indent-intent	2	6	96
12875096	indent-intent	2	6	96
12875096	indent-intent	3	6	96
12875096	indent-intent	3	6	97
12875096	indent-intent	3	6	96
12875096	indent-intent	4	6	100
12875096	indent-intent	4	6	92
12875096	indent-intent	4	6	97
12875096	indent-intent	5	6	97
12875096	indent-intent	5	6	98
12875096	indent-intent	5	6	100
12875096	indent-intent	1	7	99
12875096	indent-intent	1	7	98
12875096	indent-intent	1	7	98
12875096	indent-intent	2	7	97
12875096	indent-intent	2	7	98
12875096	indent-intent	2	7	100
12875096	indent-intent	3	7	100
12875096	indent-intent	3	7	96
12875096	indent-intent	3	7	96
12875096	indent-intent	4	7	91
12875096	indent-intent	4	7	94
12875096	indent-intent	4	7	98
12875096	indent-intent	5	7	99
12875096	indent-intent	5	7	98
12875096	reason-risen	1	1	0
12875096	reason-risen	1	1	1
12875096	reason-risen	1	1	2
12875096	reason-risen	2	1	0
12875096	reason-risen	2	1	3
12875096	reason-risen	2	1	2
12875096	reason-risen	3	1	1
12875096	reason-risen	3	1	1
12875096	reason-risen	3	1	2
12875096	reason-risen	4	1	0
12875096	reason-risen	4	1	0
12875096	reason-risen	4	1	1
12875096	reason-risen	5	1	2
12875096	reason-risen	5	1	2
12875096	reason-risen	5	1	92
12875096	reason-risen	1	2	1
