ID,age,gender,language1,language2,language3,language4,proficiency1,proficiency2,proficiency3,proficiency4,immersion1,immersion2,immersion3,immersion4,dominance1,dominance2,dominance3,dominance4,ratio1,ratio2,ratio3,ratio4,PD1,PD2,PD3,PD4,MLD_A
5114,31,Female,English,,,,1,0,0,0,0.97,0,0,0,0.69,0,0,0,1,0,0,0,1,0,0,0,0
5178,38,Male,English,French,German,,1,0.14,0.14,0,1,0.41,0.2,0,0.7,0.07,0.07,0,1,0.1,0.1,0,0.83,0.09,0.09,0,0.83
5031,28,Male,English,Spanish,French,,1,0.46,0.46,0,1,0.5,0.5,0,0.71,0.26,0.26,0,1,0.36,0.36,0,0.58,0.21,0.21,0,1.4
5208,24,Female,English,Spanish,French,German,1,0.29,0.29,0.14,1,0.51,0.23,0.23,1.02,0.16,0.15,0.08,1,0.16,0.15,0.08,0.72,0.11,0.11,0.06,1.27
5156,35,Female,English,,,,1,0,0,0,0.96,0,0,0,0.77,0,0,0,1,0,0,0,1,0,0,0,0
5096,31,Female,English,,,,1,0,0,0,1,0,0,0,0.59,0,0,0,1,0,0,0,1,0,0,0,0
5356,29,Male,English,,,,1,0,0,0,1,0,0,0,0.64,0,0,0,1,0,0,0,1,0,0,0,0
5386,36,Male,English,,,,1,0,0,0,1,0,0,0,0.52,0,0,0,1,0,0,0,1,0,0,0,0
5348,30,Female,English,Japanese,,,1,0.21,0,0,1,0.03,0,0,0.76,0.13,0,0,1,0.17,0,0,0.85,0.15,0,0,0.6
5363,26,Female,English,,,,1,0,0,0,1,0,0,0,0.72,0,0,0,1,0,0,0,1,0,0,0,0
5341,25,Female,English,French,Spanish,Japanese,1,0.75,0.79,0.82,1,0.56,0.56,0.56,1.06,0.48,0.46,0.57,1,0.46,0.43,0.53,0.41,0.19,0.18,0.22,1.9
5440,39,Female,English,French,,,1,0.43,0,0,0.97,0.36,0,0,0.62,0.21,0,0,1,0.35,0,0,0.74,0.26,0,0,0.82
5456,23,Female,English,Spanish,,,1,1,0,0,0.93,0.92,0,0,0.66,0.52,0,0,1,0.79,0,0,0.56,0.44,0,0,0.99
5448,27,Female,english,spanish,,,1,0.14,0,0,0.96,0.26,0,0,0.61,0.07,0,0,1,0.12,0,0,0.9,0.1,0,0,0.48
5585,29,Male,English,Spanish,,,0.82,0.39,0,0,0.96,0.47,0,0,0.63,0.2,0,0,1,0.31,0,0,0.76,0.24,0,0,0.79
5231,27,Male,English,German,,,1,0.25,0,0,1,0.21,0,0,0.7,0.12,0,0,1,0.18,0,0,0.85,0.15,0,0,0.61
5552,32,Female,English,Spanish,German,,1,0.75,0.79,0,0.98,0.39,0.38,0,0.62,0.38,0.42,0,1,0.6,0.68,0,0.44,0.26,0.3,0,1.55
5569,32,Male,English,,,,0.93,0,0,0,0.96,0,0,0,0.66,0,0,0,1,0,0,0,1,0,0,0,0
5599,33,Female,English,,,,0.86,0,0,0,1,0,0,0,0.6,0,0,0,1,0,0,0,1,0,0,0,0
5600,25,Male,English,,,,1,0,0,0,1,0,0,0,0.65,0,0,0,1,0,0,0,1,0,0,0,0
5458,32,Female,English,,,,0.93,0,0,0,0.97,0,0,0,0.57,0,0,0,1,0,0,0,1,0,0,0,0
5570,21,Female,engligh,,,,1,0,0,0,0.96,0,0,0,0.77,0,0,0,1,0,0,0,1,0,0,0,0
5426,21,Male,English,spanish,,,1,0.29,0,0,1,0.24,0,0,0.7,0.14,0,0,1,0.21,0,0,0.83,0.17,0,0,0.66
5541,29,Female,English (native),Spanish,Latin,,1,0.32,0.36,0,0.96,0.52,0.22,0,0.54,0.16,0.18,0,1,0.3,0.33,0,0.61,0.18,0.2,0,1.35
5717,28,Female,English,Spanish,Italian,,1,0.61,0.43,0,0.97,0.56,0.5,0,0.59,0.3,0.21,0,1,0.52,0.37,0,0.53,0.28,0.19,0,1.46
5608,18,Female,English,,,,1,0,0,0,0.94,0,0,0,0.7,0,0,0,1,0,0,0,1,0,0,0,0
5627,23,Female,English,Spanish,Japanese,French,1,0.14,0.36,0.18,0.96,0.61,0.44,0.26,0.65,0.08,0.2,0.09,1,0.12,0.31,0.14,0.64,0.08,0.2,0.09,1.47
5730,32,Non-binary,English,,,,1,0,0,0,0.95,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
5768,26,Male,english,tagalog,,,1,0.25,0,0,1,0.08,0,0,0.66,0.16,0,0,1,0.25,0,0,0.8,0.2,0,0,0.72
5592,40,Female,english,,,,1,0,0,0,1,0,0,0,0.66,0,0,0,1,0,0,0,1,0,0,0,0
5787,33,Male,English,,,,1,0,0,0,0.96,0,0,0,0.73,0,0,0,1,0,0,0,1,0,0,0,0
5710,26,Female,English,,,,1,0,0,0,1,0,0,0,0.68,0,0,0,1,0,0,0,1,0,0,0,0
5816,39,Male,English,French,,,1,0.14,0,0,0.96,0.42,0,0,0.59,0.07,0,0,1,0.12,0,0,0.89,0.11,0,0,0.5
5838,37,Male,english,,,,0.89,0,0,0,1,0,0,0,0.56,0,0,0,1,0,0,0,1,0,0,0,0
5837,32,Male,English,,,,1,0,0,0,0.96,0,0,0,0.7,0,0,0,1,0,0,0,1,0,0,0,0
5737,36,Male,English,,,,1,0,0,0,0.96,0,0,0,0.55,0,0,0,1,0,0,0,1,0,0,0,0
6045,39,Female,English,,,,1,0,0,0,1,0,0,0,0.72,0,0,0,1,0,0,0,1,0,0,0,0
6108,27,Male,English,Spanish,,,1,0.75,0,0,1,0.59,0,0,0.6,0.42,0,0,1,0.71,0,0,0.59,0.41,0,0,0.98
5613,30,Male,English,,,,1,0,0,0,1,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
6131,35,Male,English,,,,1,0,0,0,0.96,0,0,0,0.68,0,0,0,1,0,0,0,1,0,0,0,0
5904,37,Female,English,,,,1,0,0,0,1,0,0,0,0.55,0,0,0,1,0,0,0,1,0,0,0,0
5695,38,Male,English,,,,1,0,0,0,0.97,0,0,0,0.75,0,0,0,1,0,0,0,1,0,0,0,0
6106,40,Male,english,spanish,,,1,0.68,0,0,1,0.78,0,0,0.59,0.35,0,0,1,0.61,0,0,0.62,0.38,0,0,0.96
5617,30,Male,English,,,,1,0,0,0,1,0,0,0,0.61,0,0,0,1,0,0,0,1,0,0,0,0
6034,35,Female,English,Spanish,,,0.96,0.32,0,0,1.01,0.52,0,0,0.7,0.16,0,0,1,0.23,0,0,0.81,0.19,0,0,0.69
6203,25,Female,English,Spanish,,,1,0.46,0,0,0.97,0.48,0,0,0.66,0.24,0,0,1,0.37,0,0,0.73,0.27,0,0,0.84
6085,39,Female,english,spanish,,,0.89,0.21,0,0,0.97,0.36,0,0,0.56,0.11,0,0,1,0.19,0,0,0.84,0.16,0,0,0.63
6015,36,Male,English,,,,1,0,0,0,1,0,0,0,0.56,0,0,0,1,0,0,0,1,0,0,0,0
6174,40,Female,English,Spanish,,,1,0.54,0,0,0.95,0.42,0,0,0.59,0.27,0,0,1,0.45,0,0,0.69,0.31,0,0,0.89
6235,24,Female,English,,,,1,0,0,0,1,0,0,0,0.6,0,0,0,1,0,0,0,1,0,0,0,0
6130,32,Male,English,,,,1,0,0,0,1,0,0,0,0.59,0,0,0,1,0,0,0,1,0,0,0,0
5873,19,Male,english,,,,1,0,0,0,1,0,0,0,0.7,0,0,0,1,0,0,0,1,0,0,0,0
6260,37,Male,English,,,,0.93,0,0,0,0.94,0,0,0,0.91,0,0,0,1,0,0,0,1,0,0,0,0
6509,22,Male,English,Spanish,,,1,0.46,0,0,1,0.69,0,0,0.73,0.26,0,0,1,0.36,0,0,0.73,0.27,0,0,0.84
6660,36,Female,English,French,Spanish,Swahili,1,0.57,0.86,0.43,0.97,0.4,0.22,0.15,0.62,0.29,0.46,0.21,1,0.46,0.74,0.34,0.39,0.18,0.29,0.14,1.88
