ID	pair	second_dim_step	first_dim_step	norm_response	pred
5031	indent-intent	1	1	15	18.4398710112034
5031	indent-intent	1	1	3	18.4398710112034
5031	indent-intent	1	1	7	18.4398710112034
5031	indent-intent	2	1	5	18.4409596797525
5031	indent-intent	2	1	15	18.4409596797525
5031	indent-intent	2	1	10	18.4409596797525
5031	indent-intent	3	1	10	18.4422782008286
5031	indent-intent	3	1	4	18.4422782008286
5031	indent-intent	3	1	30	18.4422782008286
5031	indent-intent	4	1	5	18.443875090835
5031	indent-intent	4	1	20	18.443875090835
5031	indent-intent	5	1	10	18.445809100873
5031	indent-intent	5	1	20	18.445809100873
5031	indent-intent	5	1	16	18.445809100873
5031	indent-intent	1	2	25	18.6585886231045
5031	indent-intent	1	2	25	18.6585886231045
5031	indent-intent	1	2	22	18.6585886231045
5031	indent-intent	2	2	25	18.7056641645742
5031	indent-intent	2	2	27	18.7056641645742
5031	indent-intent	2	2	15	18.7056641645742
5031	indent-intent	3	2	13	18.7625874006382
5031	indent-intent	3	2	26	18.7625874006382
5031	indent-intent	3	2	18	18.7625874006382
5031	indent-intent	4	2	20	18.8313946087483
5031	indent-intent	4	2	35	18.8313946087483
5031	indent-intent	4	2	23	18.8313946087483
5031	indent-intent	5	2	30	18.9145321353383
5031	indent-intent	5	2	23	18.9145321353383
5031	indent-intent	5	2	45	18.9145321353383
5031	indent-intent	1	3	8	26.9175638314018
5031	indent-intent	1	3	37	26.9175638314018
5031	indent-intent	1	3	27	26.9175638314018
5031	indent-intent	2	3	45	28.4273620347315
5031	indent-intent	2	3	30	28.4273620347315
5031	indent-intent	2	3	24	28.4273620347315
5031	indent-intent	3	3	50	30.1487364735738
5031	indent-intent	3	3	19	30.1487364735738
5031	indent-intent	3	3	38	30.1487364735738
5031	indent-intent	4	3	12	32.0910593135626
5031	indent-intent	4	3	31	32.0910593135626
5031	indent-intent	4	3	42	32.0910593135626
5031	indent-intent	5	3	33	34.2571745172435
5031	indent-intent	5	3	15	34.2571745172435
5031	indent-intent	5	3	40	34.2571745172435
5031	indent-intent	1	4	90	73.7593302075504
5031	indent-intent	1	4	65	73.7593302075504
5031	indent-intent	1	4	45	73.7593302075504
5031	indent-intent	2	4	75	75.0394750052301
5031	indent-intent	2	4	91	75.0394750052301
5031	indent-intent	3	4	70	76.1419354169995
5031	indent-intent	3	4	85	76.1419354169995
5031	indent-intent	3	4	93	76.1419354169995
5031	indent-intent	4	4	90	77.0850681873661
5031	indent-intent	4	4	61	77.0850681873661
5031	indent-intent	4	4	50	77.0850681873661
5031	indent-intent	5	4	100	77.8873106640174
5031	indent-intent	5	4	80	77.8873106640174
5031	indent-intent	5	4	95	77.8873106640174
5031	indent-intent	1	5	95	81.7881731649605
5031	indent-intent	1	5	45	81.7881731649605
5031	indent-intent	1	5	38	81.7881731649605
5031	indent-intent	2	5	80	81.8258502838352
5031	indent-intent	2	5	79	81.8258502838352
5031	indent-intent	2	5	75	81.8258502838352
5031	indent-intent	3	5	65	81.8569919139776
5031	indent-intent	3	5	75	81.8569919139776
5031	indent-intent	3	5	84	81.8569919139776
5031	indent-intent	4	5	95	81.8827268435545
5031	indent-intent	4	5	67	81.8827268435545
5031	indent-intent	4	5	70	81.8827268435545
5031	indent-intent	5	5	90	81.9039904462314
5031	indent-intent	5	5	94	81.9039904462314
5031	indent-intent	1	6	93	81.9998848664263
