ID,age,gender,MLD_P,context_hours_watching,scaled_proportions_watching,langs_per_context_watching,context_entropies_watching,context_hours_listening,scaled_proportions_listening,langs_per_context_listening,context_entropies_listening,context_hours_games,scaled_proportions_games,langs_per_context_games,context_entropies_games,context_hours_internet,scaled_proportions_internet,langs_per_context_internet,context_entropies_internet,context_hours_home,scaled_proportions_home,langs_per_context_home,context_entropies_home,context_hours_family,scaled_proportions_family,langs_per_context_family,context_entropies_family,context_hours_social,scaled_proportions_social,langs_per_context_social,context_entropies_social,context_hours_work_school,scaled_proportions_work_school,langs_per_context_work_school,context_entropies_work_school,context_hours_out_of_home,scaled_proportions_out_of_home,langs_per_context_out_of_home,context_entropies_out_of_home,context_hours_other,scaled_proportions_other,langs_per_context_other,context_entropies_other
5114,31,Female,0,3,0.12,1,0,2,0.08,1,0,2,0.08,1,0,5,0.21,1,0,6,0.25,1,0,6,0.25,1,0,3,0.12,1,0,6,0.25,1,0,1,0.04,1,0,,,1,0
5178,38,Male,0,1,0.04,1,0,3,0.12,1,0,0,0,0,0,1,0.04,1,0,12,0.5,1,0,12,0.5,1,0,1,0.04,1,0,,,1,0,1,0.04,1,0,0,0,0,0
5031,28,Male,0.13,3,0.12,2,0.41,3,0.12,2,0.65,6,0.25,1,0,2,0.08,1,0,4,0.17,1,0,1.5,0.06,1,0,0.5,0.02,1,0,2,0.08,1,0,1,0.04,1,0,0,0,0,0
5208,24,Female,0,6,0.25,1,0,4,0.17,1,0,7,0.29,0,0,8,0.33,1,0,15,0.62,1,0,15,0.62,1,0,2,0.08,1,0,5,0.21,1,0,1,0.04,1,0,,,0,0
5156,35,Female,0,5,0.21,1,0,4,0.17,1,0,5,0.21,1,0,6,0.25,1,0,5,0.21,1,0,0,0,0,0,5,0.21,1,0,0,0,0,0,2,0.08,1,0,,,0,0
5096,31,Female,0,2,0.08,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,9,0.38,1,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0
5356,29,Male,0.04,3,0.12,1,0,2,0.08,1,0,0,0,0,0,3,0.12,1,0,3,0.12,1,0,1,0.04,1,0,1,0.04,1,0,8,0.33,1,0,1,0.04,2,1,,,0,0
5386,36,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0,2,0.08,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0,0,0,0,0
5348,30,Female,0.11,10,0.42,1,0,3,0.12,2,0.65,1,0.04,1,0,8,0.33,1,0,19,0.79,1,0,1,0.04,1,0,2,0.08,1,0,2,0.08,2,0.29,0,0,0,0,,,0,0
5363,26,Female,0,3,0.12,1,0,1,0.04,1,0,0,0,0,0,7,0.29,1,0,16,0.67,1,0,0,0,0,0,3,0.12,1,0,8,0.33,1,0,3,0.12,0,0,,,0,0
