ID,age,gender,MLD_A,MLD_P
5114,31,Female,0,0
5178,38,Male,0.83,0
5031,28,Male,1.4,0.13
5208,24,Female,1.27,0
5156,35,Female,0,0
5096,31,Female,0,0
5356,29,Male,0,0.04
5386,36,Male,0,0
5348,30,Female,0.6,0.11
5363,26,Female,0,0
5341,25,Female,1.9,1.23
5440,39,Female,0.82,0.11
5456,23,Female,0.99,0.17
5448,27,Female,0.48,0
5585,29,Male,0.79,0
5231,27,Male,0.61,0.32
5552,32,Female,1.55,0.35
5569,32,Male,0,0.74
5599,33,Female,0,0
5600,25,Male,0,0
5458,32,Female,0,0.23
5570,21,Female,0,0
5426,21,Male,0.66,0
5541,29,Female,1.35,0
5717,28,Female,1.46,0.13
5608,18,Female,0,0
5627,23,Female,1.47,0.83
5730,32,Non-binary,0,0
5768,26,Male,0.72,0
5592,40,Female,0,0
5787,33,Male,0,0.07
5710,26,Female,0,0
5816,39,Male,0.5,0.15
5838,37,Male,0,0
5837,32,Male,0,0
5737,36,Male,0,0
6045,39,Female,0,0
6108,27,Male,0.98,0.46
5613,30,Male,0,0.83
6131,35,Male,0,0
5904,37,Female,0,0
5695,38,Male,0,0
6106,40,Male,0.96,0.51
5617,30,Male,0,0.7
6034,35,Female,0.69,0
6203,25,Female,0.84,0.28
6085,39,Female,0.63,0.51
6015,36,Male,0,0
6174,40,Female,0.89,0
6235,24,Female,0,0
6130,32,Male,0,0
5873,19,Male,0,0.17
6260,37,Male,0,0.65
6509,22,Male,0.84,1.92
6660,36,Female,1.88,0.49
6725,33,Male,1.56,0.33
6690,34,Female,0,0
6867,33,Male,0.78,0.11
6451,30,Male,0,0
6808,34,Female,0.97,1.23
6998,24,Female,0,0
6777,31,Male,0.97,0.11
6071,38,Female,0,0
5724,19,Female,0,0
5238,20,Male,0.85,0
5103,32,Female,0.83,0
5098,27,Female,1.43,0.31
7091,34,Male,0.76,0.02
6993,30,Female,0.89,0
7172,38,Male,0,0
7187,32,Male,0,0.41
7201,36,Male,0,0
7189,20,Male,0,0
7464,29,Male,0.84,0
7480,26,Male,0,0
7474,32,Male,0,0
