ID	pair	second_dim_step	first_dim_step	norm_response	pred
12875031	indent-intent	1	1	15	55.5490192972232
12875031	indent-intent	1	1	3	55.5490192972232
12875031	indent-intent	1	1	7	55.5490192972232
12875031	indent-intent	2	1	5	55.5490192972154
12875031	indent-intent	2	1	15	55.5490192972154
12875031	indent-intent	2	1	10	55.5490192972154
12875031	indent-intent	3	1	10	55.5490192972075
12875031	indent-intent	3	1	4	55.5490192972075
12875031	indent-intent	3	1	30	55.5490192972075
12875031	indent-intent	4	1	5	55.5490192971996
12875031	indent-intent	4	1	20	55.5490192971996
12875031	indent-intent	5	1	10	55.5490192971917
12875031	indent-intent	5	1	20	55.5490192971917
12875031	indent-intent	5	1	16	55.5490192971917
12875031	indent-intent	1	2	25	55.5490192972088
12875031	indent-intent	1	2	25	55.5490192972088
12875031	indent-intent	1	2	22	55.5490192972088
12875031	indent-intent	2	2	25	55.5490192972009
12875031	indent-intent	2	2	27	55.5490192972009
12875031	indent-intent	2	2	15	55.5490192972009
12875031	indent-intent	3	2	13	55.549019297193
12875031	indent-intent	3	2	26	55.549019297193
12875031	indent-intent	3	2	18	55.549019297193
12875031	indent-intent	4	2	20	55.5490192971852
12875031	indent-intent	4	2	35	55.5490192971852
12875031	indent-intent	4	2	23	55.5490192971852
12875031	indent-intent	5	2	30	55.5490192971773
12875031	indent-intent	5	2	23	55.5490192971773
12875031	indent-intent	5	2	45	55.5490192971773
12875031	indent-intent	1	3	8	55.5490192971943
12875031	indent-intent	1	3	37	55.5490192971943
12875031	indent-intent	1	3	27	55.5490192971943
12875031	indent-intent	2	3	45	55.5490192971864
12875031	indent-intent	2	3	30	55.5490192971864
12875031	indent-intent	2	3	24	55.5490192971864
12875031	indent-intent	3	3	50	55.5490192971786
12875031	indent-intent	3	3	19	55.5490192971786
12875031	indent-intent	3	3	38	55.5490192971786
12875031	indent-intent	4	3	12	55.5490192971707
12875031	indent-intent	4	3	31	55.5490192971707
12875031	indent-intent	4	3	42	55.5490192971707
12875031	indent-intent	5	3	33	55.5490192971628
12875031	indent-intent	5	3	15	55.5490192971628
12875031	indent-intent	5	3	40	55.5490192971628
12875031	indent-intent	1	4	90	55.5490192971799
12875031	indent-intent	1	4	65	55.5490192971799
12875031	indent-intent	1	4	45	55.5490192971799
12875031	indent-intent	2	4	75	55.549019297172
12875031	indent-intent	2	4	91	55.549019297172
12875031	indent-intent	3	4	70	55.5490192971641
12875031	indent-intent	3	4	85	55.5490192971641
12875031	indent-intent	3	4	93	55.5490192971641
12875031	indent-intent	4	4	90	55.5490192971562
12875031	indent-intent	4	4	61	55.5490192971562
12875031	indent-intent	4	4	50	55.5490192971562
12875031	indent-intent	5	4	100	55.5490192971484
12875031	indent-intent	5	4	80	55.5490192971484
12875031	indent-intent	5	4	95	55.5490192971484
12875031	indent-intent	1	5	95	55.5490192971654
12875031	indent-intent	1	5	45	55.5490192971654
12875031	indent-intent	1	5	38	55.5490192971654
12875031	indent-intent	2	5	80	55.5490192971575
12875031	indent-intent	2	5	79	55.5490192971575
12875031	indent-intent	2	5	75	55.5490192971575
12875031	indent-intent	3	5	65	55.5490192971497
12875031	indent-intent	3	5	75	55.5490192971497
12875031	indent-intent	3	5	84	55.5490192971497
12875031	indent-intent	4	5	95	55.5490192971418
12875031	indent-intent	4	5	67	55.5490192971418
12875031	indent-intent	4	5	70	55.5490192971418
12875031	indent-intent	5	5	90	55.5490192971339
12875031	indent-intent	5	5	94	55.5490192971339
12875031	indent-intent	1	6	93	55.5490192971509
12875031	indent-intent	1	6	89	55.5490192971509
12875031	indent-intent	1	6	86	55.5490192971509
12875031	indent-intent	2	6	80	55.5490192971431
12875031	indent-intent	2	6	75	55.5490192971431
12875031	indent-intent	2	6	94	55.5490192971431
12875031	indent-intent	3	6	98	55.5490192971352
12875031	indent-intent	3	6	80	55.5490192971352
