ID	pair	second_dim_step	first_dim_step	avg_response
5031	indent-intent	1	1	8.33333333333333
5031	indent-intent	1	2	24
5031	indent-intent	1	3	24
5031	indent-intent	1	4	66.6666666666667
5031	indent-intent	1	5	59.3333333333333
5031	indent-intent	1	6	89.3333333333333
5031	indent-intent	1	7	81
5031	indent-intent	2	1	10
5031	indent-intent	2	2	22.3333333333333
5031	indent-intent	2	3	33
5031	indent-intent	2	4	83
5031	indent-intent	2	5	78
5031	indent-intent	2	6	83
5031	indent-intent	2	7	84
5031	indent-intent	3	1	14.6666666666667
5031	indent-intent	3	2	19
5031	indent-intent	3	3	35.6666666666667
5031	indent-intent	3	4	82.6666666666667
5031	indent-intent	3	5	74.6666666666667
5031	indent-intent	3	6	86.3333333333333
5031	indent-intent	3	7	92
5031	indent-intent	4	1	12.5
5031	indent-intent	4	2	26
5031	indent-intent	4	3	28.3333333333333
5031	indent-intent	4	4	67
5031	indent-intent	4	5	77.3333333333333
5031	indent-intent	4	6	72.3333333333333
5031	indent-intent	4	7	84
5031	indent-intent	5	1	15.3333333333333
5031	indent-intent	5	2	32.6666666666667
5031	indent-intent	5	3	29.3333333333333
5031	indent-intent	5	4	91.6666666666667
5031	indent-intent	5	5	92
5031	indent-intent	5	6	87
5031	indent-intent	5	7	84.6666666666667
5031	reason-risen	1	1	29.3333333333333
5031	reason-risen	1	2	21.3333333333333
5031	reason-risen	1	3	23.6666666666667
5031	reason-risen	1	4	33
5031	reason-risen	1	5	39.6666666666667
5031	reason-risen	1	6	79.3333333333333
5031	reason-risen	1	7	92.6666666666667
5031	reason-risen	2	1	19
5031	reason-risen	2	2	24.6666666666667
5031	reason-risen	2	3	14.6666666666667
5031	reason-risen	2	4	35
5031	reason-risen	2	5	46
5031	reason-risen	2	6	70.3333333333333
5031	reason-risen	2	7	83.6666666666667
5031	reason-risen	3	1	16.3333333333333
5031	reason-risen	3	2	4.5
5031	reason-risen	3	3	35.3333333333333
5031	reason-risen	3	4	38.3333333333333
5031	reason-risen	3	5	50.6666666666667
5031	reason-risen	3	6	59
5031	reason-risen	3	7	86
5031	reason-risen	4	1	19.3333333333333
5031	reason-risen	4	2	14.6666666666667
5031	reason-risen	4	3	28.3333333333333
5031	reason-risen	4	4	25.3333333333333
5031	reason-risen	4	5	46.6666666666667
5031	reason-risen	4	6	64.6666666666667
5031	reason-risen	4	7	81.6666666666667
5031	reason-risen	5	1	28.3333333333333
5031	reason-risen	5	2	21
5031	reason-risen	5	3	49.6666666666667
5031	reason-risen	5	4	54.6666666666667
5031	reason-risen	5	5	78.5
5031	reason-risen	5	6	80.3333333333333
5031	reason-risen	5	7	88.3333333333333
5031	kata-katta	1	1	34.6666666666667
5031	kata-katta	1	2	24.6666666666667
5031	kata-katta	1	3	49.3333333333333
5031	kata-katta	1	4	37.3333333333333
5031	kata-katta	1	5	32.3333333333333
5031	kata-katta	1	6	22.3333333333333
5031	kata-katta	1	7	53.3333333333333
5031	kata-katta	2	1	39
5031	kata-katta	2	2	54.6666666666667
5031	kata-katta	2	3	19.3333333333333
5031	kata-katta	2	4	22.6666666666667
5031	kata-katta	2	5	59.3333333333333
5031	kata-katta	2	6	45.3333333333333
5031	kata-katta	2	7	54.3333333333333
5031	kata-katta	3	1	46.5
5031	kata-katta	3	2	39.6666666666667
5031	kata-katta	3	3	29.6666666666667
5031	kata-katta	3	4	63.3333333333333
5031	kata-katta	3	5	40.5
5031	kata-katta	3	6	48.6666666666667
5031	kata-katta	3	7	54.6666666666667
5031	kata-katta	4	1	39.3333333333333
5031	kata-katta	4	2	24
5031	kata-katta	4	3	21.6666666666667
5031	kata-katta	4	4	59
5031	kata-katta	4	5	55.3333333333333
5031	kata-katta	4	6	76
5031	kata-katta	4	7	61.6666666666667
5031	kata-katta	5	1	40.6666666666667
5031	kata-katta	5	2	38.3333333333333
