"day","ID","response","reaction_time","log_rt","correct","condition","language","word_pair","signal","type","sound_1","sound_2","speaker_signal","task"
"1","102","same",1561.2199999999991,7.353222845882871,1,"lowLD","Japanese","nishi-nisshi","same","BB","M_nisshi.mp3","M_nisshi.mp3","same","training"
"1","102","same",1991.34,7.596563057942984,0,"lowLD","Japanese","heta-hetta","different","BA","F_hetta.mp3","F_heta.mp3","same","training"
"1","102","same",1255.800000000003,7.135528098680012,0,"lowLD","Japanese","oto-otto","different","BA","M_otto.mp3","M_oto.mp3","same","training"
"1","102","same",1331.4000000000017,7.193986299166604,1,"lowLD","Japanese","heta-hetta","same","BB","F_hetta.mp3","F_hetta.mp3","same","training"
"1","102","same",1269.3399999999965,7.146252359330192,1,"lowLD","Japanese","saka-sakka","same","BB","M_sakka.mp3","F_sakka.mp3","different","training"
"1","102","different",1512.739999999998,7.3216778550029735,1,"lowLD","Japanese","iso-isso","different","BA","F_isso.mp3","F_iso.mp3","same","training"
"1","102","same",972.820000000007,6.8801990702110984,1,"lowLD","Japanese","ishoku-isshoku","same","AA","M_ishoku.mp3","F_ishoku.mp3","different","training"
"1","102","same",906.3999999999942,6.80948070971379,1,"lowLD","Japanese","nishi-nisshi","same","AA","M_nishi.mp3","F_nishi.mp3","different","training"
"1","102","same",745.820000000007,6.614484284226141,1,"lowLD","Japanese","ojisan-ojiisan","same","BB","F_ojiisan.mp3","M_ojiisan.mp3","different","training"
"1","102","same",417.0599999999977,6.033230096340444,1,"lowLD","Japanese","haken-hakken","same","AA","F_haken.mp3","M_haken.mp3","different","training"
"1","102","same",824.8399999999965,6.715189428132061,0,"lowLD","Japanese","ite-itte","different","AB","F_ite.mp3","M_itte.mp3","different","training"
"1","102","different",1237.6000000000058,7.120929299258861,1,"lowLD","Japanese","gaki-gakki","different","AB","M_gaki.mp3","M_gakki.mp3","same","training"
"1","102","same",586.8000000000029,6.374684046268832,1,"lowLD","Japanese","ishoku-isshoku","same","BB","F_isshoku.mp3","F_isshoku.mp3","same","training"
"1","102","same",480.11999999999534,6.174036072657135,1,"lowLD","Japanese","hasan-hassan","same","AA","M_hasan.mp3","M_hasan.mp3","same","training"
"1","102","different",843.3399999999965,6.737370198160547,1,"lowLD","Japanese","shiru-shiiru","different","AB","M_shiru.mp3","F_shiiru.mp3","different","training"
"1","102","same",316.7600000000093,5.758144389342241,1,"lowLD","Japanese","iso-isso","same","BB","F_isso.mp3","F_isso.mp3","same","training"
"1","102","same",678.5799999999872,6.520002379472524,1,"lowLD","Japanese","nishi-nisshi","same","AA","M_nishi.mp3","F_nishi.mp3","different","training"
"1","102","different",885.859999999986,6.7865589245755915,1,"lowLD","Japanese","ite-itte","different","BA","M_itte.mp3","M_ite.mp3","same","training"
"1","102","different",940.4800000000104,6.846390383230563,0,"lowLD","Japanese","kasee-kassee","same","BB","F_kassee.mp3","M_kassee.mp3","different","training"
"1","102","same",410.7399999999907,6.0179604109119245,0,"lowLD","Japanese","kasee-kassee","different","BA","F_kassee.mp3","M_kasee.mp3","different","training"
"1","102","same",488.179999999993,6.190684190302804,0,"lowLD","Japanese","nishi-nisshi","different","BA","M_nisshi.mp3","F_nishi.mp3","different","training"
"1","102","different",1089.3399999999965,6.993327287244094,1,"lowLD","Japanese","hasan-hassan","different","AB","M_hasan.mp3","M_hassan.mp3","same","training"
"1","102","different",1196.1600000000035,7.086871704827146,1,"lowLD","Japanese","saka-sakka","different","BA","M_sakka.mp3","M_saka.mp3","same","training"
"1","102","different",938.5199999999896,6.84430416640151,1,"lowLD","Japanese","heta-hetta","different","AB","M_heta.mp3","F_hetta.mp3","different","training"
"1","102","same",1000.960000000021,6.908714818476858,0,"lowLD","Japanese","heta-hetta","different","BA","M_hetta.mp3","F_heta.mp3","different","training"
"1","102","same",742.7399999999907,6.610346050771762,1,"lowLD","Japanese","jutaku-juutaku","same","BB","M_juutaku.mp3","F_juutaku.mp3","different","training"
"1","102","different",1674.2200000000012,7.423102664158665,1,"lowLD","Japanese","shiru-shiiru","different","BA","F_shiiru.mp3","M_shiru.mp3","different","training"
"1","102","different",1498.2399999999907,7.312046364862485,1,"lowLD","Japanese","oto-otto","different","AB","M_oto.mp3","F_otto.mp3","different","training"
"1","102","same",600.5599999999977,6.397862553264743,1,"lowLD","Japanese","kasee-kassee","same","BB","M_kassee.mp3","M_kassee.mp3","same","training"
"1","102","same",664.1000000000058,6.498432740546677,1,"lowLD","Japanese","yusoo-yuusoo","same","AA","M_yusoo.mp3","F_yusoo.mp3","different","training"
"1","102","same",729.7799999999988,6.592743118858398,0,"lowLD","Japanese","ishoku-isshoku","different","BA","M_isshoku.mp3","M_ishoku.mp3","same","training"
"1","102","same",460.54000000000815,6.132399714029491,1,"lowLD","Japanese","ite-itte","same","BB","F_itte.mp3","F_itte.mp3","same","training"
"1","102","same",335.54000000000815,5.815741174342278,1,"lowLD","Japanese","yusoo-yuusoo","same","AA","F_yusoo.mp3","F_yusoo.mp3","same","training"
"1","102","same",548.1600000000035,6.306567215135761,1,"lowLD","Japanese","ite-itte","same","AA","M_ite.mp3","F_ite.mp3","different","training"
"1","102","same",794.3800000000047,6.677561936180407,1,"lowLD","Japanese","nishi-nisshi","same","BB","F_nisshi.mp3","M_nisshi.mp3","different","training"
"1","102","same",561.9400000000023,6.331395082628437,0,"lowLD","Japanese","saka-sakka","different","BA","M_sakka.mp3","F_saka.mp3","different","training"
"1","102","different",800.7600000000093,6.6855612767035275,0,"lowLD","Japanese","kasee-kassee","same","BB","M_kassee.mp3","F_kassee.mp3","different","training"
