ID	ax_condition	day	prepost	language	pair	second_dim_step	first_dim_step	norm_response	pred
102	lowLD	1	pre-training	English	indent-intent	3	1	0	0.0329411428854436
102	lowLD	1	pre-training	English	indent-intent	3	1	1	0.0329411428854436
102	lowLD	1	pre-training	English	indent-intent	3	1	1	0.0329411428854436
102	lowLD	1	pre-training	English	indent-intent	3	1	0	0.0329411428854436
102	lowLD	1	pre-training	English	indent-intent	3	2	0	1.78426081106863
102	lowLD	1	pre-training	English	indent-intent	3	2	0	1.78426081106863
102	lowLD	1	pre-training	English	indent-intent	3	2	0	1.78426081106863
102	lowLD	1	pre-training	English	indent-intent	3	2	0	1.78426081106863
102	lowLD	1	pre-training	English	indent-intent	3	3	100	49.9801163035758
102	lowLD	1	pre-training	English	indent-intent	3	3	1	49.9801163035758
102	lowLD	1	pre-training	English	indent-intent	3	3	99	49.9801163035758
102	lowLD	1	pre-training	English	indent-intent	3	3	0	49.9801163035758
102	lowLD	1	pre-training	English	indent-intent	3	4	100	97.986467616436
102	lowLD	1	pre-training	English	indent-intent	3	4	99	97.986467616436
102	lowLD	1	pre-training	English	indent-intent	3	4	100	97.986467616436
102	lowLD	1	pre-training	English	indent-intent	3	4	99	97.986467616436
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.7237938971308
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.7237938971308
102	lowLD	1	pre-training	English	indent-intent	3	5	100	99.7237938971308
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.7237938971308
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.7558739388263
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.7558739388263
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.7558739388263
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.7558739388263
102	lowLD	1	pre-training	English	indent-intent	3	7	100	99.7564559861573
102	lowLD	1	pre-training	English	indent-intent	3	7	100	99.7564559861573
102	lowLD	1	pre-training	English	indent-intent	3	7	99	99.7564559861573
102	lowLD	1	pre-training	English	indent-intent	3	7	100	99.7564559861573
102	lowLD	1	pre-training	English	reason-risen	3	1	1	5.38453049418691e-05
102	lowLD	1	pre-training	English	reason-risen	3	1	2	5.38453049418691e-05
102	lowLD	1	pre-training	English	reason-risen	3	1	1	5.38453049418691e-05
102	lowLD	1	pre-training	English	reason-risen	3	1	1	5.38453049418691e-05
102	lowLD	1	pre-training	English	reason-risen	3	2	2	0.00298291950320868
102	lowLD	1	pre-training	English	reason-risen	3	2	1	0.00298291950320868
102	lowLD	1	pre-training	English	reason-risen	3	2	1	0.00298291950320868
102	lowLD	1	pre-training	English	reason-risen	3	2	2	0.00298291950320868
102	lowLD	1	pre-training	English	reason-risen	3	3	1	0.165130025641678
102	lowLD	1	pre-training	English	reason-risen	3	3	1	0.165130025641678
102	lowLD	1	pre-training	English	reason-risen	3	3	1	0.165130025641678
102	lowLD	1	pre-training	English	reason-risen	3	3	0	0.165130025641678
102	lowLD	1	pre-training	English	reason-risen	3	4	0	8.39836423883099
102	lowLD	1	pre-training	English	reason-risen	3	4	1	8.39836423883099
102	lowLD	1	pre-training	English	reason-risen	3	4	1	8.39836423883099
102	lowLD	1	pre-training	English	reason-risen	3	4	0	8.39836423883099
102	lowLD	1	pre-training	English	reason-risen	3	5	100	83.2985188363688
102	lowLD	1	pre-training	English	reason-risen	3	5	100	83.2985188363688
102	lowLD	1	pre-training	English	reason-risen	3	5	52	83.2985188363688
102	lowLD	1	pre-training	English	reason-risen	3	5	99	83.2985188363688
102	lowLD	1	pre-training	English	reason-risen	3	6	98	99.2639410143569
102	lowLD	1	pre-training	English	reason-risen	3	6	99	99.2639410143569
102	lowLD	1	pre-training	English	reason-risen	3	6	100	99.2639410143569
102	lowLD	1	pre-training	English	reason-risen	3	6	99	99.2639410143569
102	lowLD	1	pre-training	English	reason-risen	3	7	100	99.6082428118858
102	lowLD	1	pre-training	English	reason-risen	3	7	99	99.6082428118858
102	lowLD	1	pre-training	English	reason-risen	3	7	98	99.6082428118858
102	lowLD	1	pre-training	English	reason-risen	3	7	100	99.6082428118858
102	lowLD	1	pre-training	Japanese	kata-katta	3	1	0	33.3333317628568
102	lowLD	1	pre-training	Japanese	kata-katta	3	1	50	33.3333317628568
102	lowLD	1	pre-training	Japanese	kata-katta	3	1	50	33.3333317628568
102	lowLD	1	pre-training	Japanese	kata-katta	3	2	49	49.4999902049068
102	lowLD	1	pre-training	Japanese	kata-katta	3	2	49	49.4999902049068
102	lowLD	1	pre-training	Japanese	kata-katta	3	2	50	49.4999902049068
