ID,age,gender,language1,language2,language3,language4,proficiency1,proficiency2,proficiency3,proficiency4,immersion1,immersion2,immersion3,immersion4,dominance1,dominance2,dominance3,dominance4,ratio1,ratio2,ratio3,ratio4,PD1,PD2,PD3,PD4,MLD_A
102,28,Female,english,,,,1,0,0,0,0.93,0,0,0,0.56,0,0,0,1,0,0,0,1,0,0,0,0
103,33,Female,English,,,,1,0,0,0,0.96,0,0,0,0.66,0,0,0,1,0,0,0,1,0,0,0,0
104,32,Female,English,,,,1,0,0,0,0.97,0,0,0,0.63,0,0,0,1,0,0,0,1,0,0,0,0
106,32,Female,english,,,,1,0,0,0,1,0,0,0,0.53,0,0,0,1,0,0,0,1,0,0,0,0
107,32,Female,english,Korean,,,1,0.54,0,0,0.98,0.41,0,0,0.7,0.35,0,0,1,0.49,0,0,0.67,0.33,0,0,0.91
108,27,Female,English,,,,1,0,0,0,0.89,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
109,34,Male,English,,,,1,0,0,0,0.96,0,0,0,0.68,0,0,0,1,0,0,0,1,0,0,0,0
110,26,Male,English,Spanish,,,1,0.14,0,0,1,0.5,0,0,0.71,0.07,0,0,1,0.1,0,0,0.91,0.09,0,0,0.44
111,30,Female,English,,,,1,0,0,0,1,0,0,0,0.67,0,0,0,1,0,0,0,1,0,0,0,0
112,37,Female,English,,,,1,0,0,0,0.97,0,0,0,0.68,0,0,0,1,0,0,0,1,0,0,0,0
113,32,Male,English,,,,0.96,0,0,0,0.96,0,0,0,0.69,0,0,0,1,0,0,0,1,0,0,0,0
114,26,Female,English,,,,0.89,0,0,0,0.96,0,0,0,0.63,0,0,0,1,0,0,0,1,0,0,0,0
115,37,Male,English,,,,1,0,0,0,0.91,0,0,0,0.57,0,0,0,1,0,0,0,1,0,0,0,0
118,39,Male,English,,,,1,0,0,0,0.96,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
119,36,Male,English,,,,1,0,0,0,0.97,0,0,0,0.55,0,0,0,1,0,0,0,1,0,0,0,0
121,22,Male,English,,,,1,0,0,0,1,0,0,0,0.78,0,0,0,1,0,0,0,1,0,0,0,0
122,22,Female,English,French,,,1,0.64,0,0,0.95,0.34,0,0,0.68,0.33,0,0,1,0.49,0,0,0.67,0.33,0,0,0.91
123,36,Female,English,,,,1,0,0,0,0.99,0,0,0,0.73,0,0,0,1,0,0,0,1,0,0,0,0
124,38,Male,English,,,,1,0,0,0,0.97,0,0,0,0.8,0,0,0,1,0,0,0,1,0,0,0,0
125,34,Male,english,,,,0.89,0,0,0,0.99,0,0,0,0.53,0,0,0,1,0,0,0,1,0,0,0,0
126,33,Female,English,,,,1,0,0,0,0.97,0,0,0,0.75,0,0,0,1,0,0,0,1,0,0,0,0
127,34,Male,English,,,,1,0,0,0,0.96,0,0,0,0.56,0,0,0,1,0,0,0,1,0,0,0,0
128,22,Non-binary,english,French,,,1,0.14,0,0,1,0.04,0,0,0.76,0.07,0,0,1,0.09,0,0,0.91,0.09,0,0,0.42
129,34,Male,English,,,,1,0,0,0,0.9,0,0,0,0.59,0,0,0,1,0,0,0,1,0,0,0,0
131,40,Female,English,French,,,1,0.25,0,0,0.98,0.36,0,0,0.67,0.12,0,0,1,0.19,0,0,0.84,0.16,0,0,0.63
132,38,Female,English,,,,1,0,0,0,1,0,0,0,0.59,0,0,0,1,0,0,0,1,0,0,0,0
133,35,Female,English,,,,1,0,0,0,0.97,0,0,0,0.66,0,0,0,1,0,0,0,1,0,0,0,0
135,36,Male,English,,,,1,0,0,0,1,0,0,0,0.57,0,0,0,1,0,0,0,1,0,0,0,0
137,22,Female,english,,,,0.82,0,0,0,0.94,0,0,0,0.47,0,0,0,1,0,0,0,1,0,0,0,0
139,33,Male,English,Spanish,German,,1,0.43,0.46,0,0.94,0.35,0.34,0,0.68,0.21,0.23,0,1,0.32,0.34,0,0.6,0.19,0.21,0,1.36
140,31,Female,english,,,,0.96,0,0,0,0.96,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
141,34,Female,English,,,,1,0,0,0,0.96,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
142,19,Male,English,Spanish,,,0.96,0.29,0,0,0.94,0.22,0,0,0.6,0.14,0,0,1,0.24,0,0,0.81,0.19,0,0,0.71
145,39,Female,English,Spanish,,,0.96,0.32,0,0,0.92,0.51,0,0,0.61,0.16,0,0,1,0.26,0,0,0.79,0.21,0,0,0.74
146,20,Female,English,spanish,,,1,0.14,0,0,0.96,0.17,0,0,0.69,0.07,0,0,1,0.1,0,0,0.91,0.09,0,0,0.45
147,38,Female,english,spanish,german,,1,0.39,0.36,0,0.98,0.34,0.36,0,0.61,0.2,0.18,0,1,0.32,0.29,0,0.62,0.2,0.18,0,1.34
148,26,Female,English,,,,1,0,0,0,0.95,0,0,0,0.76,0,0,0,1,0,0,0,1,0,0,0,0
149,27,Male,English,Spanish,Italian,,1,0.43,0.29,0,1,0.3,0.11,0,0.77,0.25,0.19,0,1,0.33,0.25,0,0.63,0.21,0.16,0,1.31
150,34,Female,English,Spanish,,,1,0.32,0,0,0.97,0.31,0,0,0.61,0.16,0,0,1,0.26,0,0,0.79,0.21,0,0,0.74
151,26,Male,English,,,,0.86,0,0,0,0.96,0,0,0,0.47,0,0,0,1,0,0,0,1,0,0,0,0
152,37,Female,English,,,,1,0,0,0,0.98,0,0,0,0.63,0,0,0,1,0,0,0,1,0,0,0,0
153,36,Female,English,,,,1,0,0,0,0.94,0,0,0,0.56,0,0,0,1,0,0,0,1,0,0,0,0
155,39,Female,english,,,,1,0,0,0,0.98,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
156,32,Female,English,French,,,1,0.43,0,0,0.97,0.5,0,0,0.55,0.21,0,0,1,0.39,0,0,0.72,0.28,0,0,0.85
157,23,Male,English,,,,1,0,0,0,0.98,0,0,0,0.55,0,0,0,1,0,0,0,1,0,0,0,0
158,33,Male,English,,,,0.96,0,0,0,0.95,0,0,0,0.54,0,0,0,1,0,0,0,1,0,0,0,0
