ID	ax_condition	day	prepost	language	pair	second_dim_step	first_dim_step	norm_response	pred
102	lowLD	1	pre-training	English	indent-intent	3	1	0	0.0254671761533236
102	lowLD	1	pre-training	English	indent-intent	3	1	1	0.0254671761533236
102	lowLD	1	pre-training	English	indent-intent	3	1	1	0.0254671761533236
102	lowLD	1	pre-training	English	indent-intent	3	1	0	0.0254671761533236
102	lowLD	1	pre-training	English	indent-intent	3	2	0	1.57219861220958
102	lowLD	1	pre-training	English	indent-intent	3	2	0	1.57219861220958
102	lowLD	1	pre-training	English	indent-intent	3	2	0	1.57219861220958
102	lowLD	1	pre-training	English	indent-intent	3	2	0	1.57219861220958
102	lowLD	1	pre-training	English	indent-intent	3	3	100	49.9822917338796
102	lowLD	1	pre-training	English	indent-intent	3	3	1	49.9822917338796
102	lowLD	1	pre-training	English	indent-intent	3	3	99	49.9822917338796
102	lowLD	1	pre-training	English	indent-intent	3	3	0	49.9822917338796
102	lowLD	1	pre-training	English	indent-intent	3	4	100	98.2026565196482
102	lowLD	1	pre-training	English	indent-intent	3	4	99	98.2026565196482
102	lowLD	1	pre-training	English	indent-intent	3	4	100	98.2026565196482
102	lowLD	1	pre-training	English	indent-intent	3	4	99	98.2026565196482
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.7370957027318
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.7370957027318
102	lowLD	1	pre-training	English	indent-intent	3	5	100	99.7370957027318
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.7370957027318
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.7619539225769
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.7619539225769
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.7619539225769
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.7619539225769
102	lowLD	1	pre-training	English	indent-intent	3	7	100	99.7623504366572
102	lowLD	1	pre-training	English	indent-intent	3	7	100	99.7623504366572
102	lowLD	1	pre-training	English	indent-intent	3	7	99	99.7623504366572
102	lowLD	1	pre-training	English	indent-intent	3	7	100	99.7623504366572
102	lowLD	1	pre-training	English	reason-risen	3	1	1	0.49183153731826
102	lowLD	1	pre-training	English	reason-risen	3	1	2	0.49183153731826
102	lowLD	1	pre-training	English	reason-risen	3	1	1	0.49183153731826
102	lowLD	1	pre-training	English	reason-risen	3	1	1	0.49183153731826
102	lowLD	1	pre-training	English	reason-risen	3	2	2	0.491851337034617
102	lowLD	1	pre-training	English	reason-risen	3	2	1	0.491851337034617
102	lowLD	1	pre-training	English	reason-risen	3	2	1	0.491851337034617
102	lowLD	1	pre-training	English	reason-risen	3	2	2	0.491851337034617
102	lowLD	1	pre-training	English	reason-risen	3	3	1	0.498393653522003
102	lowLD	1	pre-training	English	reason-risen	3	3	1	0.498393653522003
102	lowLD	1	pre-training	English	reason-risen	3	3	1	0.498393653522003
102	lowLD	1	pre-training	English	reason-risen	3	3	0	0.498393653522003
102	lowLD	1	pre-training	English	reason-risen	3	4	0	2.61385502770456
102	lowLD	1	pre-training	English	reason-risen	3	4	1	2.61385502770456
102	lowLD	1	pre-training	English	reason-risen	3	4	1	2.61385502770456
102	lowLD	1	pre-training	English	reason-risen	3	4	0	2.61385502770456
102	lowLD	1	pre-training	English	reason-risen	3	5	100	87.3320263347064
102	lowLD	1	pre-training	English	reason-risen	3	5	100	87.3320263347064
102	lowLD	1	pre-training	English	reason-risen	3	5	52	87.3320263347064
102	lowLD	1	pre-training	English	reason-risen	3	5	99	87.3320263347064
102	lowLD	1	pre-training	English	reason-risen	3	6	98	99.2654767433554
102	lowLD	1	pre-training	English	reason-risen	3	6	99	99.2654767433554
102	lowLD	1	pre-training	English	reason-risen	3	6	100	99.2654767433554
102	lowLD	1	pre-training	English	reason-risen	3	6	99	99.2654767433554
102	lowLD	1	pre-training	English	reason-risen	3	7	100	99.3065695254036
102	lowLD	1	pre-training	English	reason-risen	3	7	99	99.3065695254036
102	lowLD	1	pre-training	English	reason-risen	3	7	98	99.3065695254036
102	lowLD	1	pre-training	English	reason-risen	3	7	100	99.3065695254036
102	lowLD	1	pre-training	Japanese	kata-katta	3	1	0	33.6714607245449
102	lowLD	1	pre-training	Japanese	kata-katta	3	1	50	33.6714607245449
102	lowLD	1	pre-training	Japanese	kata-katta	3	1	50	33.6714607245449
102	lowLD	1	pre-training	Japanese	kata-katta	3	2	49	47.7281771132361
102	lowLD	1	pre-training	Japanese	kata-katta	3	2	49	47.7281771132361
102	lowLD	1	pre-training	Japanese	kata-katta	3	2	50	47.7281771132361
102	lowLD	1	pre-training	Japanese	kata-katta	3	2	50	47.7281771132361
102	lowLD	1	pre-training	Japanese	kata-katta	3	3	51	49.8510566021356
102	lowLD	1	pre-training	Japanese	kata-katta	3	3	50	49.8510566021356
102	lowLD	1	pre-training	Japanese	kata-katta	3	3	50	49.8510566021356
102	lowLD	1	pre-training	Japanese	kata-katta	3	4	49	50.0244510228883
102	lowLD	1	pre-training	Japanese	kata-katta	3	4	49	50.0244510228883
