"ID","age","gender","context_hours_watching","passive_watching_lang1","passive_watching_lang1_hours","passive_watching_lang2","passive_watching_lang2_hours","passive_watching_lang3","passive_watching_lang3_hours","passive_watching_lang4","passive_watching_lang4_hours","context_hours_listening","passive_listening_lang1","passive_listening_lang1_hours","passive_listening_lang2","passive_listening_lang2_hours","passive_listening_lang3","passive_listening_lang3_hours","passive_listening_lang4","passive_listening_lang4_hours","context_hours_games","passive_games_lang1","passive_games_lang1_hours","passive_games_lang2","passive_games_lang2_hours","passive_games_lang3","passive_games_lang3_hours","passive_games_lang4","passive_games_lang4_hours","context_hours_internet","passive_internet_lang1","passive_internet_lang1_hours","passive_internet_lang2","passive_internet_lang2_hours","passive_internet_lang3","passive_internet_lang3_hours","passive_internet_lang4","passive_internet_lang4_hours","context_hours_home","passive_home_lang1","passive_home_lang1_hours","passive_home_lang2","passive_home_lang2_hours","passive_home_lang3","passive_home_lang3_hours","passive_home_lang4","passive_home_lang4_hours","context_hours_family","passive_family_lang1","passive_family_lang1_hours","passive_family_lang2","passive_family_lang2_hours","passive_family_lang3","passive_family_lang3_hours","passive_family_lang4","passive_family_lang4_hours","context_hours_social","passive_social_lang1","passive_social_lang1_hours","passive_social_lang2","passive_social_lang2_hours","passive_social_lang3","passive_social_lang3_hours","passive_social_lang4","passive_social_lang4_hours","context_hours_work_school","passive_work_school_lang1","passive_work_school_lang1_hours","passive_work_school_lang2","passive_work_school_lang2_hours","passive_work_school_lang3","passive_work_school_lang3_hours","passive_work_school_lang4","passive_work_school_lang4_hours","context_hours_out_of_home","passive_out_of_home_lang1","passive_out_of_home_lang1_hours","passive_out_of_home_lang2","passive_out_of_home_lang2_hours","passive_out_of_home_lang3","passive_out_of_home_lang3_hours","passive_out_of_home_lang4","passive_out_of_home_lang4_hours","context_hours_other","context_hours_other_please_specify","passive_other_lang1","passive_other_lang1_hours","passive_other_lang2","passive_other_lang2_hours","passive_other_lang3","passive_other_lang3_hours","passive_other_lang4","passive_other_lang4_hours","hours_awake_question_15","other_info_part_2_question_16"
"102",28,"Female",3,"enlish",3,NA,NA,NA,NA,NA,NA,0,"enlish",0,NA,NA,NA,NA,NA,NA,3,"english",3,NA,NA,NA,NA,NA,NA,5,"english",5,NA,NA,NA,NA,NA,NA,8,"english",8,NA,NA,NA,NA,NA,NA,8,"enlish",8,NA,NA,NA,NA,NA,NA,0,"enlish",0,NA,NA,NA,NA,NA,NA,0,"enlish",0,NA,NA,NA,NA,NA,NA,0,"english",0,NA,NA,NA,NA,NA,NA,0,NA,"enlish",0,NA,NA,NA,NA,NA,NA,16,NA
"103",33,"Female",5,"English",5,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,14,"English",14,NA,NA,NA,NA,NA,NA,14,"English",14,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"104",32,"Female",2,"English",2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"106",32,"Female",5,"english",5,NA,NA,NA,NA,NA,NA,3,"english",3,NA,NA,NA,NA,NA,NA,1,"english",1,NA,NA,NA,NA,NA,NA,1,"english",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"english",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"engish",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"107",32,"Female",3,"english",2,"korean",1,NA,NA,NA,NA,2,"english",1,"korean",1,NA,NA,NA,NA,6,"english",6,"korean",0,NA,NA,NA,NA,8,"english",5,"korean",3,NA,NA,NA,NA,23,"english",23,"korean",0,NA,NA,NA,NA,12,"english",12,"korean",0,NA,NA,NA,NA,0,"english",0,"korean",0,NA,NA,NA,NA,0,"english",0,"korean",0,NA,NA,NA,NA,5,"english",4,"korean",1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
"108",27,"Female",4,"English",4,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"109",34,"Male",2,"English",2,NA,NA,NA,NA,NA,NA,NA,"English",0,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"110",26,"Male",14,"English",14,NA,NA,NA,NA,NA,NA,3,"English",1,"South Korean",1,"Japanese",1,NA,NA,6,"English",5.5,"Japanese",0.5,NA,NA,NA,NA,4,"Englsih",4,NA,NA,NA,NA,NA,NA,0,"English",NA,NA,NA,NA,NA,NA,NA,24,"English",24,NA,NA,NA,NA,NA,NA,0,"English",NA,NA,NA,NA,NA,NA,NA,0,"English",NA,NA,NA,NA,NA,NA,NA,0,"English",NA,NA,NA,NA,NA,NA,NA,0,"0","English",NA,NA,NA,NA,NA,NA,NA,16,"I used to watch anime in Japanese with English subtitles and have played video games that are natively dubbed in Japanese, such as the Yakuza or Like a Dragon video game series. I've seen South Korean movies with subtitles such as the Man from Nowhere, Parasite, and Oldboy."
"111",30,"Female",1,"English",1,NA,NA,NA,NA,NA,NA,0,"English",NA,NA,NA,NA,NA,NA,NA,0,"English",NA,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"112",37,"Female",3,"English",3,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,0,NA,"English",0,NA,NA,NA,NA,NA,NA,16,NA
