ID,age,gender,MLD_P,context_hours_watching,scaled_proportions_watching,langs_per_context_watching,context_entropies_watching,context_hours_listening,scaled_proportions_listening,langs_per_context_listening,context_entropies_listening,context_hours_games,scaled_proportions_games,langs_per_context_games,context_entropies_games,context_hours_internet,scaled_proportions_internet,langs_per_context_internet,context_entropies_internet,context_hours_home,scaled_proportions_home,langs_per_context_home,context_entropies_home,context_hours_family,scaled_proportions_family,langs_per_context_family,context_entropies_family,context_hours_social,scaled_proportions_social,langs_per_context_social,context_entropies_social,context_hours_work_school,scaled_proportions_work_school,langs_per_context_work_school,context_entropies_work_school,context_hours_out_of_home,scaled_proportions_out_of_home,langs_per_context_out_of_home,context_entropies_out_of_home,context_hours_other,scaled_proportions_other,langs_per_context_other,context_entropies_other
102,28,Female,0,3,0.12,1,0,0,0,0,0,3,0.12,1,0,5,0.21,1,0,8,0.33,1,0,8,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,33,Female,0,5,0.21,1,0,1,0.04,1,0,2,0.08,1,0,5,0.21,1,0,14,0.58,1,0,14,0.58,1,0,1,0.04,1,0,8,0.33,1,0,1,0.04,1,0,,,0,0
104,32,Female,0,2,0.08,1,0,0,0,0,0,0,0,0,0,2,0.08,1,0,5,0.21,1,0,1,0.04,1,0,0,0,0,0,8,0.33,1,0,1,0.04,1,0,,,0,0
106,32,Female,0,5,0.21,1,0,3,0.12,1,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
107,32,Female,0.67,3,0.12,2,0.92,2,0.08,2,1,6,0.25,1,0,8,0.33,2,0.95,23,0.96,1,0,12,0.5,1,0,0,0,0,0,0,0,0,0,5,0.21,2,0.72,0,0,0,0
108,27,Female,0,4,0.17,1,0,6,0.25,1,0,5,0.21,1,0,4,0.17,1,0,0,0,0,0,10,0.42,1,0,4,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,34,Male,0,2,0.08,1,0,,,0,0,1,0.04,1,0,1,0.04,1,0,2,0.08,1,0,2,0.08,1,0,1,0.04,1,0,8,0.33,1,0,0,0,0,0,0,0,0,0
110,26,Male,0.3,14,0.58,1,0,3,0.12,3,1.58,6,0.25,2,0.41,4,0.17,1,0,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,30,Female,0,1,0.04,1,0,0,0,0,0,0,0,0,0,2,0.08,1,0,10,0.42,1,0,10,0.42,1,0,1,0.04,1,0,8,0.33,1,0,1,0.04,1,0,,,0,0
112,37,Female,0,3,0.12,1,0,0,0,0,0,1,0.04,1,0,1,0.04,1,0,3,0.12,1,0,2,0.08,1,0,1,0.04,1,0,2,0.08,1,0,8,0.33,1,0,0,0,0,0
113,32,Male,0.48,2,0.08,1,0,3,0.12,1,0,2,0.08,1,0,4,0.17,1,0,8,0.33,1,0,2,0.08,1,0,2,0.08,2,1,8,0.33,2,0.81,2,0.08,3,1.5,,,0,0
114,26,Female,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,3,0.12,1,0,22,0.92,1,0,16,0.67,1,0,2,0.08,1,0,8,0.33,1,0,2,0.08,1,0,0,0,0,0
115,37,Male,0.12,3,0.12,1,0,1,0.04,1,0,8,0.33,1,0,1,0.04,1,0,8,0.33,1,0,8,0.33,1,0,1,0.04,2,1,1,0.04,2,1,1,0.04,2,1,,,0,0
118,39,Male,0,2,0.08,1,0,1,0.04,1,0,1,0.04,1,0,2,0.08,1,0,7,0.29,1,0,7,0.29,1,0,2,0.08,1,0,7,0.29,1,0,1,0.04,1,0,0,0,0,0
119,36,Male,0,1,0.04,1,0,3,0.12,1,0,0,0,0,0,2,0.08,1,0,2,0.08,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0
121,22,Male,0.66,4,0.17,1,0,3,0.12,3,0.82,6,0.25,1,0,8,0.33,4,1.28,20,0.83,1,0,3,0.12,2,0.81,8,0.33,0,0,3,0.12,1,0,1,0.04,2,0.72,,,0,0
122,22,Female,0.1,5,0.21,2,0.47,1,0.04,1,0,1,0.04,1,0,2,0.08,1,0,20,0.83,1,0,20,0.83,1,0,3,0.12,1,0,0,0,0,0,1,0.04,1,0,,,0,0
123,36,Female,0,20,0.83,1,0,3,0.12,1,0,7,0.29,1,0,,,1,0,6,0.25,1,0,2,0.08,1,0,1,0.04,1,0,7,0.29,1,0,1,0.04,1,0,,,0,0
124,38,Male,0,5,0.21,1,0,8,0.33,1,0,1,0.04,1,0,12,0.5,1,0,0,0,0,0,2,0.08,1,0,1,0.04,1,0,8,0.33,1,0,1,0.04,1,0,0,0,0,0
125,34,Male,0.46,0.5,0.02,1,0,0.5,0.02,1,0,0,0,0,0,0.5,0.02,1,0,12,0.5,2,0.92,0.5,0.02,1,0,0.5,0.02,1,0,0,0,0,0,10,0.42,1,0,,,0,0
126,33,Female,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,8,0.33,1,0,1,0.04,1,0,2,0.08,1,0,8,0.33,1,0,1,0.04,1,0,,,0,0
127,34,Male,0,3,0.12,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,23,0.96,1,0,2,0.08,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0
128,22,Non-binary,0.16,4,0.17,1,0,6,0.25,2,0.65,2,0.08,1,0,3,0.12,1,0,24,1,1,0,24,1,1,0,2,0.08,1,0,2,0.08,1,0,2,0.08,1,0,,,0,0
129,34,Male,0,4,0.17,1,0,1,0.04,1,0,2,0.08,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,40,Female,0,3,0.12,1,0,3,0.12,1,0,2,0.08,1,0,2,0.08,1,0,15,0.62,0,0,3,0.12,1,0,2,0.08,1,0,5,0.21,1,0,2,0.08,1,0,,,0,0
132,38,Female,0,1,0.04,1,0,0,0,0,0,3,0.12,1,0,2,0.08,1,0,6,0.25,1,0,6,0.25,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0
133,35,Female,0.16,3,0.12,2,0.92,1,0.04,2,1,2,0.08,1,0,4,0.17,1,0,6,0.25,1,0,1,0.04,1,0,1,0.04,1,0,4,0.17,1,0,0,0,0,0,0,0,0,0
135,36,Male,0,2,0.08,1,0,2,0.08,1,0,2,0.08,1,0,2,0.08,1,0,4,0.17,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,,,0,0
137,22,Female,0,8,0.33,1,0,1,0.04,1,0,0,0,0,0,5,0.21,1,0,10,0.42,1,0,10,0.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
139,33,Male,0,10,0.42,1,0,0,0,0,0,2,0.08,1,0,2,0.08,1,0,22,0.92,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0,2,0.08,1,0,0,0,0,0
140,31,Female,0.34,2.5,0.1,1,0,1,0.04,1,0,1,0.04,1,0,3,0.12,2,0.81,16,0.67,1,0,3,0.12,1,0,0,0,0,0,8,0.33,2,0.72,2,0.08,1,0,,,0,0
141,34,Female,0,10,0.42,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,24,1,1,0,1,0.04,1,0,0,0,0,0,0,0,0,0,2,0.08,1,0,,,0,0
142,19,Male,0,3,0.12,1,0,2,0.08,1,0,3,0.12,1,0,4,0.17,1,0,10,0.42,1,0,7,0.29,1,0,4,0.17,1,0,4,0.17,1,0,2,0.08,1,0,,,0,0
145,39,Female,0.43,3,0.12,2,0.39,0,0,0,0,0,0,0,0,5,0.21,3,0.53,24,1,2,0.11,24,1,2,0.11,0,0,0,0,3,0.12,1,0,1,0.04,2,0.92,0,0,0,0
146,20,Female,0,4,0.17,1,0,1,0.04,1,0,3,0.12,1,0,6,0.25,1,0,15,0.62,1,0,12,0.5,1,0,5,0.21,1,0,5,0.21,1,0,2,0.08,1,0,,,0,0
147,38,Female,0,2,0.08,1,0,0,0,0,0,4,0.17,1,0,8,0.33,1,0,23,0.96,1,0,8,0.33,1,0,1,0.04,1,0,4,0.17,1,0,0,0,0,0,,,0,0
148,26,Female,0,4,0.17,1,0,1,0.04,1,0,4,0.17,1,0,4,0.17,1,0,5,0.21,1,0,1,0.04,1,0,1,0.04,1,0,8,0.33,1,0,1,0.04,1,0,0,0,0,0
149,27,Male,0,4,0.17,1,0,1,0.04,1,0,8,0.33,1,0,5,0.21,1,0,4,0.17,1,0,4,0.17,1,0,3,0.12,1,0,10,0.42,1,0,1,0.04,1,0,,,0,0
150,34,Female,0,1,0.04,1,0,3,0.12,1,0,2,0.08,1,0,2,0.08,1,0,21,0.88,1,0,16,0.67,1,0,0,0,0,0,8,0.33,1,0,3,0.12,1,0,0,0,0,0
151,26,Male,0,3,0.12,1,0,1,0.04,1,0,2,0.08,1,0,2,0.08,1,0,2,0.08,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,,,0,0
152,37,Female,0,1,0.04,1,0,2,0.08,1,0,0,0,0,0,4,0.17,1,0,20,0.83,1,0,2,0.08,1,0,3,0.12,1,0,4,0.17,1,0,2,0.08,1,0,0,0,0,0
153,36,Female,0,4,0.17,1,0,2,0.08,1,0,0,0,0,0,3,0.12,1,0,22,0.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0,1,0.04,1,0
155,39,Female,0.11,3,0.12,2,0.92,1,0.04,1,0,1,0.04,1,0,3,0.12,1,0,3,0.12,1,0,1,0.04,1,0,1,0.04,0,0,3,0.12,1,0,1,0.04,1,0,1,0.04,1,0
156,32,Female,0,2,0.08,1,0,1,0.04,1,0,1,0.04,1,0,2,0.08,1,0,12,0.5,1,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,,,0,0
157,23,Male,0,1,0.04,1,0,3,0.12,1,0,6,0.25,1,0,1,0.04,1,0,4,0.17,1,0,4,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
158,33,Male,0,3,0.12,1,0,0,0,0,0,3,0.12,1,0,2,0.08,1,0,3,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0,0,0,0,0
159,32,Female,0.2,3,0.12,2,0.52,1,0.04,1,0,2,0.08,1,0,4,0.17,3,0.82,3,0.12,1,0,2,0.08,1,0,2,0.08,1,0,1,0.04,1,0,1,0.04,1,0,,,0,0
160,29,Female,0.17,3,0.12,1,0,4,0.17,2,1,5,0.21,1,0,2,0.08,1,0,24,1,1,0,,,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0,,,0,0
161,23,Female,0,2.5,0.1,1,0,2,0.08,1,0,1,0.04,1,0,1,0.04,1,0,14,0.58,1,0,1,0.04,1,0,1,0.04,1,0,8,0.33,1,0,2,0.08,1,0,0,0,0,0
162,38,Female,0.45,4,0.17,4,1.91,1,0.04,1,0,0,0,0,0,1,0.04,1,0,6,0.25,1,0,1,0.04,1,0,0,0,0,0,4,0.17,2,0.54,1,0.04,2,1,,,0,0
163,33,Male,0,2,0.08,1,0,1,0.04,1,0,4,0.17,1,0,1,0.04,1,0,8,0.33,1,0,0,0,0,0,1,0.04,1,0,9,0.38,1,0,1,0.04,1,0,0,0,0,0
167,28,Female,0.21,2,0.08,2,0.47,1,0.04,2,0.47,2,0.08,1,0,3,0.12,1,0,8,0.33,1,0,6,0.25,1,0,2,0.08,2,0.29,9,0.38,2,0.31,1,0.04,2,0.29,,,0,0
168,32,Male,0,3,0.12,1,0,2,0.08,1,0,1,0.04,1,0,5,0.21,1,0,8,0.33,1,0,8,0.33,1,0,1,0.04,1,0,5,0.21,1,0,1,0.04,1,0,,,0,0
169,34,Female,0,3,0.12,1,0,0,0,0,0,2,0.08,1,0,3,0.12,1,0,4,0.17,1,0,4,0.17,1,0,2,0.08,1,0,9,0.38,1,0,3,0.12,1,0,0,0,0,0
170,25,Female,0.01,1,0.04,1,0,1,0.04,1,0,0,0,0,0,2,0.08,1,0,8,0.33,1,0,8,0.33,1,0,1,0.04,1,0,4,0.17,1,0,1,0.04,2,0.29,,,0,0
171,19,Female,0.16,3,0.12,2,0.65,6,0.25,1,0,1,0.04,1,0,3,0.12,1,0,8,0.33,1,0,8,0.33,1,0,2,0.08,2,0.92,0,0,0,0,1,0.04,1,0,0,0,0,0
172,33,Male,0.07,2,0.08,2,0.81,1.5,0.06,1,0,1,0.04,1,0,3,0.12,1,0,4,0.17,1,0,2,0.08,1,0,2,0.08,1,0,5,0.21,1,0,1,0.04,1,0,0,0,0,0
174,30,Female,0.24,4,0.17,2,0.81,3,0.12,1,0,2,0.08,1,0,2,0.08,1,0,20,0.83,1,0,20,0.83,1,0,2,0.08,2,0.81,0,0,0,0,1,0.04,2,0.81,0,0,0,0
175,36,Male,0,2,0.08,1,0,1,0.04,1,0,3,0.12,1,0,3,0.12,1,0,14,0.58,1,0,1,0.04,1,0,0,0,0,0,0,0,0,0,2,0.08,1,0,0,0,0,0
176,32,Female,0,3,0.12,1,0,1,0.04,1,0,0,0,0,0,3,0.12,0,0,4,0.17,1,0,1,0.04,1,0,2,0.08,1,0,3,0.12,1,0,2,0.08,1,0,,,0,0
177,35,Female,0,2,0.08,1,0,0.75,0.03,1,0,0,0,0,0,2,0.08,0,0,8,0.33,0,0,1,0.04,1,0,1,0.04,0,0,4,0.17,0,0,0.25,0.01,1,0,,,0,0
178,33,Female,0,1,0.04,1,0,0.5,0.02,1,0,0,0,0,0,2,0.08,1,0,4,0.17,1,0,1,0.04,1,0,0.5,0.02,1,0,3,0.12,1,0,1,0.04,1,0,0.75,0.03,1,0
179,35,Female,0,2,0.08,1,0,3,0.12,1,0,2,0.08,1,0,4,0.17,1,0,8,0.33,1,0,8,0.33,1,0,3,0.12,1,0,6,0.25,1,0,1,0.04,1,0,,,0,0
181,32,Male,0,3,0.12,1,0,1,0.04,1,0,3,0.12,1,0,3,0.12,1,0,6,0.25,1,0,1,0.04,1,0,1,0.04,1,0,8,0.33,1,0,2,0.08,1,0,0,0,0,0
182,26,Male,0.11,15,0.62,4,0.18,1,0.04,1,0,4,0.17,1,0,12,0.5,1,0,20,0.83,1,0,12,0.5,1,0,0,0,0,0,2,0.08,1,0,0,0,0,0,0,0,0,0
183,28,Male,0,2,0.08,1,0,1,0.04,1,0,0.5,0.02,1,0,3,0.12,1,0,5,0.21,1,0,1,0.04,1,0,2,0.08,1,0,8,0.33,1,0,1,0.04,1,0,,,0,0
184,35,Male,0,3,0.12,1,0,1,0.04,1,0,3,0.12,1,0,4,0.17,1,0,8,0.33,1,0,0,0,0,0,1,0.04,1,0,9,0.38,1,0,1,0.04,1,0,,,0,0
186,24,Female,0,3,0.12,1,0,2,0.08,1,0,3,0.12,1,0,3,0.12,1,0,8,0.33,1,0,8,0.33,1,0,3,0.12,1,0,5,0.21,1,0,2,0.08,1,0,,,0,0
187,40,Male,0,2,0.08,1,0,1,0.04,1,0,0,0,0,0,2,0.08,1,0,4,0.17,1,0,1,0.04,1,0,1,0.04,1,0,8,0.33,1,0,1,0.04,1,0,0,0,0,0
188,26,Female,0,0.5,0.02,1,0,0,0,0,0,2,0.08,1,0,6,0.25,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,,,0,0
189,32,Male,0,9,0.38,1,0,2,0.08,1,0,2,0.08,1,0,2,0.08,1,0,19,0.79,1,0,0,0,0,0,1,0.04,1,0,3,0.12,1,0,1,0.04,1,0,0,0,0,0
190,21,Female,0,6,0.25,1,0,3,0.12,1,0,0,0,0,0,7,0.29,1,0,6,0.25,1,0,5,0.21,1,0,6,0.25,1,0,4,0.17,1,0,3,0.12,1,0,,,0,0
191,31,Male,1.44,3,0.12,4,1.42,4,0.17,4,1.7,2,0.08,1,0,2,0.08,1,0,4,0.17,2,0.81,3,0.12,1,0,2,0.08,2,1,8,0.33,4,1.19,4,0.17,4,1.7,2,0.08,2,1
194,37,Male,0,2,0.08,1,0,2,0.08,1,0,2,0.08,1,0,3,0.12,1,0,12,0.5,1,0,2,0.08,1,0,2,0.08,1,0,5,0.21,1,0,1,0.04,1,0,,,1,0
197,32,Male,0,2,0.08,1,0,1,0.04,1,0,2,0.08,1,0,1,0.04,1,0,8,0.33,1,0,4,0.17,1,0,3,0.12,1,0,8,0.33,1,0,1,0.04,1,0,,,0,0
198,41,Male,0.08,2,0.08,1,0,2,0.08,2,1,1,0.04,1,0,2,0.08,1,0,8,0.33,1,0,2,0.08,1,0,1,0.04,1,0,2,0.08,1,0,1,0.04,1,0,,,0,0
199,29,Male,0,1,0.04,0,0,2,0.08,1,0,3,0.12,1,0,3,0.12,1,0,2,0.08,1,0,1,0.04,1,0,2,0.08,1,0,5,0.21,1,0,1,0.04,1,0,5,0.21,1,0
200,38,Male,0,2.5,0.1,1,0,0.5,0.02,1,0,1,0.04,1,0,2,0.08,1,0,4,0.17,1,0,1,0.04,1,0,1,0.04,1,0,3,0.12,1,0,1,0.04,1,0,,,0,0
202,24,Male,0,3,0.12,1,0,2,0.08,1,0,2,0.08,1,0,1,0.04,1,0,6,0.25,1,0,6,0.25,1,0,2,0.08,1,0,5,0.21,1,0,2,0.08,1,0,,,0,0
203,29,Female,0,3,0.12,1,0,1,0.04,1,0,1,0.04,1,0,3,0.12,1,0,5,0.21,1,0,4,0.17,1,0,3,0.12,1,0,4,0.17,1,0,3,0.12,1,0,,,0,0
