ID	ax_condition	day	prepost	language	pair	second_dim_step	first_dim_step	norm_response	pred
102	lowLD	1	pre-training	English	indent-intent	3	1	0	0.234992269365565
102	lowLD	1	pre-training	English	indent-intent	3	1	1	0.234992269365565
102	lowLD	1	pre-training	English	indent-intent	3	1	1	0.234992269365565
102	lowLD	1	pre-training	English	indent-intent	3	1	0	0.234992269365565
102	lowLD	1	pre-training	English	indent-intent	3	2	0	0.266274448266299
102	lowLD	1	pre-training	English	indent-intent	3	2	0	0.266274448266299
102	lowLD	1	pre-training	English	indent-intent	3	2	0	0.266274448266299
102	lowLD	1	pre-training	English	indent-intent	3	2	0	0.266274448266299
102	lowLD	1	pre-training	English	indent-intent	3	3	100	49.9998393492451
102	lowLD	1	pre-training	English	indent-intent	3	3	1	49.9998393492451
102	lowLD	1	pre-training	English	indent-intent	3	3	99	49.9998393492451
102	lowLD	1	pre-training	English	indent-intent	3	3	0	49.9998393492451
102	lowLD	1	pre-training	English	indent-intent	3	4	100	99.3516184951984
102	lowLD	1	pre-training	English	indent-intent	3	4	99	99.3516184951984
102	lowLD	1	pre-training	English	indent-intent	3	4	100	99.3516184951984
102	lowLD	1	pre-training	English	indent-intent	3	4	99	99.3516184951984
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.3824220859411
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.3824220859411
102	lowLD	1	pre-training	English	indent-intent	3	5	100	99.3824220859411
102	lowLD	1	pre-training	English	indent-intent	3	5	99	99.3824220859411
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.3824317392482
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.3824317392482
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.3824317392482
102	lowLD	1	pre-training	English	indent-intent	3	6	99	99.3824317392482
102	lowLD	1	pre-training	English	indent-intent	3	7	100	99.3824317422724
102	lowLD	1	pre-training	English	indent-intent	3	7	100	99.3824317422724
102	lowLD	1	pre-training	English	indent-intent	3	7	99	99.3824317422724
