Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification,randomiser-axxj,allocator-flaz,allocator-j6cm,randomiser-9tbp,randomiser-gbw5,randomiser-m29f,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wvx4,checkpoint-9ftt
﻿1,1742080050768,"15/03/2025, 23:07:30",1742065650768,-4,"15/03/2025, 15:07:30",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,,,,,info,,BEGIN,,,,,,,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
380,1742080673084,"15/03/2025, 23:17:53",1742066273084,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 2,koufhk,2,Please enter your age:,response,value,33,,,Age,1,object-187,,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
381,1742080673084,"15/03/2025, 23:17:53",1742066273084,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 2,koufhk,2,Please specify your gender identity:,response,value,Female,,Female|Male|Non-binary|Prefer not to say,Gender,2,object-188,,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
382,1742080673085,"15/03/2025, 23:17:53",1742066273085,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 2,koufhk,2,Please specify your gender identity:,response,quantised,1,,Female|Male|Non-binary|Prefer not to say,Gender,2,object-188,,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
383,1742080673085,"15/03/2025, 23:17:53",1742066273085,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 3,n2j8m2,5,,response,Language 1-value,English,,,Language 1,3,object-10,English,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
384,1742080673085,"15/03/2025, 23:17:53",1742066273085,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 3,n2j8m2,5,Listening,response,value,0,,,Language 1 Listening,5,object-191,English,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
385,1742080673085,"15/03/2025, 23:17:53",1742066273085,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 3,n2j8m2,5,Speaking,response,value,1,,,Language 1 Speaking,6,object-193,English,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
386,1742080673085,"15/03/2025, 23:17:53",1742066273085,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 3,n2j8m2,5,Reading,response,value,5,,,Language 1 Reading,7,object-194,English,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
387,1742080673085,"15/03/2025, 23:17:53",1742066273085,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 3,n2j8m2,5,Writing,response,value,5,,,Language 1 Writing,8,object-195,English,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
388,1742080673085,"15/03/2025, 23:17:53",1742066273085,-4,"15/03/2025, 15:17:53",215590,3,questionnaire-9kaq,,44438844,12936113,,complete,,67d5f1c94e8eabcb0e076be9,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1707x1067,1707x945,day 1 complete,Linguistic Diversity Questionnaire (LD-Q),5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,Page 3,n2j8m2,5,Years of use**,response,value,33,,,Language 1 Years of use,9,object-196,English,,,,,,,,,,,,,,,,spreadsheet1,highLD,,,F-different J-same,spreadsheet1,,,,,day 1 complete
