Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress,allocator-cukp,randomiser-fgpw
﻿1,1742007224040,"15/03/2025, 02:53:44",1741989224040,-5,"14/03/2025, 16:53:44",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spreadsheet3,
2,1742007239316,"15/03/2025, 02:53:59",1741989239316,-5,"14/03/2025, 16:53:59",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,welcome and task description,dabwcr,1,continue,,13574.700000023842,13570.1,13574.700000023842,13574.700000023842,13570.1,13574.700000023842,1,0,0,,Click To Continue,Continue Button,3,object-283,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
3,1742007243659,"15/03/2025, 02:54:03",1741989243659,-5,"14/03/2025, 16:54:03",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,fixation,71ygsn,2,continue,,4348.800000011921,4345.5999999999985,4348.800000011921,4348.800000011921,4345.5999999999985,4348.800000011921,1,0,0,,Click To Continue,Continue Button,2,object-287,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
4,1742007243687,"15/03/2025, 02:54:03",1741989243687,-5,"14/03/2025, 16:54:03",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,trial,y8sx24,3,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,0,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
5,1742007259755,"15/03/2025, 02:54:19",1741989259755,-5,"14/03/2025, 16:54:19",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,trial,y8sx24,3,continue,,16098.200000011922,16084.300000000003,16098.200000011922,16098.200000011922,16084.300000000003,16098.200000011922,1,0,0,,Click To Continue,Continue Button,3,object-293,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
6,1742007259765,"15/03/2025, 02:54:19",1741989259765,-5,"14/03/2025, 16:54:19",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,trial,y8sx24,3,response,87,3496.7000000000044,16084.300000000003,16100.900000000001,3496.7000000000044,16084.300000000003,16100.900000000001,1,12604.199999999997,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
7,1742007264533,"15/03/2025, 02:54:24",1741989264533,-5,"14/03/2025, 16:54:24",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,no feedback,ebnzxp,4,continue,,4793.4000000119195,4778.799999999996,4793.4000000119195,4793.4000000119195,4778.799999999996,4793.4000000119195,1,0,0,,Click To Continue,Continue Button,2,object-297,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
8,1742007266820,"15/03/2025, 02:54:26",1741989266820,-5,"14/03/2025, 16:54:26",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,adjust,vl7wbf,5,continue,,2300.7000000059634,2297.600000000006,2300.7000000059634,2300.7000000059634,2297.600000000006,2300.7000000059634,1,0,0,,Click To Continue,Continue Button,2,object-343,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
9,1742007269911,"15/03/2025, 02:54:29",1741989269911,-5,"14/03/2025, 16:54:29",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,3094.4000000178785,3080.2999999999956,3094.4000000178785,3094.4000000178785,3080.2999999999956,3094.4000000178785,1,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
10,1742007270672,"15/03/2025, 02:54:30",1741989270672,-5,"14/03/2025, 16:54:30",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,3856.000000011918,3846.0999999999985,3856.000000011918,3856.000000011918,3846.0999999999985,3856.000000011918,1,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
11,1742007270993,"15/03/2025, 02:54:30",1741989270993,-5,"14/03/2025, 16:54:30",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,4176.199999999997,4162.5,4176.199999999997,4176.199999999997,4162.5,4176.199999999997,1,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
12,1742007271778,"15/03/2025, 02:54:31",1741989271778,-5,"14/03/2025, 16:54:31",219192,2,task-8qfn,,44424384,12946252,GroupHighLD1,complete,,67d4e864ea4a7c08217b5349,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x607,,VAS Task,5,spreadsheet3_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,4961.5999999999985,4945.0999999999985,4961.5999999999985,4961.5999999999985,4945.0999999999985,4961.5999999999985,1,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet3,
