"ID","exp_group","prepost","response","reaction_time","correct","sentence","key_word","sound","correct_answer","competing_distractor","non_competing_distractor_1","non_competing_distractor_2","origin_task","days_between","log_rt"
"2","Control","Pre","itte",12865.70000001788,1,"もう、___よ！","itte_s","F_itte_s.mp3","itte","ite","ittee","iitte","training",39,9.46232013443016
"2","Control","Pre","haaku",15087.300000017887,1,"___でしょうかな。","haaku_s","F_haaku_s.mp3","haaku","haku","hakku","hakuu","training",39,9.621608609312483
"2","Control","Pre","gaki",14923.500000005966,1,"___はどうなったの？","gaki_s","F_gaki_s.mp3","gaki","gakki","gakui","kaki","training",39,9.610692430697924
"2","Control","Pre","obasan",13733.300000000005,1,"あのひと、___ですか？","obasan_s","F_obasan_s.mp3","obasan","obaasan","oobasan","obaisan","training",39,9.527578819482097
"2","Control","Pre","shushin",24153.90000001788,1,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing",39,10.092201136726471
"2","Control","Pre","yusoo",22174.900000011927,1,"あれはきっと___できないよ。","yusoo_s","F_yusoo_s.mp3","yusoo","yuusoo","yussoo","usoo","training",39,10.006716297585287
"2","Control","Pre","ishoku",15476.000000023836,0,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training",39,9.647045715821944
"2","Control","Pre","kase",18186.400000017893,0,"___についてもっとしりたいです。","kasee_s","F_kasee_s.mp3","kasee","kassee","kase","kosee","training",39,9.80842934098612
"2","Control","Pre","hosoku",15618.300000023852,0,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing",39,9.65619858264512
"2","Control","Pre","jutaku",41493.70000001788,0,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training",39,10.633296887466422
"2","Control","Pre","ojiisan",15959.700000011915,1,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training",39,9.677822073835399
"2","Control","Pre","hosoo",38833.30000000005,0,"このじょうきょうに___がいるとおもう。","hoosoo_s","F_hoosoo_s.mp3","hoosoo","hosoo","hossoo","hooso","testing",39,10.567033404950317
"2","Control","Pre","mashi",12482.799999999988,0,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing",39,9.432106975733065
"2","Control","Pre","shiteiru",12406.099999999977,1,"かのじょはもう___。","shiteiru_s","F_shiteiru_s.mp3","shiteiru","shitteiru","shiiteiru","jiteiru","testing",39,9.425943566116405
"2","Control","Pre","tannin",17206.20000001788,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing",39,9.753025062966922
