local_date,ID,exp_group,prepost,pretraining_condition,posttraining_condition,response,reaction_time,sound,pair,language,left_word,right_word,reverse_scale,norm_left_word,norm_right_word,norm_response,first_dim_step,second_dim_step,days_between,log_rt,median_rt,mad,upper_mad,lower_mad
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,100,2122.40000002383,D_T_VOT_1_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,0,1,3,39,7.66030280283476,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,100,1616.10000000001,D_T_VOT_1_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,0,1,3,39,7.3877711183546,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,100,1826.00000001787,D_T_VOT_1_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,0,1,3,39,7.5098830611647,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,100,2596.00000001193,D_T_VOT_1_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,0,1,3,39,7.86172707782858,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,80,3667,D_T_VOT_2_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,20,2,3,39,8.20712916807133,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,95,2482.00000002387,D_T_VOT_2_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,5,2,3,39,7.81681996577417,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,95,6292.5,D_T_VOT_2_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,5,2,3,39,8.74711372700947,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,80,2944.40000000596,D_T_VOT_2_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,20,2,3,39,7.98766034018658,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,70,5313.50000001787,D_T_VOT_3_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,30,3,3,39,8.57800603081611,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,85,4316.70000000007,D_T_VOT_3_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,15,3,3,39,8.3702465004375,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
2025-03-25,2,Control,Pre,spreadsheet2,spreadsheet4,95,5600.79999999999,D_T_VOT_3_F0_3.mp3,indent-intent,English,intent,indent,yes,indent,intent,5,3,3,39,8.63066472366299,7.73743804799364,0.370828495373305,8.84992353411355,6.62495256187372
