"ID","session","exp_group","days_between","language","corr_reject","false_alarm","hit","miss","dprime","criterion"
"4","1","High LD",26,"Japanese",66,1,63,4,3.5178590545256103,0.2540417886228118
"4","1","High LD",26,"MSA",54,11,43,18,1.4665772966231352,0.20424359052374674
"4","2","High LD",26,"Japanese",68,3,66,2,3.454665435336258,-0.06886065663250185
"4","2","High LD",26,"MSA",58,12,57,14,1.767169753289603,0.046914327403428935
"4","3","High LD",26,"Japanese",62,2,48,5,3.0398951598285455,0.24887745860443322
"4","3","High LD",26,"MSA",54,8,52,13,1.9289226589459278,0.13896683854372827
"4","4","High LD",26,"Japanese",68,2,64,1,3.8096068432900223,-0.09562014746096892
"4","4","High LD",26,"MSA",55,13,54,9,1.9004125835396324,-0.09295197154863777
"4","5","High LD",26,"Japanese",61,4,64,1,3.4898936114339207,-0.2554767633890199
"4","5","High LD",26,"MSA",53,17,52,7,1.8359614847889496,-0.23236863798153312
"4","6","High LD",26,"Japanese",56,8,63,3,2.746285479841468,-0.250380441729793
"4","6","High LD",26,"MSA",56,14,57,11,1.794044694241422,-0.07039921898099033
"6","1","Low LD",26,"Japanese",128,13,121,21,2.345097499748173,0.13761382012071266
"6","2","Low LD",26,"Japanese",132,7,127,12,2.956335796529315,0.13300126408801893
"6","3","Low LD",26,"Japanese",116,11,126,10,2.7697428110379105,-0.04315356443870144
"6","4","Low LD",26,"Japanese",118,12,123,6,2.952952738853886,-0.1683772575245286
"6","5","Low LD",26,"Japanese",124,5,126,5,3.4561767837637385,-0.003576004240376185
"6","6","Low LD",26,"Japanese",113,6,113,7,3.1440637224095678,0.03369774485422339
"8","1","Low LD",18,"Japanese",141,2,138,0,4.799299622305675,-0.28806669784361394
"8","2","Low LD",18,"Japanese",129,4,125,5,3.5586784608836,0.05123458970362238
"8","3","Low LD",18,"Japanese",130,8,127,2,3.615084197689316,-0.26235973205039265
"8","4","Low LD",18,"Japanese",136,0,126,1,4.949099821797057,0.2083231016888767
"8","5","Low LD",18,"Japanese",133,1,124,3,4.207898725604684,0.18259858850863886
"8","6","Low LD",18,"Japanese",115,3,103,5,3.529932070784488,0.12454392494118605
"10","1","High LD",38,"Japanese",48,12,52,7,1.974531534372384,-0.16308361318981585
"10","1","High LD",38,"MSA",44,14,32,27,0.792518105507694,0.29162559713977176
"10","2","High LD",38,"Japanese",38,11,50,8,1.8010673540909807,-0.16168682786027672
"10","2","High LD",38,"MSA",34,15,40,16,1.0507732900501068,-0.02953629767760016
"10","3","High LD",38,"Japanese",41,8,44,7,2.0156678828507704,-0.053668688279191024
"10","3","High LD",38,"MSA",26,9,32,10,1.3243022394673496,-0.0307492254939139
"10","4","High LD",38,"Japanese",36,7,34,6,1.9528610931069461,-0.024059999065842108
"10","4","High LD",38,"MSA",27,9,30,14,1.1148703051896938,0.09594145837668838
"10","5","High LD",38,"Japanese",33,7,38,6,1.964829587130994,-0.0781474499659287
"10","5","High LD",38,"MSA",15,16,24,10,0.485224427204943,-0.28178829910556913
"10","6","High LD",38,"Japanese",48,13,60,12,1.7291465413068137,-0.08473125311650337
"10","6","High LD",38,"MSA",34,15,46,15,1.170340097543535,-0.08931970142431425
"11","1","High LD",25,"Japanese",63,3,59,4,3.096990759597629,0.0750278018517132
"11","1","High LD",25,"MSA",39,15,47,18,1.1593902673728174,-0.0022464036935074816
"11","2","High LD",25,"Japanese",58,6,56,4,2.7298236070523516,-0.08336023798157499
"11","2","High LD",25,"MSA",43,14,48,11,1.5462607223860405,-0.09864061099693855
"11","3","High LD",25,"Japanese",47,6,42,7,2.2095707144204475,0.06835196771643437
"11","3","High LD",25,"MSA",39,11,48,13,1.5336235878100482,-0.013030223631879445
"11","4","High LD",25,"Japanese",62,2,55,5,3.108571247909804,0.21453941456380365
"11","4","High LD",25,"MSA",56,10,46,17,1.610494502640968,0.2027977981560603
