ID,exp_group,age,gender,language1,language2,language3,language4,proficiency1,proficiency2,proficiency3,proficiency4,immersion1,immersion2,immersion3,immersion4,dominance1,dominance2,dominance3,dominance4,ratio1,ratio2,ratio3,ratio4,PD1,PD2,PD3,PD4,MLD_A
2,Control,32,Female,Chinese,English,,,1,0.86,0,0,1,0.78,0,0,0.54,0.51,0,0,1,0.95,0,0,0.51,0.49,0,0,1
3,Control,20,Female,English,Spanish,Japanese,,1,0.61,0.57,0,0.94,0.45,0.17,0,0.65,0.3,0.32,0,1,0.47,0.5,0,0.51,0.24,0.25,0,1.49
4,High LD,20,Male,English,Japanese,,,1,0.64,0,0,1,0.32,0,0,0.76,0.41,0,0,1,0.54,0,0,0.65,0.35,0,0,0.93
6,Low LD,20,Female,Spanish,English,Japanese,,0.57,1,0.32,0,0.81,0.82,0.06,0,0.29,0.62,0.21,0,1,2.12,0.71,0,0.26,0.55,0.19,0,1.43
7,Control,21,Male,English,Japanese,Spanish,,1,0.71,0.71,0,1,0.45,0.45,0,0.57,0.36,0.36,0,1,0.64,0.63,0,0.44,0.28,0.28,0,1.55
8,Low LD,21,Female,English,Chinese,Japanese,,1,0.46,0.43,0,0.76,0.74,0.29,0,0.66,0.26,0.24,0,1,0.4,0.36,0,0.57,0.23,0.21,0,1.42
10,High LD,22,Male,English,Mandarin Chinese,Spanish,Japanese,1,0.39,0.57,0.43,0.94,0.73,0.32,0.05,0.65,0.2,0.29,0.22,1,0.3,0.44,0.34,0.48,0.15,0.21,0.16,1.81
11,High LD,19,Female,English,Thai,Japanese,,0.93,0.39,0.46,0,0.94,0.75,0.21,0,0.62,0.2,0.29,0,1,0.32,0.47,0,0.56,0.18,0.27,0,1.42
13,High LD,18,Female,English,Spanish,Japanese,,1,0.39,0.36,0,0.95,0.25,0.09,0,0.61,0.2,0.2,0,1,0.32,0.33,0,0.61,0.2,0.2,0,1.36
14,Control,19,Male,English,German,Japanese,,1,0.46,0.71,0,0.95,0.34,0.12,0,0.73,0.25,0.46,0,1,0.34,0.62,0,0.51,0.17,0.32,0,1.46
15,Low LD,20,Female,English,Mandarin Chinese,Japanese,,0.75,0.5,0.54,0,0.84,0.55,0.22,0,0.52,0.26,0.32,0,1,0.5,0.63,0,0.47,0.24,0.29,0,1.52
17,High LD,22,Male,cantonese,english,japanese,mandarin,0.5,0.96,0.61,0.54,0.76,0.77,0.09,0.05,0.25,0.56,0.37,0.31,1,2.24,1.5,1.23,0.17,0.38,0.25,0.21,1.93
18,Low LD,25,Trans Male,English,American Sign Language,Japanese,,1,0.21,0.39,0,0.95,0.09,0.28,0,0.58,0.11,0.22,0,1,0.19,0.38,0,0.64,0.12,0.24,0,1.27
19,Low LD,21,Female,English,Japanese,,,1,0.32,0,0,0.96,0.42,0,0,0.66,0.19,0,0,1,0.29,0,0,0.77,0.23,0,0,0.77
20,Control,19,Male,English,Chinese,,,1,0.18,0,0,0.91,0.35,0,0,0.65,0.09,0,0,1,0.14,0,0,0.88,0.12,0,0,0.53
21,Control,25,Female,Ukrainian,Russian,English,Japanese,1,1,0.96,0.86,0.96,0.8,0.76,0.3,0.54,0.5,0.57,0.48,1,0.93,1.06,0.88,0.26,0.24,0.27,0.23,2
23,High LD,18,Female,English,French,Japanese,,0.82,0.46,0.32,0,0.83,0.15,0.04,0,0.61,0.26,0.21,0,1,0.42,0.34,0,0.57,0.24,0.19,0,1.41
24,High LD,25,Male,Chinese,English,Japanese,,0.96,0.82,0.39,0,1,0.76,0.08,0,0.54,0.49,0.23,0,1,0.9,0.42,0,0.43,0.39,0.18,0,1.5
