ID	prepost	pair	first_dim_step	norm_response	pred
2	posttraining	indent-intent	1	3	2.99997605617992
2	posttraining	indent-intent	1	0	2.99997605617992
2	posttraining	indent-intent	1	12	2.99997605617992
2	posttraining	indent-intent	1	3	2.99997605617992
2	posttraining	indent-intent	2	0	2.99997605618022
2	posttraining	indent-intent	2	0	2.99997605618022
2	posttraining	indent-intent	2	0	2.99997605618022
2	posttraining	indent-intent	2	14	2.99997605618022
2	posttraining	indent-intent	3	0	2.99998245405629
2	posttraining	indent-intent	3	0	2.99998245405629
2	posttraining	indent-intent	3	0	2.99998245405629
2	posttraining	indent-intent	3	4	2.99998245405629
2	posttraining	indent-intent	4	89	59.2499055986114
2	posttraining	indent-intent	4	19	59.2499055986114
2	posttraining	indent-intent	4	32	59.2499055986114
2	posttraining	indent-intent	4	97	59.2499055986114
2	posttraining	indent-intent	5	100	98.2500236524702
2	posttraining	indent-intent	5	100	98.2500236524702
2	posttraining	indent-intent	5	100	98.2500236524702
2	posttraining	indent-intent	5	100	98.2500236524702
2	posttraining	indent-intent	6	100	98.2500267280273
2	posttraining	indent-intent	6	100	98.2500267280273
2	posttraining	indent-intent	6	100	98.2500267280273
2	posttraining	indent-intent	6	97	98.2500267280273
2	posttraining	indent-intent	7	94	98.2500267280274
2	posttraining	indent-intent	7	100	98.2500267280274
2	posttraining	indent-intent	7	89	98.2500267280274
2	posttraining	indent-intent	7	99	98.2500267280274
2	posttraining	kata-katta	1	0	27.7727270824463
2	posttraining	kata-katta	1	2	27.7727270824463
2	posttraining	kata-katta	1	1	27.7727270824463
2	posttraining	kata-katta	1	99	27.7727270824463
2	posttraining	kata-katta	2	1	27.7727270824463
2	posttraining	kata-katta	2	1	27.7727270824463
2	posttraining	kata-katta	2	1	27.7727270824463
2	posttraining	kata-katta	2	98	27.7727270824463
2	posttraining	kata-katta	3	1	27.7727270824463
2	posttraining	kata-katta	3	99	27.7727270824463
2	posttraining	kata-katta	3	0	27.7727270824463
2	posttraining	kata-katta	4	1	27.7727270824463
2	posttraining	kata-katta	4	1	27.7727270824463
2	posttraining	kata-katta	4	99	27.7727270824463
2	posttraining	kata-katta	5	1	27.7727270824463
2	posttraining	kata-katta	5	2	27.7727270824463
2	posttraining	kata-katta	5	1	27.7727270824463
2	posttraining	kata-katta	5	99	27.7727270824463
2	posttraining	kata-katta	6	1	27.7727282320083
2	posttraining	kata-katta	6	4	27.7727282320083
2	posttraining	kata-katta	6	1	27.7727282320083
2	posttraining	kata-katta	6	98	27.7727282320083
2	posttraining	kata-katta	7	2	74.500005997035
2	posttraining	kata-katta	7	99	74.500005997035
2	posttraining	kata-katta	7	98	74.500005997035
2	posttraining	kata-katta	7	99	74.500005997035
2	posttraining	reason-risen	1	52	15.1250064885165
2	posttraining	reason-risen	1	0	15.1250064885165
2	posttraining	reason-risen	1	8	15.1250064885165
2	posttraining	reason-risen	1	0	15.1250064885165
2	posttraining	reason-risen	2	35	15.1250065736348
2	posttraining	reason-risen	2	25	15.1250065736348
2	posttraining	reason-risen	2	0	15.1250065736348
2	posttraining	reason-risen	2	1	15.1250065736348
2	posttraining	reason-risen	3	7	29.4999919312733
2	posttraining	reason-risen	3	25	29.4999919312733
2	posttraining	reason-risen	3	16	29.4999919312733
2	posttraining	reason-risen	3	70	29.4999919312733
2	posttraining	reason-risen	4	71	77.4374991947174
2	posttraining	reason-risen	4	95	77.4374991947174
2	posttraining	reason-risen	4	85	77.4374991947174
2	posttraining	reason-risen	4	100	77.4374991947174
2	posttraining	reason-risen	5	7	77.4375001413015
2	posttraining	reason-risen	5	13	77.4375001413015
2	posttraining	reason-risen	5	100	77.4375001413015
2	posttraining	reason-risen	5	100	77.4375001413015
2	posttraining	reason-risen	6	45	77.4375001413015
2	posttraining	reason-risen	6	74	77.4375001413015
2	posttraining	reason-risen	6	100	77.4375001413015
2	posttraining	reason-risen	6	80	77.4375001413015
2	posttraining	reason-risen	7	100	77.4375001413015
2	posttraining	reason-risen	7	100	77.4375001413015
2	posttraining	reason-risen	7	69	77.4375001413015
2	posttraining	reason-risen	7	100	77.4375001413015
2	posttraining	toru-tooru	1	0	24.916639184521
2	posttraining	toru-tooru	1	0	24.916639184521
2	posttraining	toru-tooru	1	0	24.916639184521
2	posttraining	toru-tooru	1	0	24.916639184521
2	posttraining	toru-tooru	2	100	24.916639184521
2	posttraining	toru-tooru	2	100	24.916639184521
2	posttraining	toru-tooru	2	0	24.916639184521
2	posttraining	toru-tooru	2	0	24.916639184521
2	posttraining	toru-tooru	3	0	24.9167659174014
2	posttraining	toru-tooru	3	0	24.9167659174014
2	posttraining	toru-tooru	3	99	24.9167659174014
2	posttraining	toru-tooru	3	0	24.9167659174014
2	posttraining	toru-tooru	4	100	99.9372084262787
2	posttraining	toru-tooru	4	100	99.9372084262787
2	posttraining	toru-tooru	4	100	99.9372084262787
2	posttraining	toru-tooru	4	100	99.9372084262787
2	posttraining	toru-tooru	5	100	99.9375457960747
2	posttraining	toru-tooru	5	100	99.9375457960747
2	posttraining	toru-tooru	5	100	99.9375457960747
2	posttraining	toru-tooru	5	100	99.9375457960747
2	posttraining	toru-tooru	6	100	99.9375457960747
2	posttraining	toru-tooru	6	99	99.9375457960747
2	posttraining	toru-tooru	6	100	99.9375457960747
2	posttraining	toru-tooru	6	100	99.9375457960747
2	posttraining	toru-tooru	7	100	99.9375457960747
2	posttraining	toru-tooru	7	100	99.9375457960747
2	posttraining	toru-tooru	7	100	99.9375457960747
2	posttraining	toru-tooru	7	100	99.9375457960747
2	pretraining	indent-intent	1	0	5.44164733975288
2	pretraining	indent-intent	1	0	5.44164733975288
2	pretraining	indent-intent	1	0	5.44164733975288
2	pretraining	indent-intent	1	0	5.44164733975288
2	pretraining	indent-intent	2	20	6.36480028535712
2	pretraining	indent-intent	2	5	6.36480028535712
2	pretraining	indent-intent	2	5	6.36480028535712
2	pretraining	indent-intent	2	20	6.36480028535712
2	pretraining	indent-intent	3	30	20.8405966339003
2	pretraining	indent-intent	3	15	20.8405966339003
2	pretraining	indent-intent	3	5	20.8405966339003
2	pretraining	indent-intent	3	30	20.8405966339003
2	pretraining	indent-intent	4	100	79.6808632074539
2	pretraining	indent-intent	4	100	79.6808632074539
2	pretraining	indent-intent	4	80	79.6808632074539
2	pretraining	indent-intent	4	40	79.6808632074539
2	pretraining	indent-intent	5	100	98.6384095269699
2	pretraining	indent-intent	5	100	98.6384095269699
2	pretraining	indent-intent	5	100	98.6384095269699
2	pretraining	indent-intent	5	95	98.6384095269699
2	pretraining	indent-intent	6	100	99.92629697244
2	pretraining	indent-intent	6	99	99.92629697244
2	pretraining	indent-intent	6	100	99.92629697244
2	pretraining	indent-intent	6	100	99.92629697244
2	pretraining	indent-intent	7	100	99.9960541891322
2	pretraining	indent-intent	7	100	99.9960541891322
