"local_date","session","ID","exp_group","response","reaction_time","log_rt","correct","language","word_pair","signal","type","sound_1","sound_2","speaker_signal","segment_type","task","days_between","dprime_response"
"2025-04-28","1","4","High LD","same",2425.7999999999774,7.793916645874771,1,"Japanese","ite-itte","same","AA","M_ite.mp3","M_ite.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",656.3000000000247,6.486618001479715,1,"Japanese","ojisan-ojiisan","same","AA","F_ojisan.mp3","M_ojisan.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",417.80000000004657,6.035002849122577,1,"Japanese","yusoo-yuusoo","different","AB","F_yusoo.mp3","F_yuusoo.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","different",752.1000000000458,6.6228692938324185,1,"Japanese","iso-isso","different","BA","M_isso.mp3","M_iso.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",596.9000000000233,6.391749595174643,1,"Japanese","shiru-shiiru","different","AB","F_shiru.mp3","M_shiiru.mp3","different","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","different",499.90000000000873,6.214408078419543,1,"Japanese","heta-hetta","different","BA","M_hetta.mp3","M_heta.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",283.3000000000102,5.646506406836507,1,"Japanese","ojisan-ojiisan","same","AA","M_ojisan.mp3","M_ojisan.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",442.8999999999796,6.093344010929107,1,"Japanese","ishoku-isshoku","same","AA","F_ishoku.mp3","F_ishoku.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",1044.8000000000466,6.951580758522211,1,"Japanese","gaki-gakki","different","AB","F_gaki.mp3","M_gakki.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",488.1000000000204,6.190520302893144,1,"Japanese","yusoo-yuusoo","same","BB","F_yuusoo.mp3","M_yuusoo.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",377.700000000048,5.934100229718538,1,"Japanese","haku-haaku","different","BA","F_haaku.mp3","F_haku.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","different",703.2000000000407,6.555641346371025,1,"Japanese","obasan-obaasan","different","AB","M_obasan.mp3","F_obaasan.mp3","different","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",406.19999999998254,6.006845649146241,1,"Japanese","ojisan-ojiisan","same","BB","M_ojiisan.mp3","F_ojiisan.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",443.30000000001746,6.094246741751047,1,"Japanese","ishoku-isshoku","same","AA","F_ishoku.mp3","F_ishoku.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",471.0999999999767,6.155070385705946,1,"Japanese","heta-hetta","same","BB","F_hetta.mp3","F_hetta.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",523.4000000000233,6.26034599009609,1,"Japanese","saka-sakka","same","AA","F_saka.mp3","F_saka.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",1455.8999999999503,7.283379545079246,1,"Japanese","yusoo-yuusoo","same","AA","M_yusoo.mp3","F_yusoo.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",1310.1000000000204,7.177858749159641,1,"Japanese","haku-haaku","different","AB","M_haku.mp3","M_haaku.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",395.3999999999505,5.979897910736391,1,"Japanese","toshin-tosshin","same","AA","M_toshin.mp3","M_toshin.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",331.3999999999505,5.803326104992313,1,"Japanese","shiru-shiiru","same","BB","F_shiiru.mp3","F_shiiru.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",596.1999999999971,6.390576181243966,1,"Japanese","haku-haaku","same","BB","M_haaku.mp3","F_haaku.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",322.2999999999738,5.775482788821311,1,"Japanese","gaki-gakki","same","BB","F_gakki.mp3","F_gakki.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",261.19999999995343,5.565286397402097,1,"Japanese","iso-isso","same","AA","F_iso.mp3","F_iso.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",354.0999999999767,5.869579359117792,1,"Japanese","oto-otto","same","AA","M_oto.mp3","F_oto.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",1011.6999999999534,6.919387363211799,1,"Japanese","obasan-obaasan","different","AB","M_obasan.mp3","M_obaasan.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",327.9999999999709,5.793013608384055,1,"Japanese","oto-otto","same","BB","M_otto.mp3","M_otto.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",967.5999999999768,6.874818778735849,1,"Japanese","oto-otto","different","BA","M_otto.mp3","F_oto.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",258.4000000000524,5.554508771908649,1,"Japanese","ite-itte","same","BB","M_itte.mp3","M_itte.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",1152.7000000000116,7.049862295606977,1,"Japanese","heta-hetta","different","AB","M_heta.mp3","F_hetta.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",475.3999999999651,6.16415655492602,1,"Japanese","oto-otto","different","AB","M_oto.mp3","M_otto.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",1035.7999999999884,6.94292935398978,1,"Japanese","shiru-shiiru","different","BA","F_shiiru.mp3","F_shiru.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",909.3000000000176,6.812675072731887,1,"Japanese","shiru-shiiru","same","AA","M_shiru.mp3","F_shiru.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",620.7000000000116,6.4308478734196255,1,"Japanese","toshin-tosshin","different","BA","M_tosshin.mp3","M_toshin.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",339.29999999998836,5.82688467179015,1,"Japanese","jutaku-juutaku","different","AB","M_jutaku.mp3","M_juutaku.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","different",485.9000000000815,6.186002841412025,1,"Japanese","ite-itte","different","BA","M_itte.mp3","F_ite.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",572.0000000000873,6.3491389913799505,1,"Japanese","haken-hakken","same","AA","M_haken.mp3","F_haken.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",1498.2000000000407,7.31201966651381,1,"Japanese","yusoo-yuusoo","same","BB","F_yuusoo.mp3","F_yuusoo.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",398.7999999999883,5.988460038087654,1,"Japanese","toshin-tosshin","same","BB","M_tosshin.mp3","M_tosshin.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",317.9000000000524,5.761736867916921,1,"Japanese","heta-hetta","different","AB","M_heta.mp3","F_hetta.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",342.5000000000873,5.836271657702535,1,"Japanese","toshin-tosshin","different","AB","M_toshin.mp3","M_tosshin.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",397.19999999995343,5.9844399321709005,1,"Japanese","kasee-kassee","same","BB","F_kassee.mp3","F_kassee.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",387.70000000004075,5.960231844676988,1,"Japanese","saka-sakka","same","BB","M_sakka.mp3","M_sakka.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",891.9000000000815,6.793354018672253,1,"Japanese","oto-otto","different","BA","M_otto.mp3","F_oto.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",439.29999999990105,6.085182550981509,1,"Japanese","nishi-nisshi","different","BA","F_nisshi.mp3","F_nishi.mp3","same","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",279.1000000000058,5.631570140542298,1,"Japanese","hasan-hassan","same","BB","F_hassan.mp3","M_hassan.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",314.0000000000582,5.749392985908439,1,"Japanese","obasan-obaasan","different","BA","M_obaasan.mp3","M_obasan.mp3","same","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",289.29999999998836,5.6674642119820495,1,"Japanese","obasan-obaasan","same","BB","F_obaasan.mp3","M_obaasan.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",973.4000000000524,6.880795097399408,1,"Japanese","toshin-tosshin","same","AA","F_toshin.mp3","M_toshin.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",542.7999999999593,6.296740927960639,1,"Japanese","ojisan-ojiisan","same","BB","F_ojiisan.mp3","M_ojiisan.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",737.6999999999534,6.603537237890193,1,"Japanese","haku-haaku","same","AA","M_haku.mp3","M_haku.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",274.8999999999651,5.616407395171073,1,"Japanese","haken-hakken","same","BB","M_hakken.mp3","F_hakken.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",352.0000000000582,5.863631175598263,1,"Japanese","shiru-shiiru","same","AA","F_shiru.mp3","M_shiru.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",740.8000000001048,6.607730683332111,1,"Japanese","jutaku-juutaku","same","BB","F_juutaku.mp3","M_juutaku.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",744.6999999999534,6.612981452716538,1,"Japanese","nishi-nisshi","different","BA","M_nisshi.mp3","F_nishi.mp3","different","consonant","training",26,"hit"
