ID	prepost	pair	first_dim_step	norm_response
2	Pre	indent-intent	1	0
2	Pre	indent-intent	1	0
2	Pre	indent-intent	1	0
2	Pre	indent-intent	1	0
2	Pre	indent-intent	2	20
2	Pre	indent-intent	2	5
2	Pre	indent-intent	2	5
2	Pre	indent-intent	2	20
2	Pre	indent-intent	3	30
2	Pre	indent-intent	3	15
2	Pre	indent-intent	3	5
2	Pre	indent-intent	3	30
2	Pre	indent-intent	4	100
2	Pre	indent-intent	4	100
2	Pre	indent-intent	4	80
2	Pre	indent-intent	4	40
2	Pre	indent-intent	5	100
2	Pre	indent-intent	5	100
2	Pre	indent-intent	5	100
2	Pre	indent-intent	5	95
2	Pre	indent-intent	6	100
2	Pre	indent-intent	6	99
2	Pre	indent-intent	6	100
2	Pre	indent-intent	6	100
2	Pre	indent-intent	7	100
2	Pre	indent-intent	7	100
2	Pre	indent-intent	7	100
2	Pre	indent-intent	7	100
2	Pre	reason-risen	1	0
2	Pre	reason-risen	1	27
2	Pre	reason-risen	1	5
2	Pre	reason-risen	1	3
2	Pre	reason-risen	2	1
2	Pre	reason-risen	2	0
2	Pre	reason-risen	2	9
2	Pre	reason-risen	2	18
2	Pre	reason-risen	3	1
2	Pre	reason-risen	3	1
2	Pre	reason-risen	3	28
2	Pre	reason-risen	3	38
2	Pre	reason-risen	4	0
2	Pre	reason-risen	4	3
2	Pre	reason-risen	4	0
2	Pre	reason-risen	4	5
2	Pre	reason-risen	5	1
2	Pre	reason-risen	5	0
2	Pre	reason-risen	5	0
2	Pre	reason-risen	5	60
2	Pre	reason-risen	6	31
2	Pre	reason-risen	6	88
2	Pre	reason-risen	6	57
2	Pre	reason-risen	6	80
2	Pre	reason-risen	7	99
2	Pre	reason-risen	7	3
2	Pre	reason-risen	7	100
2	Pre	reason-risen	7	71
2	Pre	kata-katta	1	0
2	Pre	kata-katta	1	0
2	Pre	kata-katta	1	0
2	Pre	kata-katta	1	0
2	Pre	kata-katta	2	0
2	Pre	kata-katta	2	0
2	Pre	kata-katta	2	0
2	Pre	kata-katta	2	0
2	Pre	kata-katta	3	100
2	Pre	kata-katta	3	0
2	Pre	kata-katta	3	0
2	Pre	kata-katta	3	0
2	Pre	kata-katta	4	0
2	Pre	kata-katta	4	50
2	Pre	kata-katta	4	0
2	Pre	kata-katta	5	100
2	Pre	kata-katta	5	0
2	Pre	kata-katta	5	100
2	Pre	kata-katta	5	100
2	Pre	kata-katta	6	50
2	Pre	kata-katta	6	55
2	Pre	kata-katta	6	90
2	Pre	kata-katta	6	0
2	Pre	kata-katta	7	100
2	Pre	kata-katta	7	100
2	Pre	kata-katta	7	100
2	Pre	kata-katta	7	0
2	Pre	toru-tooru	1	0
2	Pre	toru-tooru	1	0
2	Pre	toru-tooru	1	0
2	Pre	toru-tooru	1	0
2	Pre	toru-tooru	2	0
2	Pre	toru-tooru	2	0
2	Pre	toru-tooru	2	1
2	Pre	toru-tooru	2	0
2	Pre	toru-tooru	3	0
2	Pre	toru-tooru	3	0
2	Pre	toru-tooru	3	0
2	Pre	toru-tooru	3	0
2	Pre	toru-tooru	4	100
2	Pre	toru-tooru	4	91
2	Pre	toru-tooru	4	84
2	Pre	toru-tooru	4	90
2	Pre	toru-tooru	5	98
2	Pre	toru-tooru	5	90
2	Pre	toru-tooru	5	100
2	Pre	toru-tooru	5	90
2	Pre	toru-tooru	6	90
2	Pre	toru-tooru	6	99
2	Pre	toru-tooru	6	85
2	Pre	toru-tooru	6	85
2	Pre	toru-tooru	7	100
2	Pre	toru-tooru	7	100
2	Pre	toru-tooru	7	100
2	Pre	toru-tooru	7	100
2	Post	indent-intent	1	3
2	Post	indent-intent	1	0
2	Post	indent-intent	1	12
2	Post	indent-intent	1	3
2	Post	indent-intent	2	0
2	Post	indent-intent	2	0
2	Post	indent-intent	2	0
2	Post	indent-intent	2	14
2	Post	indent-intent	3	0
2	Post	indent-intent	3	0
2	Post	indent-intent	3	0
2	Post	indent-intent	3	4
2	Post	indent-intent	4	89
2	Post	indent-intent	4	19
2	Post	indent-intent	4	32
2	Post	indent-intent	4	97
2	Post	indent-intent	5	100
2	Post	indent-intent	5	100
2	Post	indent-intent	5	100
2	Post	indent-intent	5	100
2	Post	indent-intent	6	100
2	Post	indent-intent	6	100
2	Post	indent-intent	6	100
2	Post	indent-intent	6	97
2	Post	indent-intent	7	94
2	Post	indent-intent	7	100
2	Post	indent-intent	7	89
2	Post	indent-intent	7	99
2	Post	reason-risen	1	52
2	Post	reason-risen	1	0
2	Post	reason-risen	1	8
2	Post	reason-risen	1	0
2	Post	reason-risen	2	35
2	Post	reason-risen	2	25
2	Post	reason-risen	2	0
2	Post	reason-risen	2	1
2	Post	reason-risen	3	7
2	Post	reason-risen	3	25
2	Post	reason-risen	3	16
2	Post	reason-risen	3	70
2	Post	reason-risen	4	71
2	Post	reason-risen	4	95
2	Post	reason-risen	4	85
2	Post	reason-risen	4	100
2	Post	reason-risen	5	7
2	Post	reason-risen	5	13
2	Post	reason-risen	5	100
2	Post	reason-risen	5	100
2	Post	reason-risen	6	45
2	Post	reason-risen	6	74
2	Post	reason-risen	6	100
2	Post	reason-risen	6	80
2	Post	reason-risen	7	100
2	Post	reason-risen	7	100
2	Post	reason-risen	7	69
2	Post	reason-risen	7	100
2	Post	kata-katta	1	0
2	Post	kata-katta	1	2
2	Post	kata-katta	1	1
2	Post	kata-katta	1	99
2	Post	kata-katta	2	1
2	Post	kata-katta	2	1
2	Post	kata-katta	2	1
2	Post	kata-katta	2	98
2	Post	kata-katta	3	1
2	Post	kata-katta	3	99
2	Post	kata-katta	3	0
