"local_date","ID","exp_group","prepost","pretraining_condition","posttraining_condition","response","reaction_time","sound","pair","language","first_dim_step","second_dim_step","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","norm_response","days_between"
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,4275.399999976158,"D_T_VOT_6_F0_3.mp3","indent-intent","English",6,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2533,"D_T_VOT_5_F0_3.mp3","indent-intent","English",5,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2420.5000000476866,"D_T_VOT_3_F0_3.mp3","indent-intent","English",3,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",33,3433.5,"D_T_VOT_3_F0_3.mp3","indent-intent","English",3,3,"intent","indent","yes","indent","intent",67,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",9,2640.5000000715227,"D_T_VOT_6_F0_3.mp3","indent-intent","English",6,3,"intent","indent","yes","indent","intent",91,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2303.7000000238477,"D_T_VOT_7_F0_3.mp3","indent-intent","English",7,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2180.9000000715314,"D_T_VOT_1_F0_3.mp3","indent-intent","English",1,3,"intent","indent","yes","indent","intent",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2346.199999976161,"D_T_VOT_2_F0_3.mp3","indent-intent","English",2,3,"intent","indent","yes","indent","intent",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,3446.6000000715285,"D_T_VOT_1_F0_3.mp3","indent-intent","English",1,3,"intent","indent","yes","indent","intent",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",38,5641.600000023842,"D_T_VOT_5_F0_3.mp3","indent-intent","English",5,3,"intent","indent","yes","indent","intent",62,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",30,6516.1999999999825,"D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"intent","indent","yes","indent","intent",70,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",12,4422.500000071523,"D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"intent","indent","yes","indent","intent",88,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",92,2191.40000002383,"D_T_VOT_2_F0_3.mp3","indent-intent","English",2,3,"intent","indent","yes","indent","intent",8,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2000.3999999999944,"D_T_VOT_5_F0_3.mp3","indent-intent","English",5,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,1732.3000000715256,"D_T_VOT_6_F0_3.mp3","indent-intent","English",6,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2616.499999999971,"D_T_VOT_7_F0_3.mp3","indent-intent","English",7,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",75,3048.899999999994,"D_T_VOT_2_F0_3.mp3","indent-intent","English",2,3,"intent","indent","yes","indent","intent",25,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2556.09999997617,"D_T_VOT_6_F0_3.mp3","indent-intent","English",6,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",27,3586.899999999994,"D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"intent","indent","yes","indent","intent",73,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2354.600000071514,"D_T_VOT_2_F0_3.mp3","indent-intent","English",2,3,"intent","indent","yes","indent","intent",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",15,2877.9000000476954,"D_T_VOT_4_F0_3.mp3","indent-intent","English",4,3,"intent","indent","yes","indent","intent",85,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2007.5999999761696,"D_T_VOT_7_F0_3.mp3","indent-intent","English",7,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2990.5,"D_T_VOT_5_F0_3.mp3","indent-intent","English",5,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",63,3908.9000000476954,"D_T_VOT_3_F0_3.mp3","indent-intent","English",3,3,"intent","indent","yes","indent","intent",37,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",86,2927.20000007152,"D_T_VOT_1_F0_3.mp3","indent-intent","English",1,3,"intent","indent","yes","indent","intent",14,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2527.3000000238535,"D_T_VOT_3_F0_3.mp3","indent-intent","English",3,3,"intent","indent","yes","indent","intent",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2050,"D_T_VOT_1_F0_3.mp3","indent-intent","English",1,3,"intent","indent","yes","indent","intent",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,1942.2999999999884,"D_T_VOT_7_F0_3.mp3","indent-intent","English",7,3,"intent","indent","yes","indent","intent",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",90,3358.2000000000116,"I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"risen","reason","yes","reason","risen",10,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",69,3900.200000000011,"I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"risen","reason","yes","reason","risen",31,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",83,3515.000000023836,"I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"risen","reason","yes","reason","risen",17,0
