Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,F_response,J_response,TrialsPerBlock,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: word_pair,Spreadsheet: signal,Spreadsheet: break_duration,Spreadsheet: word_A,Spreadsheet: word_B,Spreadsheet: sound_A_male,Spreadsheet: sound_A_female,Spreadsheet: sound_B_male,Spreadsheet: sound_B_female,Spreadsheet: sound_1,Spreadsheet: sound_2,Spreadsheet: alt_writing_A,Spreadsheet: alt_writing_B,Spreadsheet: orthography_A,Spreadsheet: orthography_B,Spreadsheet: language,Spreadsheet: gloss_A,Spreadsheet: gloss_B,Spreadsheet: pitch_accent_A,Spreadsheet: pitch_accent_B,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity_A,Spreadsheet: phoneme_identity_B,Spreadsheet: length_A,Spreadsheet: length_B,Spreadsheet: segment_type,Spreadsheet: word_position,Spreadsheet: task,Spreadsheet: block_display,Spreadsheet: randomize_language_blocks,Spreadsheet: transliteration_A,Spreadsheet: transliteration_B,Manipulation: Spreadsheet,Manipulation: F_response,Manipulation: J_response,Manipulation: TrialsPerBlock,Store: Progress,Store: FeedbackProgress
1,1743040455545,27/03/2025 01:54:15,1743026055545,-4,26/03/2025 17:54:15,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1743040457514,27/03/2025 01:54:17,1743026057514,-4,26/03/2025 17:54:17,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,instructions,Screen 1,de1oim,1,continue,,1997.6999999523164,1992.0000000000005,1997.6999999523164,1997.6999999523164,1992.0000000000005,1997.6999999523164,1,1997.6999999523164,0,0,,Click To Continue,Continue Button,2,object-393,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIFFERENT,SAME,36,51,0
3,1743040459508,27/03/2025 01:54:19,1743026059508,-4,26/03/2025 17:54:19,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,block_display,Screen 1,6te5rm,1,timedOut,,2000.7999999761578,1999.3999999999996,2000.7999999761578,2000.7999999761578,1999.3999999999996,2000.7999999761578,1,2000.7999999761578,0,0,,Time Limit,screen,0,screen,block_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block 1 of 8,,,,,DIFFERENT,SAME,36,1,0
4,1743040460009,27/03/2025 01:54:20,1743026060009,-4,26/03/2025 17:54:20,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,training_trial,fixation,5y7evd,1,continue,,500.8000000000002,500.8000000000002,500.8000000000002,500.8000000000002,500.8000000000002,500.8000000000002,1,500.8000000000002,0,0,,Fixation Timing,Fixation,1,object-213,training_trial,AA,jutaku-juutaku,same,,jutaku,juutaku,M_jutaku.mp3,F_jutaku.mp3,M_juutaku.mp3,F_juutaku.mp3,F_jutaku.mp3,F_jutaku.mp3,じゅたく,じゅうたく,受託（じゅたく）,住宅（じゅうたく）,Japanese,"entrustment, commission, taking charge","residence, housing",LHH,LHHH,u,u,uu,short,long,vowel,medial,training,,1,jutaku,juutaku,,DIFFERENT,SAME,36,1,0
5,1743040460013,27/03/2025 01:54:20,1743026060013,-4,26/03/2025 17:54:20,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,training_trial,sound1,emeov4,2,info,audio started,5.300000023841676,0,5.300000023841676,5.300000023841676,0,5.300000023841676,1,5.300000023841676,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,jutaku-juutaku,same,,jutaku,juutaku,M_jutaku.mp3,F_jutaku.mp3,M_juutaku.mp3,F_juutaku.mp3,F_jutaku.mp3,F_jutaku.mp3,じゅたく,じゅうたく,受託（じゅたく）,住宅（じゅうたく）,Japanese,"entrustment, commission, taking charge","residence, housing",LHH,LHHH,u,u,uu,short,long,vowel,medial,training,,1,jutaku,juutaku,,DIFFERENT,SAME,36,1,0
6,1743040460806,27/03/2025 01:54:20,1743026060806,-4,26/03/2025 17:54:20,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,training_trial,sound1,emeov4,2,info,audio finished,798.3000000238417,791.4999999999991,798.3000000238417,798.3000000238417,791.4999999999991,798.3000000238417,1,798.3000000238417,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,jutaku-juutaku,same,,jutaku,juutaku,M_jutaku.mp3,F_jutaku.mp3,M_juutaku.mp3,F_juutaku.mp3,F_jutaku.mp3,F_jutaku.mp3,じゅたく,じゅうたく,受託（じゅたく）,住宅（じゅうたく）,Japanese,"entrustment, commission, taking charge","residence, housing",LHH,LHHH,u,u,uu,short,long,vowel,medial,training,,1,jutaku,juutaku,,DIFFERENT,SAME,36,1,0
7,1743040460807,27/03/2025 01:54:20,1743026060807,-4,26/03/2025 17:54:20,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,training_trial,sound1,emeov4,2,continue,,798.9999999523161,791.4999999999991,798.9999999523161,798.9999999523161,791.4999999999991,798.9999999523161,1,798.9999999523161,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,jutaku-juutaku,same,,jutaku,juutaku,M_jutaku.mp3,F_jutaku.mp3,M_juutaku.mp3,F_juutaku.mp3,F_jutaku.mp3,F_jutaku.mp3,じゅたく,じゅうたく,受託（じゅたく）,住宅（じゅうたく）,Japanese,"entrustment, commission, taking charge","residence, housing",LHH,LHHH,u,u,uu,short,long,vowel,medial,training,,1,jutaku,juutaku,,DIFFERENT,SAME,36,1,0
8,1743040461301,27/03/2025 01:54:21,1743026061301,-4,26/03/2025 17:54:21,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,training_trial,ISI,s3rz1h,3,timedOut,,501.499999952317,500,501.499999952317,501.499999952317,500,501.499999952317,1,501.499999952317,0,0,,Time Limit,screen,0,screen,training_trial,AA,jutaku-juutaku,same,,jutaku,juutaku,M_jutaku.mp3,F_jutaku.mp3,M_juutaku.mp3,F_juutaku.mp3,F_jutaku.mp3,F_jutaku.mp3,じゅたく,じゅうたく,受託（じゅたく）,住宅（じゅうたく）,Japanese,"entrustment, commission, taking charge","residence, housing",LHH,LHHH,u,u,uu,short,long,vowel,medial,training,,1,jutaku,juutaku,,DIFFERENT,SAME,36,1,0
9,1743040461304,27/03/2025 01:54:21,1743026061304,-4,26/03/2025 17:54:21,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,training_trial,sound2,pdcnoi,4,info,audio started,4.899999928475154,0,4.899999928475154,4.899999928475154,0,4.899999928475154,1,4.899999928475154,0,0,,Audio Clip,Sound2,2,object-253,training_trial,AA,jutaku-juutaku,same,,jutaku,juutaku,M_jutaku.mp3,F_jutaku.mp3,M_juutaku.mp3,F_juutaku.mp3,F_jutaku.mp3,F_jutaku.mp3,じゅたく,じゅうたく,受託（じゅたく）,住宅（じゅうたく）,Japanese,"entrustment, commission, taking charge","residence, housing",LHH,LHHH,u,u,uu,short,long,vowel,medial,training,,1,jutaku,juutaku,,DIFFERENT,SAME,36,1,0
10,1743040462097,27/03/2025 01:54:22,1743026062097,-4,26/03/2025 17:54:22,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,1,training_trial,sound2,pdcnoi,4,info,audio finished,797.8000000238426,791.5,797.8000000238426,797.8000000238426,791.5,797.8000000238426,1,797.8000000238426,0,0,,Audio Clip,Sound2,2,object-253,training_trial,AA,jutaku-juutaku,same,,jutaku,juutaku,M_jutaku.mp3,F_jutaku.mp3,M_juutaku.mp3,F_juutaku.mp3,F_jutaku.mp3,F_jutaku.mp3,じゅたく,じゅうたく,受託（じゅたく）,住宅（じゅうたく）,Japanese,"entrustment, commission, taking charge","residence, housing",LHH,LHHH,u,u,uu,short,long,vowel,medial,training,,1,jutaku,juutaku,,DIFFERENT,SAME,36,1,0
