Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,F_response,J_response,TrialsPerBlock,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: word_pair,Spreadsheet: signal,Spreadsheet: break_duration,Spreadsheet: word_A,Spreadsheet: word_B,Spreadsheet: sound_A_male,Spreadsheet: sound_A_female,Spreadsheet: sound_B_male,Spreadsheet: sound_B_female,Spreadsheet: sound_1,Spreadsheet: sound_2,Spreadsheet: alt_writing_A,Spreadsheet: alt_writing_B,Spreadsheet: orthography_A,Spreadsheet: orthography_B,Spreadsheet: language,Spreadsheet: gloss_A,Spreadsheet: gloss_B,Spreadsheet: pitch_accent_A,Spreadsheet: pitch_accent_B,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity_A,Spreadsheet: phoneme_identity_B,Spreadsheet: length_A,Spreadsheet: length_B,Spreadsheet: segment_type,Spreadsheet: word_position,Spreadsheet: task,Spreadsheet: block_display,Spreadsheet: randomize_language_blocks,Spreadsheet: transliteration_A,Spreadsheet: transliteration_B,Manipulation: Spreadsheet,Manipulation: F_response,Manipulation: J_response,Manipulation: TrialsPerBlock,Store: Progress,Store: FeedbackProgress
1,1743302736896,30/03/2025 02:45:36,1743288336896,-4,29/03/2025 18:45:36,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1743302738951,30/03/2025 02:45:38,1743288338951,-4,29/03/2025 18:45:38,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,instructions,Screen 1,de1oim,1,continue,,2060.7999999999997,2056.7,2060.7999999999997,2060.7999999999997,2056.7,2060.7999999999997,1,2060.7999999999997,0,0,,Click To Continue,Continue Button,2,object-393,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAME,DIFFERENT,36,51,0
3,1743302740946,30/03/2025 02:45:40,1743288340946,-4,29/03/2025 18:45:40,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,block_display,Screen 1,6te5rm,1,timedOut,,2000.9,2000.5000000000005,2000.9,2000.9,2000.5000000000005,2000.9,1,2000.9,0,0,,Time Limit,screen,0,screen,block_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block 1 of 8,,,,,SAME,DIFFERENT,36,1,0
4,1743302741446,30/03/2025 02:45:41,1743288341446,-4,29/03/2025 18:45:41,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,fixation,5y7evd,1,continue,,498,498,498,498,498,498,1,498,0,0,,Fixation Timing,Fixation,1,object-213,training_trial,AA,haken-hakken,same,,haken,hakken,M_haken.mp3,F_haken.mp3,M_hakken.mp3,F_hakken.mp3,M_haken.mp3,F_haken.mp3,はけん,はっけん,派遣（はけん）,発見（はっけん）,Japanese,dispatch,discovery,LHH,LHHH,k,k,kk,short,long,consonant,medial,training,,3,haken,hakken,,SAME,DIFFERENT,36,1,0
5,1743302741451,30/03/2025 02:45:41,1743288341451,-4,29/03/2025 18:45:41,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,sound1,emeov4,2,info,audio started,4.200000000000728,0,4.200000000000728,4.200000000000728,0,4.200000000000728,1,4.200000000000728,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,haken-hakken,same,,haken,hakken,M_haken.mp3,F_haken.mp3,M_hakken.mp3,F_hakken.mp3,M_haken.mp3,F_haken.mp3,はけん,はっけん,派遣（はけん）,発見（はっけん）,Japanese,dispatch,discovery,LHH,LHHH,k,k,kk,short,long,consonant,medial,training,,3,haken,hakken,,SAME,DIFFERENT,36,1,0
6,1743302742151,30/03/2025 02:45:42,1743288342151,-4,29/03/2025 18:45:42,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,sound1,emeov4,2,info,audio finished,706.600000017881,705.2999999999993,706.600000017881,706.600000017881,705.2999999999993,706.600000017881,1,706.600000017881,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,haken-hakken,same,,haken,hakken,M_haken.mp3,F_haken.mp3,M_hakken.mp3,F_hakken.mp3,M_haken.mp3,F_haken.mp3,はけん,はっけん,派遣（はけん）,発見（はっけん）,Japanese,dispatch,discovery,LHH,LHHH,k,k,kk,short,long,consonant,medial,training,,3,haken,hakken,,SAME,DIFFERENT,36,1,0
7,1743302742152,30/03/2025 02:45:42,1743288342152,-4,29/03/2025 18:45:42,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,sound1,emeov4,2,continue,,707.600000017881,705.2999999999993,707.600000017881,707.600000017881,705.2999999999993,707.600000017881,1,707.600000017881,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,haken-hakken,same,,haken,hakken,M_haken.mp3,F_haken.mp3,M_hakken.mp3,F_hakken.mp3,M_haken.mp3,F_haken.mp3,はけん,はっけん,派遣（はけん）,発見（はっけん）,Japanese,dispatch,discovery,LHH,LHHH,k,k,kk,short,long,consonant,medial,training,,3,haken,hakken,,SAME,DIFFERENT,36,1,0
8,1743302742651,30/03/2025 02:45:42,1743288342651,-4,29/03/2025 18:45:42,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,ISI,s3rz1h,3,timedOut,,501.5000000059608,500,501.5000000059608,501.5000000059608,500,501.5000000059608,1,501.5000000059608,0,0,,Time Limit,screen,0,screen,training_trial,AA,haken-hakken,same,,haken,hakken,M_haken.mp3,F_haken.mp3,M_hakken.mp3,F_hakken.mp3,M_haken.mp3,F_haken.mp3,はけん,はっけん,派遣（はけん）,発見（はっけん）,Japanese,dispatch,discovery,LHH,LHHH,k,k,kk,short,long,consonant,medial,training,,3,haken,hakken,,SAME,DIFFERENT,36,1,0
9,1743302742657,30/03/2025 02:45:42,1743288342657,-4,29/03/2025 18:45:42,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,sound2,pdcnoi,4,info,audio started,4.199999999999818,0,4.199999999999818,4.199999999999818,0,4.199999999999818,1,4.199999999999818,0,0,,Audio Clip,Sound2,2,object-253,training_trial,AA,haken-hakken,same,,haken,hakken,M_haken.mp3,F_haken.mp3,M_hakken.mp3,F_hakken.mp3,M_haken.mp3,F_haken.mp3,はけん,はっけん,派遣（はけん）,発見（はっけん）,Japanese,dispatch,discovery,LHH,LHHH,k,k,kk,short,long,consonant,medial,training,,3,haken,hakken,,SAME,DIFFERENT,36,1,0
10,1743302743451,30/03/2025 02:45:43,1743288343451,-4,29/03/2025 18:45:43,220221,4,task-8adl,,44906027,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,1,training_trial,sound2,pdcnoi,4,info,audio finished,801.3000000178818,800.5,801.3000000178818,801.3000000178818,800.5,801.3000000178818,1,801.3000000178818,0,0,,Audio Clip,Sound2,2,object-253,training_trial,AA,haken-hakken,same,,haken,hakken,M_haken.mp3,F_haken.mp3,M_hakken.mp3,F_hakken.mp3,M_haken.mp3,F_haken.mp3,はけん,はっけん,派遣（はけん）,発見（はっけん）,Japanese,dispatch,discovery,LHH,LHHH,k,k,kk,short,long,consonant,medial,training,,3,haken,hakken,,SAME,DIFFERENT,36,1,0
