Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,F_response,J_response,TrialsPerBlock,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: word_pair,Spreadsheet: signal,Spreadsheet: break_duration,Spreadsheet: word_A,Spreadsheet: word_B,Spreadsheet: sound_A_male,Spreadsheet: sound_A_female,Spreadsheet: sound_B_male,Spreadsheet: sound_B_female,Spreadsheet: sound_1,Spreadsheet: sound_2,Spreadsheet: alt_writing_A,Spreadsheet: alt_writing_B,Spreadsheet: orthography_A,Spreadsheet: orthography_B,Spreadsheet: language,Spreadsheet: gloss_A,Spreadsheet: gloss_B,Spreadsheet: pitch_accent_A,Spreadsheet: pitch_accent_B,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity_A,Spreadsheet: phoneme_identity_B,Spreadsheet: length_A,Spreadsheet: length_B,Spreadsheet: segment_type,Spreadsheet: word_position,Spreadsheet: task,Spreadsheet: block_display,Spreadsheet: randomize_language_blocks,Spreadsheet: transliteration_A,Spreadsheet: transliteration_B,Manipulation: Spreadsheet,Manipulation: F_response,Manipulation: J_response,Manipulation: TrialsPerBlock,Store: Progress,Store: FeedbackProgress
1,1745124799746,20/04/2025 04:53:19,1745110399746,-4,19/04/2025 20:53:19,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1745124800782,20/04/2025 04:53:20,1745110400782,-4,19/04/2025 20:53:20,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,instructions,Screen 1,de1oim,1,continue,,1055.4999998092653,1050,1055.4999998092653,1055.4999998092653,1050,1055.4999998092653,1,1055.4999998092653,0,0,,Space To Continue,begin,1,object-316,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIFFERENT,SAME,36,37,36
3,1745124802776,20/04/2025 04:53:22,1745110402776,-4,19/04/2025 20:53:22,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,block_display,Screen 1,6te5rm,1,timedOut,,2000.3000000000002,2000.1999999999998,2000.3000000000002,2000.3000000000002,2000.1999999999998,2000.3000000000002,1,2000.3000000000002,0,0,,Time Limit,screen,0,screen,block_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block 1 of 8,,,,,DIFFERENT,SAME,36,1,0
4,1745124803277,20/04/2025 04:53:23,1745110403277,-4,19/04/2025 20:53:23,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,training_trial,fixation,5y7evd,1,continue,,499.7000000000007,499.7000000000007,499.7000000000007,499.7000000000007,499.7000000000007,499.7000000000007,1,499.7000000000007,0,0,,Fixation Timing,Fixation,1,object-213,training_trial,BA,hasan-hassan,different,,hasan,hassan,M_hasan.mp3,F_hasan.mp3,M_hassan.mp3,F_hassan.mp3,F_hassan.mp3,M_hasan.mp3,はさん,はっさん,破産（はさん）,発散（はっさん）,Japanese,bankruptcy,"emission, radiation",LHH,LHHH,s,s,ss,short,long,consonant,medial,training,,7,hasan,hassan,,DIFFERENT,SAME,36,1,0
5,1745124803279,20/04/2025 04:53:23,1745110403279,-4,19/04/2025 20:53:23,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,training_trial,sound1,emeov4,2,info,audio started,3.1999997138973413,0,3.1999997138973413,3.1999997138973413,0,3.1999997138973413,1,3.1999997138973413,0,0,,Audio Clip,Sound1,2,object-215,training_trial,BA,hasan-hassan,different,,hasan,hassan,M_hasan.mp3,F_hasan.mp3,M_hassan.mp3,F_hassan.mp3,F_hassan.mp3,M_hasan.mp3,はさん,はっさん,破産（はさん）,発散（はっさん）,Japanese,bankruptcy,"emission, radiation",LHH,LHHH,s,s,ss,short,long,consonant,medial,training,,7,hasan,hassan,,DIFFERENT,SAME,36,1,0
6,1745124804146,20/04/2025 04:53:24,1745110404146,-4,19/04/2025 20:53:24,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,training_trial,sound1,emeov4,2,info,audio finished,869.8000000953671,866.7999999999993,869.8000000953671,869.8000000953671,866.7999999999993,869.8000000953671,1,869.8000000953671,0,0,,Audio Clip,Sound1,2,object-215,training_trial,BA,hasan-hassan,different,,hasan,hassan,M_hasan.mp3,F_hasan.mp3,M_hassan.mp3,F_hassan.mp3,F_hassan.mp3,M_hasan.mp3,はさん,はっさん,破産（はさん）,発散（はっさん）,Japanese,bankruptcy,"emission, radiation",LHH,LHHH,s,s,ss,short,long,consonant,medial,training,,7,hasan,hassan,,DIFFERENT,SAME,36,1,0
7,1745124804147,20/04/2025 04:53:24,1745110404147,-4,19/04/2025 20:53:24,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,training_trial,sound1,emeov4,2,continue,,870.9999999046322,866.7999999999993,870.9999999046322,870.9999999046322,866.7999999999993,870.9999999046322,1,870.9999999046322,0,0,,Audio Clip,Sound1,2,object-215,training_trial,BA,hasan-hassan,different,,hasan,hassan,M_hasan.mp3,F_hasan.mp3,M_hassan.mp3,F_hassan.mp3,F_hassan.mp3,M_hasan.mp3,はさん,はっさん,破産（はさん）,発散（はっさん）,Japanese,bankruptcy,"emission, radiation",LHH,LHHH,s,s,ss,short,long,consonant,medial,training,,7,hasan,hassan,,DIFFERENT,SAME,36,1,0
8,1745124804643,20/04/2025 04:53:24,1745110404643,-4,19/04/2025 20:53:24,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,training_trial,ISI,s3rz1h,3,timedOut,,500.5000000953678,500,500.5000000953678,500.5000000953678,500,500.5000000953678,1,500.5000000953678,0,0,,Time Limit,screen,0,screen,training_trial,BA,hasan-hassan,different,,hasan,hassan,M_hasan.mp3,F_hasan.mp3,M_hassan.mp3,F_hassan.mp3,F_hassan.mp3,M_hasan.mp3,はさん,はっさん,破産（はさん）,発散（はっさん）,Japanese,bankruptcy,"emission, radiation",LHH,LHHH,s,s,ss,short,long,consonant,medial,training,,7,hasan,hassan,,DIFFERENT,SAME,36,1,0
9,1745124804649,20/04/2025 04:53:24,1745110404649,-4,19/04/2025 20:53:24,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,training_trial,sound2,pdcnoi,4,info,audio started,6.7999998092655005,0,6.7999998092655005,6.7999998092655005,0,6.7999998092655005,1,6.7999998092655005,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BA,hasan-hassan,different,,hasan,hassan,M_hasan.mp3,F_hasan.mp3,M_hassan.mp3,F_hassan.mp3,F_hassan.mp3,M_hasan.mp3,はさん,はっさん,破産（はさん）,発散（はっさん）,Japanese,bankruptcy,"emission, radiation",LHH,LHHH,s,s,ss,short,long,consonant,medial,training,,7,hasan,hassan,,DIFFERENT,SAME,36,1,0
10,1745124805442,20/04/2025 04:53:25,1745110405442,-4,19/04/2025 20:53:25,220221,4,task-99r7,repeat-7t26#4,45523071,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_low_LD,DIFFERENT,SAME,36,training_low_LD,1,training_trial,sound2,pdcnoi,4,info,audio finished,798.7000000000007,782.7000000000007,798.7000000000007,798.7000000000007,782.7000000000007,798.7000000000007,1,798.7000000000007,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BA,hasan-hassan,different,,hasan,hassan,M_hasan.mp3,F_hasan.mp3,M_hassan.mp3,F_hassan.mp3,F_hassan.mp3,M_hasan.mp3,はさん,はっさん,破産（はさん）,発散（はっさん）,Japanese,bankruptcy,"emission, radiation",LHH,LHHH,s,s,ss,short,long,consonant,medial,training,,7,hasan,hassan,,DIFFERENT,SAME,36,1,0
