Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,TrialsPerBlock,stimuli_type,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress
1,1745457167251,24/04/2025 01:12:47,1745431967251,-7,23/04/2025 11:12:47,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1745457177747,24/04/2025 01:12:57,1745431977747,-7,23/04/2025 11:12:57,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,welcome and task description,dabwcr,1,continue,,10362,10343.62,10362,10362,10343.62,10362,1,10362,0,0,,Click To Continue,Continue Button,3,object-283,instructions_1D,,,,,,,,,,,,,,28,,,,,
3,1745457183056,24/04/2025 01:13:03,1745431983056,-7,23/04/2025 11:13:03,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,fixation,71ygsn,2,continue,,5328.379999999999,5305.299999999997,5328.379999999999,5328.379999999999,5305.299999999997,5328.379999999999,1,5328.379999999999,0,0,,Click To Continue,Continue Button,2,object-287,instructions_1D,,,,,,,,,,,,,,28,,,,,
4,1745457183065,24/04/2025 01:13:03,1745431983065,-7,23/04/2025 11:13:03,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,trial,y8sx24,3,info,,33.080000000001746,0,33.080000000001746,33.080000000001746,0,33.080000000001746,1,33.080000000001746,0,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,
5,1745457199124,24/04/2025 01:13:19,1745431999124,-7,23/04/2025 11:13:19,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,trial,y8sx24,3,continue,,16092.080000000002,16082.740000000005,16092.080000000002,16092.080000000002,16082.740000000005,16092.080000000002,1,16092.080000000002,0,0,,Click To Continue,Continue Button,3,object-293,instructions_1D,,,,,,,,,,,,,,28,,,,,
6,1745457199125,24/04/2025 01:13:19,1745431999125,-7,23/04/2025 11:13:19,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,trial,y8sx24,3,response,51,11044.380000000001,16082.740000000005,16093.080000000002,11044.380000000001,16082.740000000005,16093.080000000002,1,11044.380000000001,5048.700000000001,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,
7,1745457205316,24/04/2025 01:13:25,1745432005316,-7,23/04/2025 11:13:25,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,no feedback,ebnzxp,4,continue,,6200.3399999999965,6172.8399999999965,6200.3399999999965,6200.3399999999965,6172.8399999999965,6200.3399999999965,1,6200.3399999999965,0,0,,Click To Continue,Continue Button,2,object-297,instructions_1D,,,,,,,,,,,,,,28,,,,,
8,1745457217280,24/04/2025 01:13:37,1745432017280,-7,23/04/2025 11:13:37,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,adjust,vl7wbf,5,continue,,11991.5,11980.279999999999,11991.5,11991.5,11980.279999999999,11991.5,1,11991.5,0,0,,Click To Continue,Continue Button,2,object-343,instructions_1D,,,,,,,,,,,,,,28,,,,,
9,1745457233696,24/04/2025 01:13:53,1745432033696,-7,23/04/2025 11:13:53,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,16426.22,16416.399999999994,16426.22,16426.22,16416.399999999994,16426.22,1,16426.22,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
10,1745457234557,24/04/2025 01:13:54,1745432034557,-7,23/04/2025 11:13:54,220221,4,task-nu4t,,45605676,BLIND,13263328,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 137.0,2176x1224,2176x1072,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet2,,spreadsheet4,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet2_1D,28,,spreadsheet2_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,17289.22,17283.940000000002,17289.22,17289.22,17283.940000000002,17289.22,1,17289.22,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
