Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification
1,1745534880078,24/04/2025 22:48:00,1745520480078,-4,24/04/2025 14:48:00,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,,,,,info,,BEGIN,,,,,,,,,,,,,,,,,,,,
2,1745535810014,24/04/2025 23:03:30,1745521410014,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 2,koufhk,2,Please enter your age:,response,value,20,,,Age,1,object-187,,,,,,,,,,,,,,,
3,1745535810014,24/04/2025 23:03:30,1745521410014,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 2,koufhk,2,Please specify your gender identity:,response,value,Female,,Female|Male|Non-binary|Prefer not to say,Gender,2,object-188,,,,,,,,,,,,,,,
4,1745535810014,24/04/2025 23:03:30,1745521410014,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 2,koufhk,2,Please specify your gender identity:,response,quantised,1,,Female|Male|Non-binary|Prefer not to say,Gender,2,object-188,,,,,,,,,,,,,,,
5,1745535810014,24/04/2025 23:03:30,1745521410014,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,,response,Language 1-value,English,,,Language 1,3,object-10,English,Spanish,Japanese,,,,,,,,,,,,
6,1745535810014,24/04/2025 23:03:30,1745521410014,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Listening,response,value,0,,,Language 1 Listening,5,object-191,English,Spanish,Japanese,,,,,,,,,,,,
7,1745535810015,24/04/2025 23:03:30,1745521410015,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Speaking,response,value,0,,,Language 1 Speaking,6,object-193,English,Spanish,Japanese,,,,,,,,,,,,
8,1745535810015,24/04/2025 23:03:30,1745521410015,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Reading,response,value,5,,,Language 1 Reading,7,object-194,English,Spanish,Japanese,,,,,,,,,,,,
9,1745535810015,24/04/2025 23:03:30,1745521410015,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Writing,response,value,4,,,Language 1 Writing,8,object-195,English,Spanish,Japanese,,,,,,,,,,,,
10,1745535810015,24/04/2025 23:03:30,1745521410015,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Years of use**,response,value,20,,,Language 1 Years of use,9,object-196,English,Spanish,Japanese,,,,,,,,,,,,
11,1745535810016,24/04/2025 23:03:30,1745521410016,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,,response,Language 2-value,Spanish,,,Language 2,10,object-11,English,Spanish,Japanese,,,,,,,,,,,,
12,1745535810016,24/04/2025 23:03:30,1745521410016,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Listening,response,value,11,,,Language 2 Listening,12,object-198,English,Spanish,Japanese,,,,,,,,,,,,
13,1745535810016,24/04/2025 23:03:30,1745521410016,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Speaking,response,value,11,,,Language 2 Speaking,13,object-199,English,Spanish,Japanese,,,,,,,,,,,,
14,1745535810016,24/04/2025 23:03:30,1745521410016,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Reading,response,value,11,,,Language 2 Reading,14,object-200,English,Spanish,Japanese,,,,,,,,,,,,
15,1745535810017,24/04/2025 23:03:30,1745521410017,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Writing,response,value,11,,,Language 2 Writing,15,object-201,English,Spanish,Japanese,,,,,,,,,,,,
16,1745535810017,24/04/2025 23:03:30,1745521410017,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Years of use**,response,value,9,,,Language 2 Years of use,16,object-202,English,Spanish,Japanese,,,,,,,,,,,,
17,1745535810017,24/04/2025 23:03:30,1745521410017,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,,response,Language 3-value,Japanese,,,Language 3,17,object-14,English,Spanish,Japanese,,,,,,,,,,,,
18,1745535810027,24/04/2025 23:03:30,1745521410027,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Listening,response,value,11,,,Language 3 Listening,19,object-204,English,Spanish,Japanese,,,,,,,,,,,,
19,1745535810028,24/04/2025 23:03:30,1745521410028,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Speaking,response,value,18,,,Language 3 Speaking,20,object-205,English,Spanish,Japanese,,,,,,,,,,,,
20,1745535810028,24/04/2025 23:03:30,1745521410028,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Reading,response,value,18,,,Language 3 Reading,21,object-206,English,Spanish,Japanese,,,,,,,,,,,,
21,1745535810029,24/04/2025 23:03:30,1745521410029,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Writing,response,value,18,,,Language 3 Writing,22,object-207,English,Spanish,Japanese,,,,,,,,,,,,
22,1745535810030,24/04/2025 23:03:30,1745521410030,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Years of use**,response,value,3,,,Language 3 Years of use,23,object-208,English,Spanish,Japanese,,,,,,,,,,,,
23,1745535810030,24/04/2025 23:03:30,1745521410030,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,,response,Language 4-value,,,,Language 4,24,object-15,English,Spanish,Japanese,,,,,,,,,,,,
24,1745535810030,24/04/2025 23:03:30,1745521410030,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Listening,response,value,,,,Language 4 Listening,26,object-209,English,Spanish,Japanese,,,,,,,,,,,,
25,1745535810031,24/04/2025 23:03:30,1745521410031,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Speaking,response,value,,,,Language 4 Speaking,27,object-211,English,Spanish,Japanese,,,,,,,,,,,,
26,1745535810031,24/04/2025 23:03:30,1745521410031,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Reading,response,value,,,,Language 4 Reading,28,object-212,English,Spanish,Japanese,,,,,,,,,,,,
27,1745535810032,24/04/2025 23:03:30,1745521410032,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Writing,response,value,,,,Language 4 Writing,29,object-213,English,Spanish,Japanese,,,,,,,,,,,,
28,1745535810032,24/04/2025 23:03:30,1745521410032,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 3,n2j8m2,3,Years of use**,response,value,,,,Language 4 Years of use,30,object-214,English,Spanish,Japanese,,,,,,,,,,,,
