Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification
1,1745427622695,23/04/2025 17:00:22,1745413222695,-4,23/04/2025 09:00:22,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,,,,,info,,BEGIN,,,,,,,,,,,,,,,,,,,,
2,1745428763654,23/04/2025 17:19:23,1745414363654,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 2,koufhk,2,Please enter your age:,response,value,21,,,Age,1,object-187,,,,,,,,,,,,,,,
3,1745428763654,23/04/2025 17:19:23,1745414363654,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 2,koufhk,2,Please specify your gender identity:,response,value,Female,,Female|Male|Non-binary|Prefer not to say,Gender,2,object-188,,,,,,,,,,,,,,,
4,1745428763654,23/04/2025 17:19:23,1745414363654,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 2,koufhk,2,Please specify your gender identity:,response,quantised,1,,Female|Male|Non-binary|Prefer not to say,Gender,2,object-188,,,,,,,,,,,,,,,
5,1745428763654,23/04/2025 17:19:23,1745414363654,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,,response,Language 1-value,English,,,Language 1,3,object-10,English,Chinese,Japanese,,,,,,,,,,,,
6,1745428763655,23/04/2025 17:19:23,1745414363655,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Listening,response,value,5,,,Language 1 Listening,5,object-191,English,Chinese,Japanese,,,,,,,,,,,,
7,1745428763655,23/04/2025 17:19:23,1745414363655,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Speaking,response,value,5,,,Language 1 Speaking,6,object-193,English,Chinese,Japanese,,,,,,,,,,,,
8,1745428763655,23/04/2025 17:19:23,1745414363655,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Reading,response,value,5,,,Language 1 Reading,7,object-194,English,Chinese,Japanese,,,,,,,,,,,,
9,1745428763655,23/04/2025 17:19:23,1745414363655,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Writing,response,value,5,,,Language 1 Writing,8,object-195,English,Chinese,Japanese,,,,,,,,,,,,
10,1745428763655,23/04/2025 17:19:23,1745414363655,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Years of use**,response,value,16,,,Language 1 Years of use,9,object-196,English,Chinese,Japanese,,,,,,,,,,,,
